time/total_timesteps,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,train/actor_loss,time/time_elapsed
441,0.0003,1.4457859992980957,0.9028042554855347,-0.4865967929363251,110.25,4,340,75.904524,52,-6.462847709655762,8
986,0.0003,1.8347972631454468,0.7673699855804443,-1.286797046661377,123.25,8,885,97.29693775000001,50,-11.317760467529297,19
1811,0.0003,2.8985190391540527,0.6032810211181641,-2.260188341140747,150.91666666666666,12,1710,117.52817566666668,49,-17.997953414916992,36
2685,0.0003,5.525389194488525,0.4731077253818512,-3.001821517944336,167.8125,16,2584,132.0317205625,50,-22.35328483581543,53
3406,0.0003,4.71265983581543,0.3891473114490509,-3.6526131629943848,170.3,20,3305,143.82796224999998,50,-26.115541458129883,67
3985,0.0003,6.5359907150268555,0.3336980640888214,-3.840383291244507,166.04166666666666,24,3884,148.53509075,49,-29.937288284301758,79
4652,0.0003,8.634904861450195,0.2777763307094574,-4.068630218505859,166.14285714285714,28,4551,150.33242464285712,49,-33.7435302734375,93
5457,0.0003,18.219234466552734,0.2246527075767517,-3.387047052383423,170.53125,32,5356,167.17598318749998,50,-35.34558868408203,108
6141,0.0003,19.695411682128906,0.18864388763904572,-3.607027053833008,170.58333333333334,36,6040,169.4642105555555,50,-36.29186248779297,122
6917,0.0003,9.501213073730469,0.1572462022304535,-3.390181303024292,172.925,40,6816,174.733859875,50,-39.27836227416992,138
7541,0.0003,13.899131774902344,0.1353335678577423,-4.2225542068481445,171.38636363636363,44,7440,171.9222139318182,50,-41.04823684692383,150
8224,0.0003,11.283940315246582,0.11512882262468338,-3.6408615112304688,171.33333333333334,48,8123,179.3958383541667,50,-42.83405303955078,163
9020,0.0003,20.4709529876709,0.09700842201709747,-2.5522422790527344,173.46153846153845,52,8919,186.1504116346154,50,-43.31251525878906,179
9539,0.0003,13.56412410736084,0.08701211959123611,-1.0100289583206177,170.33928571428572,56,9438,184.20057101785713,50,-44.303531646728516,188
10267,0.0003,39.734073638916016,0.075618676841259,-0.4318561851978302,171.11666666666667,60,10166,198.42597816666665,50,-47.11164855957031,202
10962,0.0003,15.517478942871094,0.07192829251289368,-0.0774226188659668,171.28125,64,10861,197.909296515625,50,-49.4642448425293,216
11654,0.0003,22.547494888305664,0.06747068464756012,0.21992924809455872,171.38235294117646,68,11553,201.88590492647057,50,-51.15070343017578,231
12254,0.0003,8.516491889953613,0.06612084805965424,1.5597784519195557,170.19444444444446,72,12153,200.9972446666667,50,-52.73390197753906,243
12910,0.0003,22.869707107543945,0.06624454259872437,-1.2987327575683594,169.8684210526316,76,12809,201.84953189473686,50,-53.422462463378906,256
13526,0.0003,15.271815299987793,0.06786789000034332,-0.843049168586731,169.075,80,13425,202.0673059,50,-55.47890853881836,268
13970,0.0003,22.388652801513672,0.06654118001461029,0.4396098852157593,166.3095238095238,84,13869,200.54691985714288,50,-57.06877136230469,276
14569,0.0003,18.34030532836914,0.0665646493434906,-0.18388038873672485,165.5568181818182,88,14468,199.52070501136362,50,-57.46153259277344,288
15399,0.0003,42.673057556152344,0.06613822281360626,0.7374289035797119,167.3804347826087,92,15298,202.55114891304348,50,-57.8762321472168,305
15968,0.0003,11.954061508178711,0.07138988375663757,0.7136361598968506,166.33333333333334,96,15867,204.56549653125,50,-59.968475341796875,317
16701,0.0003,25.57547378540039,0.0727556049823761,-0.9965830445289612,167.01,100,16600,204.97579842000002,50,-58.778831481933594,332
17245,0.0003,114.7431640625,0.0735633447766304,0.914178729057312,168.04,104,17144,211.01405795000002,50,-59.009422302246094,342
17906,0.0003,36.68109130859375,0.07754629105329514,-0.12053224444389343,169.2,108,17805,214.84222784000002,50,-63.377784729003906,355
18512,0.0003,21.497934341430664,0.07335447520017624,-0.4419793486595154,167.01,112,18411,218.00615641000007,50,-63.2760009765625,366
19162,0.0003,17.426136016845703,0.07665938884019852,0.6092987060546875,164.77,116,19061,236.06992374,50,-60.76460266113281,379
19757,0.0003,49.657325744628906,0.08172681927680969,-0.39629819989204407,163.51,120,19656,237.21304270000002,50,-63.279048919677734,391
20399,0.0003,27.282577514648438,0.08415056020021439,0.04389137029647827,164.14,124,20298,238.58953413,50,-63.7173957824707,403
21231,0.0003,25.324405670166016,0.09318900108337402,0.7074590921401978,165.79,128,21130,243.01811417999997,50,-62.52347183227539,420
21758,0.0003,32.763790130615234,0.10324776917695999,1.246569275856018,163.01,132,21657,238.37523524000005,50,-63.537376403808594,430
22672,0.0003,84.87308502197266,0.09766936302185059,0.25981050729751587,165.31,136,22571,242.23087176999996,50,-65.18719482421875,448
23383,0.0003,769.3086547851562,0.09232645481824875,0.8550488948822021,164.66,140,23282,242.80651481999996,50,-66.29622650146484,461
24172,0.0003,33.56418991088867,0.09089343994855881,-0.22688114643096924,166.31,144,24071,249.64778507999995,50,-62.698081970214844,476
24769,0.0003,98.1148681640625,0.08721888810396194,-0.9366035461425781,165.45,148,24668,247.42374553999997,50,-67.07859802246094,487
25303,0.0003,53.962493896484375,0.08578141778707504,-0.4043062925338745,162.83,152,25202,245.54115715,50,-64.89373779296875,498
25948,0.0003,58.005836486816406,0.08717431128025055,-0.7323228716850281,164.09,156,25847,249.92994948,50,-66.95751190185547,510
26530,0.0003,101.5495376586914,0.08654579520225525,0.2061692476272583,162.63,160,26429,241.97236613999993,50,-67.36406707763672,522
27192,0.0003,66.83836364746094,0.08879312127828598,1.041519284248352,162.3,164,27091,242.51533155999996,50,-68.45018005371094,535
