rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,time/fps,train/critic_loss,train/actor_loss,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,train/learning_rate
12.810307,-2.054103374481201,73,1367,4,19,0.12010584771633148,-11.927915573120117,0.6638224720954895,1468,367.0,0.0003
14.344569250000001,-4.274031639099121,149,2866,8,19,0.6329747438430786,-17.41588020324707,0.4238245189189911,2967,370.875,0.0003
14.025866083333332,-5.921346664428711,208,4067,12,19,0.34970927238464355,-19.84149932861328,0.2962320148944855,4168,347.3333333333333,0.0003
15.9408585625,-7.737630367279053,280,5519,16,20,0.12769654393196106,-21.054092407226562,0.19306696951389313,5620,351.25,0.0003
18.7882882,-9.5487060546875,379,7466,20,19,0.09454520046710968,-21.415254592895508,0.10935073345899582,7567,378.35,0.0003
21.595696458333336,-11.360719680786133,486,9296,24,19,0.12135238945484161,-20.588558197021484,0.0650472417473793,9397,391.5416666666667,0.0003
21.719030857142858,-11.179451942443848,557,10526,28,19,0.5828366279602051,-19.531978607177734,0.04626783728599548,10627,379.5357142857143,0.0003
21.37491628125,-10.335416793823242,639,11959,32,18,0.2250482141971588,-18.36407470703125,0.03109521046280861,12060,376.875,0.0003
24.22557088888889,-7.529186248779297,761,14120,36,18,0.6234835982322693,-16.928974151611328,0.01872941106557846,14221,395.02777777777777,0.0003
24.871642725000005,-4.869570732116699,832,15392,40,18,1.0101829767227173,-16.545907974243164,0.015061314217746258,15493,387.325,0.0003
26.291127590909095,-2.822678565979004,907,16952,44,18,0.07930949330329895,-15.896707534790039,0.011273611336946487,17053,387.5681818181818,0.0003
26.835719333333333,-0.8731318712234497,963,18167,48,18,1.560678243637085,-14.744293212890625,0.010031592100858688,18268,380.5833333333333,0.0003
28.222677,1.965194582939148,1018,19366,52,19,0.31987887620925903,-14.284814834594727,0.009066423401236534,19467,374.36538461538464,0.0003
28.83594810714286,1.2485792636871338,1062,20336,56,19,0.2630739212036133,-13.83582878112793,0.010325869545340538,20437,364.94642857142856,0.0003
29.643406616666667,-0.3514412045478821,1117,21485,60,19,0.20427697896957397,-13.459699630737305,0.011532315984368324,21586,359.76666666666665,0.0003
30.268947984375,-1.6081304550170898,1176,22582,64,19,0.8413400650024414,-13.173383712768555,0.013670411892235279,22683,354.421875,0.0003
30.284653411764708,0.1783616840839386,1238,23737,68,19,1.459549069404602,-12.647418022155762,0.013968415558338165,23838,350.55882352941177,0.0003
30.56156380555556,0.7880153059959412,1295,24812,72,19,1.0603876113891602,-12.029047012329102,0.01360257901251316,24913,346.0138888888889,0.0003
31.06611961842105,-0.7227393388748169,1366,26142,76,19,0.31880682706832886,-11.731863975524902,0.013747253455221653,26243,345.30263157894734,0.0003
31.404093925,-0.9176729321479797,1434,27397,80,19,0.16479581594467163,-11.32084846496582,0.01323519367724657,27498,343.725,0.0003
31.66407515476191,-1.0003252029418945,1504,28694,84,19,0.10434527695178986,-11.17263412475586,0.012919338420033455,28795,342.79761904761904,0.0003
31.538035511363635,-1.1532050371170044,1561,29734,88,19,0.30735015869140625,-10.47667121887207,0.012672065757215023,29835,339.03409090909093,0.0003
31.71126791304348,0.9943645000457764,1629,30964,92,19,0.1833893358707428,-10.172947883605957,0.012036101892590523,31065,337.6630434782609,0.0003
31.794938875,-0.6318022012710571,1688,32054,96,19,0.0984526127576828,-10.180691719055176,0.010824602097272873,32155,334.9479166666667,0.0003
31.58469955,-0.6452183723449707,1745,33087,100,19,0.13143324851989746,-10.241902351379395,0.010488753207027912,33188,331.88,0.0003
32.945069759999996,-0.49009689688682556,1827,34603,104,18,0.11676867306232452,-9.66112232208252,0.010654409416019917,34704,332.36,0.0003
33.80356096,0.40694722533226013,1891,35770,108,18,0.24497084319591522,-9.441418647766113,0.010906832292675972,35871,329.04,0.0003
34.82122212,0.5774116516113281,1960,37015,112,18,0.08304261416196823,-9.76650619506836,0.01066869031637907,37116,329.48,0.0003
35.3474956,-0.07941131293773651,2019,38122,116,18,0.1841105818748474,-9.232073783874512,0.01089337095618248,38223,326.03,0.0003
35.72088223,-1.307855486869812,2077,39187,120,18,0.14195534586906433,-9.31370735168457,0.011285939253866673,39288,317.21,0.0003
36.06494646,1.7998535633087158,2149,40523,124,18,0.1622122973203659,-9.008795738220215,0.011753502301871777,40624,312.27,0.0003
36.45069155000001,0.8596179485321045,2202,41517,128,18,0.2917042672634125,-8.868053436279297,0.011094666086137295,41618,309.91,0.0003
37.62348821,-1.7344204187393188,2273,42824,132,18,0.1315172016620636,-8.950769424438477,0.01128483098000288,42925,308.65,0.0003
37.53403233,-0.5041614770889282,2338,44039,136,18,0.16502979397773743,-9.03471851348877,0.011001924984157085,44140,299.19,0.0003
37.734118900000006,0.5120368003845215,2395,45088,140,18,0.3085464835166931,-8.624248504638672,0.01056359987705946,45189,296.96,0.0003
37.768173880000006,0.3074144721031189,2455,46201,144,18,0.15199315547943115,-8.187478065490723,0.010574097745120525,46302,292.49,0.0003
37.793183989999996,0.8466442227363586,2511,47244,148,18,0.1910102218389511,-8.309724807739258,0.010805516503751278,47345,290.77,0.0003
37.12480348,-0.6755573749542236,2564,48224,152,18,0.5160391926765442,-8.58370590209961,0.010636277496814728,48325,288.58,0.0003
37.01141871,-0.7039101719856262,2621,49296,156,18,0.19214719533920288,-8.361613273620605,0.010412187315523624,49397,289.6,0.0003
36.639196229999996,-1.331426739692688,2681,50403,160,18,0.5104929208755493,-8.258342742919922,0.01045521255582571,50504,289.18,0.0003
