rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/episodes,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,train/actor_loss
188.25,32,652,0.8225441575050354,-0.9848487377166748,4,23,753,0.0003,4.90297775,0.1306193470954895,-7.968652725219727
229.625,86,1736,0.5943591594696045,-2.620408535003662,8,21,1837,0.0003,5.887911,0.08980000764131546,-13.463451385498047
234.16666666666666,132,2709,0.4443295896053314,-4.078202247619629,12,21,2810,0.0003,6.510174,0.4871048331260681,-16.659317016601562
248.0,179,3867,0.3145716190338135,-5.727206707000732,16,22,3968,0.0003,7.115166437500001,0.4910229444503784,-19.28601837158203
289.3,249,5685,0.18366792798042297,-8.04006576538086,20,23,5786,0.0003,9.9323175,0.17753495275974274,-20.342426300048828
303.8333333333333,307,7191,0.11824721097946167,-9.834073066711426,24,23,7292,0.0003,10.7418835,0.35707104206085205,-20.507287979125977
323.14285714285717,374,8947,0.07140835374593735,-10.72067928314209,28,24,9048,0.0003,11.881156357142856,0.2427040934562683,-19.308162689208984
325.84375,431,10326,0.04789837822318077,-12.035137176513672,32,24,10427,0.0003,11.815384187500001,0.20251278579235077,-18.8890380859375
328.1111111111111,496,11711,0.032887641340494156,-11.235725402832031,36,23,11812,0.0003,12.228929055555557,0.8226771354675293,-17.73126220703125
331.475,564,13158,0.022740881890058517,-8.470664024353027,40,23,13259,0.0003,12.80211975,0.17832955718040466,-16.27004623413086
335.5681818181818,634,14664,0.015312427654862404,-8.102388381958008,44,23,14765,0.0003,14.120046159090908,0.11666008830070496,-15.434880256652832
333.6041666666667,691,15912,0.011356392875313759,-7.859882831573486,48,23,16013,0.0003,14.722699729166669,0.10688666999340057,-14.857013702392578
331.6923076923077,747,17147,0.010101080872118473,1.5300151109695435,52,23,17248,0.0003,15.918558365384618,0.25217294692993164,-14.387552261352539
324.55357142857144,789,18074,0.010892804712057114,1.7274854183197021,56,23,18175,0.0003,16.68470675,0.21786558628082275,-13.77837085723877
318.73333333333335,831,19023,0.011573323048651218,0.20751570165157318,60,23,19124,0.0003,17.264401933333332,0.1298462450504303,-13.374126434326172
312.171875,869,19878,0.010770674794912338,-1.9931429624557495,64,22,19979,0.0003,17.471995718749998,0.5661112070083618,-13.097345352172852
308.7352941176471,915,20893,0.009868981316685677,-0.5937062501907349,68,22,20994,0.0003,17.962089264705885,0.22158992290496826,-12.40404224395752
305.375,960,21886,0.010177732445299625,-0.5231411457061768,72,22,21987,0.0003,18.25504981944444,0.95353102684021,-12.143814086914062
300.0263157894737,997,22701,0.011046349070966244,-1.108992576599121,76,22,22802,0.0003,18.14777302631579,0.11127777397632599,-11.834802627563477
