train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps
0.0003,322.0,50,8.647448749999999,-11.07583236694336,1187,0.7005757689476013,1288,0.06092765927314758,-1.7912293672561646,4,25
0.0003,342.625,120,9.492804125,-16.816497802734375,2640,0.45332393050193787,2741,0.3375910520553589,-3.936326503753662,8,22
0.0003,341.9166666666667,183,9.690070749999999,-19.947681427001953,4002,0.3018709719181061,4103,0.08754827082157135,-5.980926036834717,12,22
0.0003,378.9375,257,10.715486249999998,-20.6905517578125,5962,0.16897615790367126,6063,0.29309970140457153,-8.414481163024902,16,23
0.0003,386.9,322,11.983645849999998,-20.584701538085938,7637,0.10327646881341934,7738,0.22999687492847443,-10.406717300415039,20,24
0.0003,381.7916666666667,376,12.3933075,-19.548303604125977,9062,0.06859239935874939,9163,0.23438197374343872,-10.886260986328125,24,24
0.0003,409.2142857142857,469,14.777152285714285,-18.236164093017578,11357,0.03592953830957413,11458,0.27005499601364136,-12.994089126586914,28,24
0.0003,398.6875,530,14.831353625000002,-17.024173736572266,12657,0.024752266705036163,12758,1.159637451171875,-11.577923774719238,32,24
0.0003,388.0833333333333,587,14.760341666666669,-16.173904418945312,13870,0.01785733364522457,13971,0.8111901879310608,-10.61955451965332,36,23
0.0003,401.775,685,16.17310685,-15.205747604370117,15970,0.0102461576461792,16071,0.11814287304878235,-9.523313522338867,40,23
0.0003,386.4318181818182,728,15.865645136363637,-14.322809219360352,16902,0.00832220260053873,17003,0.09087458997964859,-7.294009208679199,44,23
0.0003,382.3541666666667,791,16.646376749999998,-13.322839736938477,18252,0.006322439759969711,18353,0.21316421031951904,1.1069581508636475,48,23
0.0003,373.0576923076923,838,16.935879403846155,-13.007684707641602,19298,0.006115964613854885,19399,0.33533942699432373,-1.3967194557189941,52,23
0.0003,375.94642857142856,914,18.561927696428572,-12.243169784545898,20952,0.0068314033560454845,21053,0.5772494673728943,0.8663068413734436,56,23
0.0003,370.56666666666666,967,18.811834433333335,-11.65072250366211,22133,0.00712687149643898,22234,0.1669866442680359,-0.022927269339561462,60,22
0.0003,375.9375,1050,20.6430375,-11.085969924926758,23959,0.007694111205637455,24060,0.29135435819625854,0.7992013692855835,64,22
0.0003,373.1470588235294,1110,20.94791885294117,-10.627910614013672,25273,0.00799938477575779,25374,0.05640159547328949,-0.16638536751270294,68,22
0.0003,377.77777777777777,1194,21.802382236111114,-9.920731544494629,27099,0.007445179857313633,27200,0.41176170110702515,-1.2221428155899048,72,22
0.0003,377.60526315789474,1262,22.465881473684213,-9.705205917358398,28597,0.006864288356155157,28698,0.23517465591430664,-2.221945285797119,76,22
0.0003,375.9875,1326,22.755862349999997,-9.407504081726074,29978,0.006794356275349855,30079,0.11434654146432877,-1.8665755987167358,80,22
