#{"t_start": 1763633479.3794088, "env_id": "None"}
r,l,t
9.311936,343,27.294134
15.82082,499,66.827544
20.196191,614,117.71364
5.459598,244,138.830706
7.856083,220,156.554543
16.541911,419,187.677557
6.569101,226,206.317718
13.72161,205,223.235369
26.191142,398,256.069031
7.400831,375,287.243924
8.080613,293,311.262184
20.836163,462,349.568468
11.444021,326,376.55144
14.711693,484,416.64447
3.7235,246,436.739749
17.761646,271,458.830247
27.521834,688,512.09454
40.751938,644,564.984397
8.545578,215,582.739143
21.593364,465,617.708173
19.647689,417,649.252855
17.136712,384,678.638019
4.060806,135,688.87345
19.609788,460,725.277752
12.19555,282,748.379317
13.366265,318,774.587871
9.239409,345,802.970096
28.681806,525,846.11576
22.561222,292,870.454637
42.245389,560,914.728187
27.513678,415,946.722428
43.377983,732,1005.768047
24.891002,457,1042.816716
13.040776,298,1067.074101
16.398055,292,1089.427462
12.03038,364,1117.07526
15.15286,376,1145.805337
22.704286,308,1169.247327
34.351808,464,1207.005743
22.147647,331,1233.292721
7.919472,206,1249.061656
11.229581,354,1276.027966
23.032066,360,1303.426353
18.396921,368,1331.094614
11.099954,246,1349.560787
9.566334,225,1366.532615
19.582052,323,1390.85551
19.169176,275,1411.575382
17.326055,331,1437.392478
24.299853,317,1462.229053
13.551641,418,1493.760195
18.158659,409,1523.648683
9.97452,339,1548.47601
24.848496,429,1579.092532
35.930669,522,1618.359797
22.134594,274,1640.471142
45.105686,524,1682.374579
16.898683,242,1702.12027
10.505247,180,1716.745646
54.718844,623,1767.235718
20.130481,293,1790.902139
49.55754,380,1821.664824
43.822371,350,1848.755489
30.383622,365,1878.332343
44.451708,368,1906.878613
27.533961,279,1929.566195
17.887425,312,1954.579036
21.568312,317,1979.942084
37.455823,342,2007.208303
38.695807,350,2032.04624
30.776751,457,2068.239228
25.887084,236,2087.236531
23.220705,237,2106.411578
38.288147,385,2137.425092
21.379208,296,2161.385065
43.499594,548,2205.476722
19.456061,245,2223.924153
15.555166,245,2242.14034
17.040501,242,2261.37326
19.863345,197,2277.179171
32.044524,399,2309.199512
23.887373,336,2336.259208
9.979789,222,2354.167216
39.857661,405,2384.592176
48.693408,538,2421.874324
18.395694,209,2437.611365
8.596228,161,2450.677514
27.564218,341,2478.156301
18.359616,316,2503.405317
15.188127,248,2522.906886
60.720904,557,2566.763706
28.147212,326,2592.59028
23.906429,252,2612.799845
15.724705,187,2627.814198
45.085185,423,2661.329112
49.090771,451,2696.052202
45.921695,475,2730.897396
14.482214,295,2753.302303
31.736519,346,2776.901857
29.589937,278,2795.931616
19.220652,320,2817.870562
31.028309,385,2844.246815
27.271096,297,2864.458788
50.53199,544,2907.687663
33.731407,279,2929.70845
20.799869,200,2945.762425
15.565785,254,2966.133533
23.381155,337,2993.040076
38.665798,335,3019.589113
23.442394,276,3040.272875
4.980343,122,3049.577794
32.886327,335,3076.182184
43.411995,409,3108.769885
41.990899,365,3137.687717
12.665067,169,3151.057152
20.597578,234,3169.712564
16.451441,152,3181.867246
22.03131,281,3204.2878
14.618398,255,3224.725791
12.024862,177,3238.946385
30.400543,294,3262.410982
17.72508,191,3277.696023
18.265244,221,3295.300735
13.355756,206,3311.904176
17.137444,227,3330.069485
6.751695,139,3340.039688
36.865718,345,3363.909195
29.586745,372,3389.421556
19.308554,274,3408.305313
29.801412,253,3427.259422
15.232319,166,3440.537749
43.757473,334,3466.858319
41.092503,315,3489.316394
4.410419,121,3497.886333
6.237938,123,3506.608156
23.441926,370,3536.125519
14.49531,207,3552.399462
20.170246,193,3567.715618
14.830234,185,3582.511001
12.718389,145,3594.156956
10.207238,174,3607.999006
13.85938,164,3621.075192
64.665879,343,3648.301631
10.223581,154,3660.650604
22.954825,253,3680.900689
41.77161,314,3705.674761
20.84937,242,3724.949649
44.40438,339,3751.58445
21.136478,250,3771.442766
53.235965,333,3797.570142
47.186519,465,3834.323273
29.326714,304,3856.569021
18.170481,217,3872.409939
13.565924,160,3884.043073
20.367335,256,3902.75878
28.594682,233,3919.770945
10.966986,218,3935.739604
18.431025,214,3951.446821
23.610714,224,3967.895408
35.425014,274,3987.84144
16.105388,181,4001.985836
20.756433,229,4020.105986
58.30455,413,4052.251105
20.024464,218,4067.024583
30.313991,275,4087.558999
25.350492,298,4111.156329
45.25517,394,4141.920937
22.863662,289,4164.122409
28.692286,259,4183.034837
11.730685,178,4196.450687
25.699619,300,4220.068647
27.704277,298,4243.543081
28.035723,227,4261.547376
16.302735,195,4277.083154
36.467484,382,4307.719485
24.792444,260,4328.709543
36.864209,389,4359.824583
19.572527,239,4379.359022
34.061708,366,4406.664034
35.348194,221,4421.933975
44.741367,333,4444.984928
23.465005,255,4465.451436
25.994344,230,4481.621411
41.489062,369,4511.046818
20.226541,227,4529.295318
26.817778,296,4553.18444
10.357034,160,4566.129717
29.594395,422,4599.740148
