time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss
4,1599,12.69713625,12,1700,0.6191775798797607,0.0003,0.3458290994167328,425.0,137,-13.057204246520996,-2.426877498626709
8,2669,11.93465625,12,2770,0.44956716895103455,0.0003,0.2975008487701416,346.25,221,-17.031190872192383,-4.010019779205322
12,4197,13.165499916666667,12,4298,0.28528112173080444,0.0003,0.28083139657974243,358.1666666666667,348,-20.00693130493164,-6.133756160736084
16,5524,12.8516786875,12,5625,0.19266116619110107,0.0003,0.665485143661499,351.5625,457,-21.082767486572266,-7.6409125328063965
20,7536,15.201978649999997,12,7637,0.10715534538030624,0.0003,0.1323019117116928,381.85,616,-21.063974380493164,-9.597942352294922
24,8932,15.187273666666668,12,9033,0.07163417339324951,0.0003,0.38632065057754517,376.375,723,-19.962324142456055,-10.586843490600586
28,10402,15.284914214285717,12,10503,0.04685917869210243,0.0003,0.24256372451782227,375.10714285714283,844,-19.0257625579834,-12.006002426147461
32,12401,17.6148709375,12,12502,0.027460670098662376,0.0003,0.27150052785873413,390.6875,1004,-18.30127716064453,-9.668190956115723
36,13812,17.50100230555556,12,13913,0.01885252445936203,0.0003,0.4606272578239441,386.47222222222223,1115,-17.052331924438477,-10.189693450927734
40,15291,18.109817099999997,12,15392,0.012673044577240944,0.0003,0.09563154727220535,384.8,1231,-16.1268367767334,-7.536079406738281
44,16579,17.84024372727273,12,16680,0.009312218986451626,0.0003,0.2269715964794159,379.09090909090907,1329,-15.685317993164062,-9.484471321105957
48,17648,17.591421666666665,12,17749,0.007497678976505995,0.0003,0.3571608066558838,369.7708333333333,1410,-14.949718475341797,1.1894015073776245
52,19123,17.648547076923077,12,19224,0.005818203091621399,0.0003,0.12163396179676056,369.6923076923077,1522,-13.9437894821167,-5.730552673339844
56,20687,18.046655839285712,12,20788,0.004822018090635538,0.0003,0.4684542417526245,371.2142857142857,1639,-12.885331153869629,4.1855692863464355
60,22256,18.964019783333335,12,22357,0.0055490159429609776,0.0003,0.10151705145835876,372.6166666666667,1765,-12.425806045532227,1.5086857080459595
64,23644,20.027112515625,12,23745,0.0057344441302120686,0.0003,0.20283448696136475,371.015625,1876,-12.068212509155273,1.3500571250915527
68,24920,20.487891279411766,12,25021,0.006667839363217354,0.0003,0.04303671419620514,367.95588235294116,1978,-11.53133487701416,1.9561041593551636
72,26305,21.194334333333334,12,26406,0.007097326219081879,0.0003,0.12201540172100067,366.75,2085,-11.004230499267578,3.193324327468872
76,27771,21.7418385,12,27872,0.007053988054394722,0.0003,0.1987314671278,366.7368421052632,2204,-10.391855239868164,-2.0412960052490234
80,28700,21.5536849875,12,28801,0.007079253438860178,0.0003,0.19684454798698425,360.0125,2275,-10.440255165100098,2.1932373046875
84,30062,21.786477928571426,12,30163,0.007782780099660158,0.0003,0.1559748649597168,359.0833333333333,2383,-10.125115394592285,-0.09402333945035934
88,31311,21.969473795454547,12,31412,0.006753766443580389,0.0003,0.08018114417791367,356.95454545454544,2476,-9.527984619140625,-1.246697187423706
92,32758,22.344886445652175,12,32859,0.006062761414796114,0.0003,0.21935921907424927,357.1630434782609,2591,-8.907060623168945,-1.6056296825408936
96,34071,22.807673364583337,12,34172,0.006207802798599005,0.0003,0.3213576078414917,355.9583333333333,2694,-8.949357986450195,-2.221926212310791
100,35465,23.112670080000008,12,35566,0.00651699211448431,0.0003,0.46314018964767456,355.66,2794,-8.686110496520996,1.3111227750778198
104,37011,23.8853051,12,37112,0.007234261836856604,0.0003,0.126301109790802,354.12,2906,-8.525412559509277,2.1316773891448975
108,38081,24.37320021,12,38182,0.006913535296916962,0.0003,0.3238773047924042,354.12,2991,-8.202073097229004,-1.7900389432907104
112,39149,24.747861340000004,12,39250,0.006958879996091127,0.0003,0.08432523906230927,349.52,3074,-8.130766868591309,0.46350646018981934
