rollout/ep_len_mean,train/ent_coef,train/actor_loss,time/fps,time/episodes,train/critic_loss,time/time_elapsed,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss
303.25,0.7165895700454712,-10.700518608093262,19,4,0.04720233380794525,62,0.0003,1213,7.66672125,1112,-1.680298089981079
324.875,0.47325292229652405,-16.366870880126953,18,8,0.4632941484451294,144,0.0003,2599,8.882448625,2498,-3.731243133544922
316.1666666666667,0.3313862383365631,-18.967243194580078,17,12,0.2511800229549408,212,0.0003,3794,8.042873,3693,-5.4465556144714355
330.1875,0.21366094052791595,-20.42112159729004,17,16,0.5889788866043091,299,0.0003,5283,8.75912625,5182,-7.1985859870910645
375.1,0.11157029122114182,-20.16762351989746,17,20,0.22270894050598145,426,0.0003,7502,11.317453000000002,7401,-9.558367729187012
367.125,0.07680131494998932,-19.827388763427734,17,24,0.5101301670074463,502,0.0003,8811,11.798924375,8710,-10.755722999572754
359.92857142857144,0.053593628108501434,-19.399099349975586,17,28,0.0974598377943039,574,0.0003,10078,12.017715071428572,9977,-11.490922927856445
361.59375,0.03537655249238014,-17.888683319091797,17,32,0.7968298196792603,660,0.0003,11571,12.97273128125,11470,-9.750353813171387
351.6388888888889,0.02655153162777424,-17.09009552001953,17,36,0.10357795655727386,721,0.0003,12659,13.028103805555556,12558,-11.655532836914062
355.425,0.017461244016885757,-15.485224723815918,17,40,0.16633352637290955,810,0.0003,14217,13.920902925000002,14116,-7.596550941467285
353.5,0.012824833393096924,-15.071986198425293,17,44,0.39594727754592896,886,0.0003,15554,14.233225386363637,15453,-7.6383538246154785
363.1041666666667,0.007522915489971638,-13.985527992248535,17,48,0.11530550569295883,993,0.0003,17429,15.5868691875,17328,-6.2893781661987305
371.03846153846155,0.005794530734419823,-13.083866119384766,17,52,0.0791684091091156,1096,0.0003,19294,18.00516448076923,19193,1.5247013568878174
372.3392857142857,0.006404068320989609,-12.590120315551758,17,56,0.08609981834888458,1183,0.0003,20851,18.805772553571426,20750,-0.3214561343193054
371.4,0.006250470411032438,-12.125455856323242,17,60,0.05431320518255234,1263,0.0003,22284,19.543012033333333,22183,2.53308367729187
371.78125,0.006708801724016666,-11.515918731689453,17,64,0.3096587061882019,1346,0.0003,23794,20.251063296875,23693,0.51448655128479
366.05882352941177,0.006695104762911797,-11.237456321716309,17,68,0.08006980270147324,1407,0.0003,24892,20.336910441176467,24791,-3.1800894737243652
359.81944444444446,0.006553242448717356,-10.89085578918457,17,72,0.06679839640855789,1463,0.0003,25907,20.299823347222222,25806,-0.15944595634937286
356.5921052631579,0.006799275986850262,-10.253349304199219,17,76,0.17384351789951324,1530,0.0003,27101,20.668724710526316,27000,0.21613328158855438
351.1875,0.006432024762034416,-10.646976470947266,17,80,0.057161301374435425,1585,0.0003,28095,20.7436733375,27994,0.7613664865493774
348.35714285714283,0.005935815162956715,-10.398612976074219,17,84,0.10276307165622711,1649,0.0003,29262,21.176988035714288,29161,2.2772228717803955
344.3636363636364,0.0062059322372078896,-9.73575496673584,17,88,0.22809775173664093,1707,0.0003,30304,21.49690290909091,30203,1.4972269535064697
340.7173913043478,0.007323136553168297,-9.768875122070312,17,92,0.2231169044971466,1765,0.0003,31346,21.61347239130435,31245,-1.3698045015335083
337.0729166666667,0.007233723532408476,-9.501716613769531,17,96,0.10814660787582397,1820,0.0003,32359,21.750828624999997,32258,-1.5848100185394287
333.2,0.006902371998876333,-9.57038688659668,17,100,0.2615284025669098,1874,0.0003,33320,21.90147343,33219,-1.132324457168579
331.82,0.006931654177606106,-9.257713317871094,17,104,0.16679146885871887,1933,0.0003,34395,22.644861430000002,34294,-0.7792336940765381
328.72,0.006747792009264231,-9.12070369720459,17,108,0.3244006335735321,1992,0.0003,35471,23.399944200000004,35370,-0.2120494842529297
328.78,0.006847759243100882,-9.005417823791504,17,112,0.17046305537223816,2060,0.0003,36672,24.158049109999997,36571,0.9826907515525818
325.23,0.006524743512272835,-8.567638397216797,17,116,0.25219887495040894,2123,0.0003,37806,25.051584430000002,37705,-0.6678876876831055
317.43,0.0066346111707389355,-8.479449272155762,17,120,0.5698125958442688,2202,0.0003,39245,25.88039259,39144,1.9855480194091797
318.03,0.0071607548743486404,-8.331138610839844,17,124,0.07211865484714508,2278,0.0003,40614,26.782578210000008,40513,-0.5280189514160156
317.51,0.0069809118285775185,-8.29769515991211,17,128,0.08140301704406738,2346,0.0003,41829,27.512282779999996,41728,-0.7794176340103149
314.96,0.007029151543974876,-8.164560317993164,17,132,0.31663745641708374,2415,0.0003,43067,28.131979210000004,42966,1.5844470262527466
315.12,0.007130100391805172,-8.155191421508789,17,136,0.3270038366317749,2477,0.0003,44171,28.871729780000006,44070,0.00689271092414856
308.15,0.007049374748021364,-7.972287654876709,17,140,0.37100714445114136,2525,0.0003,45032,28.645514390000002,44931,2.129380464553833
305.45,0.00684656435623765,-7.812787055969238,17,144,0.4649256765842438,2585,0.0003,46099,29.00319899,45998,-2.0841569900512695
299.44,0.006576861720532179,-7.94705057144165,17,148,0.15331906080245972,2656,0.0003,47373,29.042069299999998,47272,-0.2639307379722595
295.5,0.006608061492443085,-7.528127193450928,17,152,0.31787434220314026,2737,0.0003,48844,28.63316203999999,48743,0.31894099712371826
292.52,0.006977024953812361,-7.464327812194824,17,156,0.1032257080078125,2806,0.0003,50103,28.714819860000002,50002,0.9020674824714661
294.47,0.006797752343118191,-7.461822986602783,17,160,0.37276577949523926,2894,0.0003,51731,29.445345440000004,51630,0.5618458986282349
