#{"t_start": 1763019904.7971907, "env_id": "None"}
r,l,t
47.75107,77,1.229284
592.09617,252,5.498909
302.520592,205,9.388566
204.72866,168,12.322903
138.396115,155,15.059027
144.629878,138,17.537201
137.443608,122,19.64961
180.261024,114,21.593399
115.018006,93,23.183681
122.534256,111,25.086133
172.614893,146,27.659154
178.333381,253,32.227504
265.920033,170,35.303277
461.756645,329,41.227204
44.063847,54,42.21781
102.700337,89,43.942409
148.392818,128,46.27035
169.735252,137,48.684413
369.032152,260,53.478125
163.737969,114,55.556834
191.40017,158,58.517525
126.42561,151,61.253511
341.430683,242,65.515531
249.522489,230,69.832395
153.717669,138,72.369534
178.098906,108,74.290533
397.506948,169,77.345133
171.781017,88,79.095037
103.330948,87,80.693664
163.698771,182,84.337744
227.142678,201,88.655708
169.842697,128,91.038177
498.48402,239,95.308925
291.83198,151,97.9553
204.571641,214,102.025241
192.216696,162,105.644955
204.529382,169,109.019702
105.744523,85,110.572399
34.186558,49,111.489118
329.588687,262,116.255474
600.015755,325,122.346093
172.811842,105,124.39867
162.380435,132,126.96591
89.353075,86,128.860603
325.604447,238,133.532707
295.065022,240,137.916128
238.824786,186,141.191514
233.394149,175,144.306723
119.590815,93,145.964848
159.524903,124,148.117736
316.259249,153,151.418387
265.492049,248,156.260576
167.968829,146,159.06466
228.142941,215,163.148163
397.066204,217,167.754419
246.716173,218,171.766731
124.756714,89,173.423618
381.902395,272,178.281681
98.881999,95,179.983435
230.643967,223,183.852251
157.276558,135,186.210768
224.500909,235,190.476192
155.105925,166,193.665257
106.520003,86,195.244879
154.976738,117,197.249129
292.31471,203,200.699393
135.350195,131,202.952158
151.118729,195,206.549582
324.353219,197,210.276666
235.624804,242,214.594568
157.817945,108,216.536116
205.569657,194,220.11644
121.150455,93,221.803774
210.715842,172,224.858706
147.927782,139,227.904634
167.538782,113,230.023676
195.184278,158,232.957089
47.192163,68,234.364332
293.596631,201,238.015422
292.428485,182,241.183974
171.150631,165,244.008763
248.503622,268,248.64541
133.252378,92,250.264145
216.531562,139,252.75699
252.473158,178,256.137789
236.291733,162,259.084293
469.21398,221,262.87068
167.586723,149,265.420146
147.3704,103,267.312135
199.045683,162,270.286836
118.388505,136,272.74333
213.892271,197,276.165616
136.583849,101,277.934397
193.402184,160,280.680108
121.003475,120,282.721695
207.863074,141,285.138567
440.569042,270,289.744265
131.132706,152,292.331566
104.039705,91,293.901733
245.674477,150,296.447176
179.238152,152,299.169136
140.24781,95,300.897735
347.850738,207,304.46397
140.438034,129,306.748742
259.867237,232,310.725361
653.648945,329,316.393798
195.110082,116,318.639293
313.426188,190,321.934659
495.782985,297,327.538582
212.200758,201,331.178111
194.186898,160,334.177473
220.416496,157,337.108519
173.618008,148,339.832765
207.399404,162,342.743253
146.001334,131,345.213905
141.502288,147,347.931408
209.6853,253,352.485575
162.198148,158,355.355019
190.88859,227,359.56972
444.795477,292,364.828873
123.416082,136,367.430613
412.343465,216,371.283923
102.905234,75,372.633944
166.032613,175,375.695445
117.201458,111,377.674187
121.952626,113,379.936453
71.646829,66,381.427643
229.557178,190,384.853273
296.250078,151,387.736006
96.462746,70,388.995975
166.992668,188,392.517144
358.188682,341,398.79302
310.580575,215,402.691834
210.745947,194,406.144578
363.974914,275,411.178449
170.848072,133,413.599065
141.815025,146,416.23279
206.244636,178,419.51092
110.135961,109,421.425271
241.525305,172,424.616381
206.981095,245,429.092503
185.336985,153,431.791574
303.365813,220,435.690845
338.98698,255,440.26039
128.188174,146,443.363661
264.940453,203,447.26042
210.285939,119,449.547069
83.516643,77,451.010938
189.090074,159,453.976202
82.042701,65,455.150487
95.50516,100,456.943034
275.722809,207,460.72925
267.685484,150,463.407518
81.06287,69,464.662117
237.333294,195,468.173818
173.798924,129,470.594609
1009.671673,500,479.694423
412.740616,211,483.692995
90.611768,88,485.283421
200.067636,158,488.18568
179.101008,126,490.609674
206.522202,168,493.685647
200.219089,148,496.364439
230.025557,152,499.221277
209.115824,172,502.448858
