train/learning_rate,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/episodes,train/critic_loss,train/actor_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/ent_coef
0.0003,0.2580753564834595,11,702,91764,4,63.70366668701172,-41.150718688964844,175.5,61,286.77412300000003,0.11748230457305908
0.0003,-0.7328236103057861,20,1231,92293,8,12.28874397277832,-39.88904571533203,153.875,59,218.478389625,0.10350046306848526
0.0003,0.16292865574359894,31,1834,92896,12,46.16130828857422,-39.58157730102539,152.83333333333334,58,194.6939710833333,0.09027296304702759
0.0003,0.8859630227088928,43,2476,93538,16,23.348709106445312,-40.239688873291016,154.75,57,200.6730321875,0.09111633151769638
0.0003,-1.2011858224868774,54,3115,94177,20,9.244688034057617,-41.435142517089844,155.75,56,203.0833353,0.08689132332801819
0.0003,-1.4635432958602905,68,3896,94958,24,32.93312072753906,-40.31153869628906,162.33333333333334,56,207.1019024166667,0.08144836127758026
0.0003,-0.45266926288604736,78,4399,95461,28,18.87022590637207,-43.256526947021484,157.10714285714286,56,209.6982213571429,0.08026381582021713
0.0003,-0.4290599822998047,90,4997,96059,32,42.325538635253906,-43.31246566772461,156.15625,55,204.23641537499998,0.08267928659915924
0.0003,1.3046154975891113,104,5763,96825,36,15.076662063598633,-41.084251403808594,160.08333333333334,55,214.51860080555554,0.08593742549419403
0.0003,0.5446332693099976,115,6328,97390,40,15.802749633789062,-38.944801330566406,158.2,54,209.91796947499998,0.08726148307323456
0.0003,-0.5945941209793091,127,6976,98038,44,35.61642074584961,-41.0692253112793,158.54545454545453,54,214.11999740909087,0.08602893352508545
0.0003,0.5529159903526306,143,7815,98877,48,28.325048446655273,-42.01897048950195,162.8125,54,219.04517270833333,0.08750084042549133
0.0003,0.43118125200271606,155,8433,99495,52,35.41830062866211,-41.55900573730469,162.17307692307693,54,218.75067896153845,0.08588247001171112
0.0003,1.1189802885055542,170,9229,100291,56,29.80331802368164,-40.8023567199707,164.80357142857142,54,221.69516880357145,0.08850377798080444
0.0003,0.07216790318489075,182,9908,100970,60,47.82910919189453,-41.7807731628418,165.13333333333333,54,220.85190879999996,0.09150481969118118
0.0003,0.096183180809021,194,10530,101592,64,27.21750831604004,-41.30698013305664,164.53125,54,217.101842546875,0.09398908913135529
0.0003,-1.4140827655792236,205,11176,102238,68,26.545120239257812,-40.4179801940918,164.35294117647058,54,215.12173963235296,0.09299158304929733
0.0003,0.4181118607521057,219,11917,102979,72,32.63798522949219,-43.41069030761719,165.51388888888889,54,215.99505444444443,0.0931352749466896
0.0003,-0.5431190729141235,229,12434,103496,76,41.246604919433594,-40.76795196533203,163.60526315789474,54,213.14443132894735,0.09249907732009888
0.0003,-1.0207443237304688,240,13043,104105,80,35.04107666015625,-39.04303741455078,163.0375,54,212.84222922500004,0.08931858092546463
0.0003,-0.08256572484970093,251,13707,104769,84,21.501028060913086,-42.22124481201172,163.17857142857142,54,211.86686346428576,0.08878067880868912
0.0003,-1.6657569408416748,264,14417,105479,88,31.656394958496094,-41.653133392333984,163.82954545454547,54,215.02706960227272,0.08982901275157928
0.0003,-0.14791901409626007,275,15015,106077,92,18.503398895263672,-40.89333724975586,163.20652173913044,54,213.05520634782607,0.09001639485359192
0.0003,-0.5207032561302185,284,15537,106599,96,41.36444091796875,-43.77351379394531,161.84375,54,211.0409538125,0.08889057487249374
0.0003,0.3528938889503479,295,16200,107262,100,26.18970489501953,-41.033226013183594,162.0,54,211.81347495999998,0.09024643152952194
0.0003,-0.1668979972600937,305,16783,107845,104,30.128034591674805,-38.16699981689453,160.81,54,208.42025738,0.0917816311120987
0.0003,-0.4334263801574707,321,17650,108712,108,41.295082092285156,-40.491031646728516,164.19,54,216.63347565,0.08874368667602539
0.0003,-0.7372063398361206,336,18465,109527,112,29.511985778808594,-38.85546112060547,166.31,54,221.97434166000002,0.0870174765586853
0.0003,0.2944176197052002,347,19053,110115,116,63.86278533935547,-37.564640045166016,165.77,54,219.91514338000002,0.08339612185955048
0.0003,-1.0810084342956543,363,19983,111045,120,43.75642395019531,-43.140377044677734,168.68,54,221.48183662,0.08288310468196869
0.0003,-1.4525713920593262,374,20585,111647,124,39.03937911987305,-40.26581573486328,166.89,54,220.44102104,0.08871184289455414
0.0003,0.04246622323989868,383,21065,112127,128,46.43018341064453,-41.7449951171875,166.66,54,216.83355654999997,0.08916160464286804
0.0003,1.4179775714874268,397,21815,112877,132,47.84500503540039,-43.03422546386719,168.18,54,219.37234734999998,0.09009383618831635
0.0003,0.5761685371398926,412,22632,113694,136,44.58853530883789,-42.401641845703125,168.69,54,218.06279906,0.09092594683170319
0.0003,-1.285879373550415,423,23237,114299,140,16.545000076293945,-43.580142974853516,169.09,54,218.31951682999997,0.09190532565116882
0.0003,2.190385103225708,439,24110,115172,144,37.29402160644531,-40.24640655517578,171.34,54,218.42061449000002,0.09619375318288803
0.0003,-0.8791366815567017,450,24655,115717,148,37.75091552734375,-43.568634033203125,168.4,54,214.36104253999994,0.0966658666729927
0.0003,0.6942802667617798,459,25186,116248,152,49.762786865234375,-42.2647590637207,167.53,54,212.17597981999995,0.09686863422393799
0.0003,0.2551598846912384,469,25729,116791,156,29.343643188476562,-44.53969192504883,165.0,54,209.37584407000003,0.09896132349967957
0.0003,-0.330186665058136,487,26686,117748,160,43.1749267578125,-43.5328483581543,167.78,54,218.14491024999998,0.09441300481557846
0.0003,-1.0682743787765503,498,27280,118342,164,28.524986267089844,-42.78266143798828,167.5,54,219.86955486000002,0.09162482619285583
0.0003,-2.5947482585906982,512,28027,119089,168,34.03791046142578,-39.933509826660156,168.51,54,222.36548463000003,0.08576487004756927
