#{"t_start": 1763017880.436913, "env_id": "None"}
r,l,t
67.03758,135,1.823393
73.702022,207,5.293297
32.396899,81,6.588043
46.646187,66,7.624535
73.885173,132,9.787884
66.16912,180,12.739594
48.154894,103,14.471753
56.433342,93,16.039891
90.421174,146,18.392082
153.078638,201,21.717949
147.682619,164,24.458756
113.219217,154,27.046339
40.35632,63,28.070447
54.272227,77,29.359337
50.718959,84,30.726892
28.390646,60,31.89073
111.905986,131,34.101924
109.169893,141,36.667049
51.121339,79,37.959253
88.142077,129,40.090003
83.927394,107,41.89351
107.655567,104,43.796221
149.406141,121,46.112855
48.597109,65,47.353071
99.683155,142,49.868846
142.69241,162,52.795113
67.951848,93,54.473127
104.970757,122,56.71594
150.396398,130,59.302192
199.976233,210,64.045117
76.982825,114,66.818469
98.606721,134,69.278693
116.883998,163,72.084911
113.275373,239,76.49168
63.754585,90,78.054018
78.561813,106,79.79581
57.072406,82,81.149926
82.470477,144,83.649649
95.382777,137,85.950283
147.112013,160,88.67033
97.878315,130,91.035217
93.705104,144,93.500639
142.755184,184,96.737437
121.069264,140,99.352281
114.335409,152,101.850851
40.718349,82,103.200822
80.721087,100,104.862858
225.141809,256,109.046536
198.523484,207,112.623818
160.223989,210,116.088727
73.580972,80,117.403917
29.432143,49,118.199311
67.360438,73,119.400886
146.398954,125,121.443682
93.551639,160,124.094937
138.40409,122,126.109149
116.640617,92,127.655725
166.261716,166,130.421045
138.27641,125,132.480477
116.968784,93,134.021966
108.76956,149,136.491516
168.31283,133,138.664668
142.007519,117,140.581486
68.3367,75,141.817108
115.919029,81,143.132711
139.867742,145,145.503582
128.261898,130,147.639637
140.564663,152,150.129595
179.639278,123,152.143847
141.601706,138,154.406172
100.312718,95,155.962985
127.377426,114,157.833319
212.418911,153,160.47668
156.543841,159,163.310902
145.972118,88,164.74873
202.675627,201,168.03409
138.830624,108,169.774005
332.921988,300,174.653639
224.894705,183,177.822041
92.788097,81,179.147957
128.728309,131,181.295204
136.053026,141,183.792725
72.856211,65,184.974461
158.991423,109,186.811887
165.672218,164,189.701893
133.792074,107,191.490726
385.462583,207,194.916701
239.20989,154,197.58228
78.214794,74,198.790494
117.14073,134,200.976869
488.564203,317,206.157195
357.799826,256,210.474799
345.627053,190,213.560102
187.264067,132,215.79835
70.228139,77,217.049001
196.711505,147,219.542955
93.612188,73,221.02774
225.550615,206,225.645888
164.708613,176,228.696333
180.842716,163,231.791068
274.237123,142,234.349013
119.328005,119,236.946824
339.130173,233,241.284838
162.68565,178,244.920978
221.626456,199,248.885332
202.183528,237,254.486184
202.127184,132,257.616671
101.462048,105,259.714865
488.970851,226,264.306145
214.524135,182,267.409964
256.243003,261,272.341665
234.28719,207,276.04343
144.372545,123,278.195906
101.654758,128,280.446301
251.770725,201,283.998361
178.701634,154,286.861778
207.314368,237,291.19617
121.0993,162,294.02385
191.63216,149,296.752667
136.472185,160,299.687712
202.925371,194,303.33323
339.216325,343,309.65607
466.580522,328,315.452135
156.828749,129,317.966218
192.198043,223,321.694851
191.900453,195,325.043555
160.117151,205,328.716155
201.108776,222,332.925182
195.592387,158,336.336929
161.149944,193,339.900859
153.767506,163,343.62624
124.438058,129,346.382298
299.337854,188,350.842658
324.699013,220,355.41641
222.736795,213,359.18783
478.813386,397,366.410918
100.702573,137,369.003024
256.146942,200,372.592107
137.814577,143,375.271242
144.129867,162,378.142578
91.170602,113,380.100834
192.290317,224,384.112168
192.844675,265,388.636556
138.793609,163,391.380435
303.450982,271,396.143172
151.327249,171,399.168478
261.552023,245,403.417693
153.25503,149,406.065641
99.025197,122,408.132639
227.878527,298,413.819796
137.581783,180,416.992538
176.065343,200,420.542258
93.733965,98,422.255749
137.19486,165,425.177294
259.86482,201,428.942155
406.910085,318,434.929056
199.534699,171,437.985909
172.367609,138,440.25859
38.511695,56,441.165265
267.73757,252,445.240518
149.311657,214,448.725537
359.028193,221,452.332099
52.316869,60,453.302836
469.468003,373,459.422033
117.01858,125,461.488038
117.941028,129,463.637541
303.351744,229,467.276248
88.965677,88,468.787959
289.054819,256,473.369297
515.18622,300,478.444073
178.435857,186,481.611099
207.476921,264,486.106295
358.577183,199,489.609523
181.171922,169,492.593589
70.168364,74,494.317626
269.825557,284,499.468025
256.193353,245,503.582427
170.782741,145,505.953462
236.51301,253,510.034951
217.864591,232,513.828099
335.856388,285,518.433718
385.941708,271,523.532644
89.912315,106,525.428928
159.960109,172,528.508306
328.15541,295,533.747896
281.928312,184,537.772171
237.232998,219,541.80855
142.059805,150,544.448553
251.64196,206,547.861518
112.87575,117,549.948139
109.983352,102,551.697426
85.230134,75,552.953268
217.212063,223,556.685093
227.345631,239,560.681605
182.247653,174,563.632679
188.508814,145,566.200932
600.539997,287,570.978201
181.357912,135,573.355798
78.796395,68,574.483853
158.070314,226,578.492094
196.362604,190,582.626068
251.05611,196,586.380029
330.366937,261,590.758969
125.964658,123,592.961885
162.007524,97,594.611534
177.152289,189,597.989746
269.940943,178,601.347269
172.118616,185,604.535942
286.282777,322,609.956288
129.159198,123,612.010202
279.316337,297,616.943132
157.080074,146,619.375881
251.70616,229,623.182411
128.13422,98,624.874822
133.30884,93,626.443276
221.833516,208,629.946084
274.976487,226,633.660109
212.766647,177,636.620718
415.641552,292,642.435493
180.974326,190,645.776877
178.931848,156,648.901577
170.852808,134,651.229765
93.569635,117,653.14673
206.949685,185,656.425579
109.299963,130,658.695655
142.99238,148,661.308545
117.251645,108,663.160015
222.00979,183,666.120997
163.511109,144,668.488756
126.726037,114,670.394826
474.253524,274,674.882422
151.246849,118,676.872911
82.083649,74,678.118344
232.871511,129,680.275162
116.536997,93,681.792352
178.827461,164,684.491894
125.634204,104,686.289392
69.805315,79,687.567333
128.92934,127,689.644685
244.28367,213,693.101731
171.920304,123,695.088137
87.274879,109,696.858105
137.73957,145,699.203457
154.589542,110,700.981501
177.870714,167,703.670185
