train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/fps,train/n_updates,time/total_timesteps,rollout/ep_rew_mean
0.1662478744983673,27,0.0003,0.8066532611846924,4,204.5,-1.0823644399642944,-8.276460647583008,30,717,818,6.332469250000001
0.07431325316429138,76,0.0003,0.5261693596839905,8,280.5,-3.238898277282715,-15.261246681213379,29,2143,2244,9.05536225
0.12287618219852448,114,0.0003,0.38255709409713745,12,275.8333333333333,-4.834814071655273,-18.26378631591797,29,3209,3310,9.719627333333333
0.32376113533973694,149,0.0003,0.2822314500808716,16,270.5,-6.330328941345215,-19.49694061279297,28,4227,4328,9.532142875000002
0.14634370803833008,199,0.0003,0.18457913398742676,20,288.0,-8.055305480957031,-20.41878890991211,28,5659,5760,10.479369650000002
0.2146715223789215,292,0.0003,0.08528261631727219,24,351.625,-10.676764488220215,-20.08693504333496,28,8338,8439,14.697161791666666
0.16849741339683533,352,0.0003,0.05133115500211716,28,363.82142857142856,-12.592867851257324,-19.152746200561523,28,10086,10187,15.545272214285713
1.0371601581573486,400,0.0003,0.03439640626311302,32,362.46875,-11.551026344299316,-18.084762573242188,28,11498,11599,15.57798846875
0.2288149893283844,453,0.0003,0.02331515960395336,36,364.5833333333333,-11.32636833190918,-17.27079963684082,28,13024,13125,16.44175925
0.5820465683937073,505,0.0003,0.015615577809512615,40,366.9,-9.89295768737793,-15.8358154296875,29,14575,14676,17.151981975
0.2834430932998657,568,0.0003,0.010731452144682407,44,366.77272727272725,-4.880220890045166,-14.766794204711914,28,16037,16138,17.700532250000002
0.07575909793376923,643,0.0003,0.00790458358824253,48,372.9166666666667,-1.9639028310775757,-13.798611640930176,27,17799,17900,18.66901785416667
0.04132572188973427,689,0.0003,0.006711271591484547,52,367.5192307692308,-1.2097715139389038,-13.638412475585938,27,19010,19111,19.004957230769232
0.047675371170043945,731,0.0003,0.006505805067718029,56,361.3392857142857,-0.7573591470718384,-12.663933753967285,27,20134,20235,19.36463905357143
0.13039425015449524,777,0.0003,0.006012618541717529,60,357.95,-1.3968433141708374,-12.427815437316895,27,21376,21477,19.407020499999998
0.17971524596214294,832,0.0003,0.005856584757566452,64,358.984375,-0.7732889652252197,-11.581584930419922,27,22874,22975,19.58878446875
0.18816471099853516,869,0.0003,0.005437048152089119,68,352.1029411764706,-1.4118115901947021,-11.358593940734863,27,23842,23943,19.44494439705882
0.4261568784713745,923,0.0003,0.005765511654317379,72,352.90277777777777,0.051408618688583374,-10.954976081848145,27,25308,25409,19.93768901388889
0.3242631256580353,968,0.0003,0.006000102497637272,76,350.5394736842105,-0.5489017367362976,-10.44865894317627,27,26540,26641,20.574802434210525
0.5770291090011597,1009,0.0003,0.006169584579765797,80,346.9625,-0.06865841895341873,-10.03687572479248,27,27656,27757,20.647935975000003
0.5817291140556335,1058,0.0003,0.0063335648737847805,84,345.98809523809524,-1.472145915031433,-10.034101486206055,27,28962,29063,21.082299916666667
0.4719250202178955,1115,0.0003,0.006683379411697388,88,347.78409090909093,1.3908629417419434,-9.249394416809082,27,30504,30605,21.72364552272727
0.5034469366073608,1168,0.0003,0.006722462363541126,92,348.7173913043478,0.3942447900772095,-9.431381225585938,27,31981,32082,21.887914423913042
0.4266684055328369,1232,0.0003,0.00637794891372323,96,352.2604166666667,0.7565875053405762,-8.997954368591309,27,33716,33817,22.56214157291667
0.4439769983291626,1283,0.0003,0.006398628931492567,100,352.07,-0.9203697443008423,-8.578601837158203,27,35106,35207,22.94822107
0.1524200439453125,1326,0.0003,0.006193985231220722,104,355.61,0.8122127056121826,-8.464542388916016,27,36278,36379,23.883022789999995
0.5810226202011108,1381,0.0003,0.006318714469671249,108,356.08,-1.026231050491333,-8.352781295776367,27,37751,37852,24.969281990000002
0.1011466532945633,1434,0.0003,0.005622015334665775,112,359.86,0.2415340691804886,-7.715880870819092,27,39195,39296,25.694493300000005
0.14765867590904236,1476,0.0003,0.006020806729793549,116,361.17,1.1135505437850952,-7.83353328704834,27,40344,40445,26.339078160000003
0.28057920932769775,1518,0.0003,0.005948267877101898,120,358.12,1.4403979778289795,-7.472690582275391,27,41471,41572,26.74686575
0.16364634037017822,1559,0.0003,0.005857514683157206,124,342.67,0.2125461995601654,-7.2867045402526855,27,42605,42706,26.429582890000002
0.29126858711242676,1602,0.0003,0.005951121915131807,128,336.8,-1.3787214756011963,-7.486093044281006,27,43766,43867,26.868693460000003
0.13760283589363098,1645,0.0003,0.006967506371438503,132,334.38,0.2585946023464203,-7.44325065612793,27,44936,45037,27.62727362
0.061378300189971924,1693,0.0003,0.006753592751920223,136,332.0,0.10671921074390411,-7.262104034423828,27,46224,46325,28.290571170000003
0.1133280098438263,1741,0.0003,0.0069323815405368805,140,329.25,-0.09195831418037415,-7.142191410064697,27,47500,47601,28.38116802
0.13332131505012512,1790,0.0003,0.006975793745368719,144,327.75,-0.8162534236907959,-7.111749172210693,27,48812,48913,28.521744679999998
0.07402794063091278,1828,0.0003,0.006922557484358549,148,320.43,-1.16520094871521,-7.150331497192383,27,49842,49943,28.247755380000005
0.08220106363296509,1871,0.0003,0.006894805934280157,152,319.79,1.39041006565094,-6.875966548919678,27,50989,51090,28.54518512
0.8196548223495483,1921,0.0003,0.00713028060272336,156,322.03,-1.1378231048583984,-6.98786735534668,27,52337,52438,29.01167128
0.20201486349105835,1972,0.0003,0.007127782329916954,160,323.35,-0.481363445520401,-6.683724880218506,27,53711,53812,29.72703485
