train/ent_coef,train/critic_loss,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean
0.7206089496612549,0.6721693873405457,32,0.0003,1093,-1.652879238128662,-10.85594654083252,36,1194,4,24.626189250000003,298.5
0.478356271982193,0.44901734590530396,31,0.0003,2464,-3.650308847427368,-16.931133270263672,81,2565,8,34.530248875,320.625
0.34969276189804077,0.8432452082633972,31,0.0003,3517,-5.176616191864014,-20.02300262451172,116,3618,12,33.55112875,301.5
0.2493411898612976,1.6129239797592163,30,0.0003,4680,-6.2384538650512695,-21.814865112304688,154,4781,16,34.270664437499995,298.8125
0.16590234637260437,1.0226659774780273,31,0.0003,6105,-7.820340156555176,-22.587909698486328,199,6206,20,36.3365045,310.3
0.10990966111421585,1.6053248643875122,31,0.0003,7554,-8.149044036865234,-22.913705825805664,245,7655,24,40.47842645833333,318.9583333333333
0.07419127225875854,0.5130588412284851,31,0.0003,8994,-9.23673152923584,-23.075231552124023,291,9095,28,44.21494042857143,324.82142857142856
0.04989390820264816,0.27245914936065674,31,0.0003,10437,-8.45350456237793,-22.619386672973633,339,10538,32,45.9272551875,329.3125
0.033093128353357315,0.3990793824195862,31,0.0003,12011,-5.7326741218566895,-21.82970428466797,390,12112,36,48.597906277777774,336.44444444444446
0.022599821910262108,0.6597472429275513,31,0.0003,13543,-7.980003356933594,-21.526161193847656,439,13644,40,50.364208899999994,341.1
0.015933075919747353,1.385303258895874,30,0.0003,15000,-4.527079105377197,-21.310007095336914,489,15101,44,52.04290536363636,343.20454545454544
0.011814379133284092,1.5979187488555908,30,0.0003,16660,-1.6449787616729736,-20.45186996459961,548,16761,48,53.204717458333334,349.1875
0.010645872913300991,0.9766526818275452,29,0.0003,18495,2.462005615234375,-20.044330596923828,621,18596,52,55.00030121153846,357.61538461538464
0.011928105726838112,0.5866332054138184,29,0.0003,20412,1.1417038440704346,-19.649412155151367,684,20513,56,56.34745094642857,366.30357142857144
0.011716285720467567,0.36196672916412354,30,0.0003,22178,1.3439502716064453,-19.22382354736328,742,22279,60,57.204545700000004,371.31666666666666
0.011181683279573917,0.3614398241043091,30,0.0003,23331,-0.09050454199314117,-18.739774703979492,780,23432,64,56.485329890624996,366.125
0.009861958213150501,0.5656858682632446,30,0.0003,24565,-1.6461118459701538,-18.503110885620117,820,24666,68,56.56813955882353,362.7352941176471
0.011516164988279343,0.4135338068008423,29,0.0003,25718,-0.34057319164276123,-17.736963272094727,871,25819,72,56.55868859722222,358.59722222222223
0.014296510256826878,0.39334505796432495,29,0.0003,26952,-0.20810949802398682,-17.492250442504883,910,27053,76,56.81204449999999,355.9605263157895
0.012724975124001503,0.5116122961044312,29,0.0003,28340,-1.4538111686706543,-17.568592071533203,955,28441,80,57.06775005000001,355.5125
0.016550082713365555,0.4031188189983368,29,0.0003,29617,2.2376294136047363,-17.056774139404297,1001,29718,84,57.44734571428572,353.7857142857143
0.01864306628704071,0.13461941480636597,29,0.0003,30672,-1.5363645553588867,-17.565324783325195,1049,30773,88,57.148027943181816,349.6931818181818
0.01823742315173149,0.45023852586746216,29,0.0003,31581,-0.8367219567298889,-17.45448112487793,1092,31682,92,56.474360293478256,344.3695652173913
0.017482765018939972,0.8799126744270325,28,0.0003,32491,-0.7768126726150513,-17.110139846801758,1133,32592,96,56.33624853125,339.5
0.016163963824510574,0.6193525791168213,28,0.0003,33289,-0.7939214706420898,-16.5443058013916,1161,33390,100,55.661511850000004,333.9
0.015483384020626545,0.210962176322937,28,0.0003,34381,1.2166084051132202,-15.854961395263672,1200,34482,104,56.903136620000005,332.88
0.016095098108053207,2.3423781394958496,28,0.0003,35731,0.7518592476844788,-16.26011848449707,1248,35832,108,57.537931199999996,332.67
0.01704217866063118,1.0252971649169922,28,0.0003,37016,-1.472053050994873,-16.439268112182617,1293,37117,112,58.94203441,334.99
0.018141910433769226,1.0887529850006104,28,0.0003,38339,0.11387328803539276,-16.168115615844727,1340,38440,116,59.86391246,336.59
0.01922587864100933,0.36054086685180664,28,0.0003,39690,1.0223019123077393,-15.791013717651367,1387,39791,120,60.824116999999994,335.85
0.019545402377843857,0.3679368495941162,28,0.0003,41046,0.93575519323349,-15.315860748291016,1444,41147,124,61.40495173,334.92
0.018832866102457047,0.5896766781806946,28,0.0003,42075,0.9771091938018799,-15.050346374511719,1489,42176,128,61.193310739999994,330.81
0.02077445201575756,0.7788684368133545,28,0.0003,43230,-0.4580795168876648,-15.522100448608398,1540,43331,132,61.773326180000005,327.93
0.02196970209479332,0.4118349552154541,27,0.0003,44241,0.6936644911766052,-15.224316596984863,1584,44342,136,61.69728648000001,322.3
0.023388110101222992,0.763018012046814,27,0.0003,45667,-0.6884950399398804,-15.204699516296387,1646,45768,140,62.033746949999994,321.24
0.021436499431729317,0.6169743537902832,27,0.0003,47016,-0.5144312977790833,-15.216617584228516,1705,47117,144,62.26590960999999,320.16
0.01969413459300995,0.8955701589584351,27,0.0003,48297,0.6181247234344482,-14.580619812011719,1763,48398,148,62.34652901000001,316.37
0.019560454413294792,0.6875553131103516,27,0.0003,49439,-0.2532128393650055,-14.716550827026367,1813,49540,152,61.77786971,309.44
0.01928194798529148,1.0518343448638916,27,0.0003,50596,-0.4258231818675995,-14.844459533691406,1864,50697,156,61.22444713,301.84
0.019150691106915474,1.5149235725402832,27,0.0003,51979,-0.5292521715164185,-15.197078704833984,1925,52080,160,61.29362464,298.01
