rollout/ep_len_mean,time/time_elapsed,time/fps,train/actor_loss,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/total_timesteps
265.25,43,24,-10.080896377563477,0.7499561905860901,24.3534395,-1.4479360580444336,4,0.17456446588039398,960,0.0003,1061
290.125,101,22,-16.0599365234375,0.5143805146217346,26.196566875,-3.3065273761749268,8,0.1631385236978531,2220,0.0003,2321
335.5,186,21,-20.652610778808594,0.3095555007457733,33.45248475,-5.714177131652832,12,0.373395711183548,3925,0.0003,4026
345.75,263,21,-22.609737396240234,0.19885554909706116,35.809634187499995,-7.712346076965332,16,0.3890361189842224,5431,0.0003,5532
331.35,319,20,-22.604476928710938,0.14429183304309845,35.962485,-8.716927528381348,20,0.7196404337882996,6526,0.0003,6627
360.25,422,20,-22.651086807250977,0.08140462636947632,40.31261179166666,-10.393278121948242,24,0.32535725831985474,8545,0.0003,8646
353.85714285714283,486,20,-22.17707633972168,0.05779685080051422,39.57843785714285,-8.9099702835083,28,0.4272491931915283,9807,0.0003,9908
348.875,550,20,-21.2685546875,0.04099712148308754,39.286044,-9.470025062561035,32,0.22199569642543793,11063,0.0003,11164
341.6388888888889,607,20,-21.343063354492188,0.030976004898548126,40.0931726111111,-8.48266887664795,36,0.6196749210357666,12198,0.0003,12299
338.775,671,20,-20.631378173828125,0.022596539929509163,40.425900625,-7.868483543395996,40,1.003995656967163,13450,0.0003,13551
329.59090909090907,718,20,-19.835657119750977,0.018244171515107155,40.17490004545454,-6.85902214050293,44,0.4503861665725708,14401,0.0003,14502
320.5625,763,20,-19.707469940185547,0.015303894877433777,39.430099541666664,-4.4223432540893555,48,0.3544293940067291,15286,0.0003,15387
320.0769230769231,827,20,-18.967018127441406,0.014822013676166534,40.90301642307692,0.9017609357833862,52,1.3732731342315674,16543,0.0003,16644
320.73214285714283,893,20,-18.70853614807129,0.012195796705782413,42.47431033928571,-0.5059792995452881,56,0.37082672119140625,17860,0.0003,17961
315.0,940,20,-17.997514724731445,0.013010288588702679,42.43602951666665,0.21795648336410522,60,1.5335814952850342,18799,0.0003,18900
312.8125,996,20,-18.200761795043945,0.013339768163859844,42.086801453125005,-1.9821927547454834,64,0.6378374099731445,19919,0.0003,20020
309.3970588235294,1047,20,-17.086999893188477,0.013001922518014908,42.01361230882353,1.3266302347183228,68,1.357303261756897,20938,0.0003,21039
309.18055555555554,1109,20,-16.66991424560547,0.011059267446398735,42.260478222222225,-1.0800211429595947,72,0.1849832832813263,22160,0.0003,22261
312.57894736842104,1185,20,-16.835346221923828,0.013202756643295288,43.12954836842105,0.5626105070114136,76,0.5692236423492432,23655,0.0003,23756
317.7875,1269,20,-16.67278289794922,0.012810910120606422,44.210550462499995,-0.5083664059638977,80,0.3694688081741333,25322,0.0003,25423
315.51190476190476,1324,20,-16.185495376586914,0.011093433946371078,44.37810415476191,1.0840890407562256,84,0.7348165512084961,26402,0.0003,26503
314.39772727272725,1382,20,-15.846506118774414,0.0118888970464468,45.01878419318182,0.565665602684021,88,0.8970862627029419,27566,0.0003,27667
313.3804347826087,1441,19,-16.184608459472656,0.013399956747889519,45.678342554347836,0.8645069599151611,92,0.434015154838562,28730,0.0003,28831
310.71875,1491,19,-15.624322891235352,0.014640847221016884,45.46616184375,0.3027361333370209,96,0.8981455564498901,29728,0.0003,29829
314.3,1572,19,-15.426984786987305,0.015016022138297558,46.188793280000006,-0.22153538465499878,100,0.6535736322402954,31329,0.0003,31430
311.91,1614,19,-15.436084747314453,0.014697764068841934,46.49606867000001,0.7829634547233582,104,0.42126238346099854,32151,0.0003,32252
309.6,1666,19,-15.158454895019531,0.014485843479633331,47.01955859999999,0.7637584805488586,108,0.6708687543869019,33180,0.0003,33281
303.75,1723,19,-15.282490730285645,0.013317548669874668,46.82320422000001,-0.7363699674606323,112,1.1721991300582886,34300,0.0003,34401
301.07,1785,19,-15.44016170501709,0.0120853828266263,47.06985081999999,-0.8728307485580444,116,1.8992440700531006,35538,0.0003,35639
299.88,1835,19,-14.731730461120605,0.012983899563550949,47.51522688,-0.9374754428863525,120,0.8169052004814148,36514,0.0003,36615
290.2,1888,19,-14.787076950073242,0.014230313710868359,46.48873626999999,-0.5449296236038208,124,0.5494738221168518,37565,0.0003,37666
287.53,1938,19,-14.433156967163086,0.013477243483066559,46.59491433,0.9947241544723511,128,0.6704161167144775,38560,0.0003,38661
288.13,2005,19,-14.306954383850098,0.0129647646099329,47.45599287999998,-0.33194053173065186,132,1.0676591396331787,39876,0.0003,39977
286.9,2056,19,-14.082186698913574,0.012437736615538597,47.36093169000001,-1.4604929685592651,136,0.23016557097434998,40888,0.0003,40989
284.51,2108,19,-13.576194763183594,0.012135657481849194,47.861546450000006,-0.5908469557762146,140,0.34495335817337036,41901,0.0003,42002
285.65,2162,19,-13.475438117980957,0.01199725829064846,48.34031164,0.11551031470298767,144,0.9193410873413086,42966,0.0003,43067
284.64,2202,19,-13.189311981201172,0.012914540246129036,48.515831420000005,1.6461231708526611,148,1.2748591899871826,43750,0.0003,43851
283.52,2260,19,-13.329784393310547,0.013676364906132221,48.49603483999999,-0.9492082595825195,152,0.29758602380752563,44895,0.0003,44996
283.9,2329,19,-13.439164161682129,0.01414716336876154,48.628922460000005,0.02028985321521759,156,1.5496087074279785,46250,0.0003,46351
287.04,2392,19,-13.402958869934082,0.014910531230270863,49.23348431999999,-0.06648766994476318,160,0.22914323210716248,47503,0.0003,47604
