time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,time/fps,time/total_timesteps,train/ent_coef_loss,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/critic_loss
4,-8.841058731079102,15.987721749999999,30,0.7922378182411194,28,878,-1.1729857921600342,777,219.5,0.0003,0.05703722685575485
8,-13.40318489074707,16.402640625,63,0.6108033061027527,27,1746,-2.4825730323791504,1645,218.25,0.0003,0.2942556142807007
12,-18.112483978271484,19.142855333333333,116,0.39937636256217957,27,3172,-4.454302787780762,3071,264.3333333333333,0.0003,0.5358325242996216
16,-20.252723693847656,20.726912875,161,0.27904826402664185,27,4380,-6.240530490875244,4279,273.75,0.0003,0.35931581258773804
20,-21.648225784301758,24.5562567,218,0.17863045632839203,27,5910,-7.802856922149658,5809,295.5,0.0003,1.835608720779419
24,-21.62615394592285,24.715179250000002,259,0.13025204837322235,26,7012,-8.748420715332031,6911,292.1666666666667,0.0003,0.1619143784046173
28,-21.537439346313477,26.384122107142854,310,0.08924031257629395,26,8366,-8.320409774780273,8265,298.7857142857143,0.0003,0.4998749792575836
32,-21.199613571166992,28.47312025,368,0.05774570629000664,26,9959,-9.255813598632812,9858,311.21875,0.0003,0.5142275094985962
36,-19.79837417602539,31.207648805555557,437,0.03530968725681305,27,11841,-11.805530548095703,11740,328.9166666666667,0.0003,0.17748038470745087
40,-19.330768585205078,31.937971075,480,0.026012271642684937,27,13016,-7.927105903625488,12915,325.4,0.0003,0.12228596955537796
44,-18.3328857421875,32.73127020454546,540,0.017289716750383377,26,14521,-5.103520393371582,14420,330.02272727272725,0.0003,0.8073304891586304
48,-17.89080810546875,35.344633,617,0.014113890938460827,26,16138,-1.3065651655197144,16037,336.2083333333333,0.0003,0.6167718172073364
52,-17.417341232299805,35.74927501923077,659,0.013530540280044079,25,17126,0.7500051856040955,17025,329.34615384615387,0.0003,1.0113826990127563
56,-17.36746597290039,36.22434466071429,706,0.012952041812241077,25,18251,-1.0561095476150513,18150,325.9107142857143,0.0003,0.18965023756027222
60,-16.707883834838867,36.18371305,747,0.010855616070330143,25,19277,-0.6421272158622742,19176,321.28333333333336,0.0003,0.15264257788658142
64,-15.822834014892578,36.038310828125,794,0.01047880481928587,25,20440,0.5314506888389587,20339,319.375,0.0003,0.5391479730606079
