time/fps,time/total_timesteps,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/n_updates
17,792,44,0.11086660623550415,0.8130022287368774,-1.0522547960281372,198.0,4,0.0003,-8.277749061584473,2.47722025,691
17,1794,105,0.07661250233650208,0.6022073030471802,-2.5468831062316895,224.25,8,0.0003,-13.455142974853516,2.608759875,1693
16,2779,163,0.182593435049057,0.44851988554000854,-3.9901092052459717,231.58333333333334,12,0.0003,-16.68610382080078,2.7956445,2678
15,3949,248,0.14225473999977112,0.31642255187034607,-5.732907295227051,246.8125,16,0.0003,-19.02227210998535,2.8931355625000004,3848
15,5127,338,0.25215333700180054,0.22319626808166504,-7.287118434906006,256.35,20,0.0003,-19.851219177246094,3.00715585,5026
14,6226,421,0.9615796804428101,0.16088244318962097,-8.703643798828125,259.4166666666667,24,0.0003,-20.12946128845215,3.092171875,6125
14,7205,494,0.1713230311870575,0.12065399438142776,-10.061187744140625,257.32142857142856,28,0.0003,-19.398279190063477,3.1024962857142855,7104
14,8730,606,0.8070587515830994,0.07725987583398819,-10.543853759765625,272.8125,32,0.0003,-18.148080825805664,3.4784318124999998,8629
14,10011,700,0.1170426607131958,0.05367656797170639,-11.556577682495117,278.0833333333333,36,0.0003,-17.789976119995117,3.671969638888889,9910
14,11550,810,0.05296570062637329,0.03476300835609436,-13.466796875,288.75,40,0.0003,-16.86617088317871,3.92417545,11449
14,12780,899,0.08886875212192535,0.024439362809062004,-13.080706596374512,290.45454545454544,44,0.0003,-15.553003311157227,4.059088795454545,12679
14,14206,1003,0.3753437399864197,0.016203314065933228,-14.559272766113281,295.9583333333333,48,0.0003,-14.525062561035156,4.133678770833334,14105
14,15367,1087,0.3502123951911926,0.011540072038769722,-13.469746589660645,295.5192307692308,52,0.0003,-13.251005172729492,4.095677326923077,15266
14,16462,1167,0.04649835079908371,0.009214065037667751,-6.006667137145996,293.9642857142857,56,0.0003,-12.92293643951416,4.175931232142857,16361
14,17557,1248,0.21684253215789795,0.0070520308800041676,-12.055912017822266,292.6166666666667,60,0.0003,-11.843854904174805,4.273081633333333,17456
14,18497,1319,0.04696930944919586,0.005351881496608257,-7.712093353271484,289.015625,64,0.0003,-11.155671119689941,4.21411690625,18396
13,20066,1439,0.054757602512836456,0.0038740644231438637,-0.5435969829559326,295.0882352941176,68,0.0003,-10.027892112731934,4.295828264705882,19965
13,21146,1519,0.20858335494995117,0.0038744728080928326,0.3127445578575134,293.69444444444446,72,0.0003,-9.517050743103027,4.348371416666667,21045
13,22546,1623,0.14931172132492065,0.003846272360533476,-1.8802080154418945,296.6578947368421,76,0.0003,-8.598653793334961,4.4474212500000005,22445
