time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/ent_coef,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/time_elapsed
13,1022,-9.520196914672852,921,0.7587417960166931,4,3.99041375,255.5,0.0003,0.14329057931900024,-1.3997564315795898,75
13,1668,-12.672985076904297,1567,0.6252012848854065,8,2.8119915,208.5,0.0003,0.6265268325805664,-2.35052227973938,125
13,2576,-15.939563751220703,2475,0.47651663422584534,12,2.7282694999999997,214.66666666666666,0.0003,0.3251953423023224,-3.701112985610962,194
13,3549,-18.15327262878418,3448,0.35648223757743835,16,2.8692485625,221.8125,0.0003,0.1493528187274933,-5.131315231323242,267
13,4991,-19.450881958007812,4890,0.23265109956264496,20,3.16684285,249.55,0.0003,0.2742442786693573,-6.71345329284668,374
13,6301,-19.6160888671875,6200,0.15769396722316742,24,3.3612352916666666,262.5416666666667,0.0003,0.07894821465015411,-8.822185516357422,470
13,7654,-19.24484634399414,7553,0.10594864189624786,28,3.579040892857143,273.35714285714283,0.0003,0.13320258259773254,-9.948028564453125,569
13,8953,-18.14854621887207,8852,0.07311273366212845,32,3.797656625,279.78125,0.0003,0.7614892721176147,-10.684133529663086,662
13,10579,-16.941022872924805,10478,0.04565104469656944,36,3.9969850833333336,293.8611111111111,0.0003,0.22011598944664001,-12.081461906433105,779
13,11793,-16.091466903686523,11692,0.03243128955364227,40,4.127022025,294.825,0.0003,0.6711196303367615,-12.494878768920898,867
13,13133,-15.0877103805542,13032,0.02236657589673996,44,4.237032227272727,298.47727272727275,0.0003,0.11462660878896713,-12.736684799194336,966
13,14223,-14.674176216125488,14122,0.016495758667588234,48,4.214509729166666,296.3125,0.0003,0.1649894416332245,-13.972742080688477,1046
13,15271,-13.217193603515625,15170,0.012362337671220303,52,4.25330323076923,293.6730769230769,0.0003,0.07533305883407593,-11.377371788024902,1126
13,17172,-12.083165168762207,17071,0.007503444328904152,56,4.508093714285714,306.64285714285717,0.0003,0.3345605134963989,-7.09578275680542,1270
13,18896,-11.327632904052734,18795,0.005116387270390987,60,4.740173316666667,314.93333333333334,0.0003,0.3651512861251831,-6.130000591278076,1396
13,20638,-10.14150619506836,20537,0.0036827870644629,64,4.86645634375,322.46875,0.0003,0.03253401815891266,-5.447988033294678,1524
13,22785,-9.07576847076416,22684,0.0022337189875543118,68,5.009783279411765,335.0735294117647,0.0003,0.09106802195310593,-1.767357349395752,1683
13,25124,-7.867422103881836,25023,0.001295270281843841,72,5.221493097222222,348.94444444444446,0.0003,0.19301778078079224,5.158724308013916,1855
13,27554,-6.985805034637451,27453,0.0013638982782140374,76,5.40108669736842,362.55263157894734,0.0003,0.04828809201717377,-2.7069034576416016,2033
13,29419,-6.269914627075195,29318,0.0015457969857379794,80,5.5562793,367.7375,0.0003,0.04747988283634186,0.42756640911102295,2167
13,31118,-5.772772789001465,31017,0.0017440965166315436,84,5.590500928571428,370.45238095238096,0.0003,0.11041058599948883,-0.04586303234100342,2290
13,32639,-5.270937919616699,32538,0.0019488586112856865,88,5.669099272727272,370.89772727272725,0.0003,0.022829942405223846,0.09399700164794922,2400
13,34711,-4.710904121398926,34610,0.0015094379195943475,92,5.7253696630434785,377.29347826086956,0.0003,0.006767062470316887,-1.3700391054153442,2554
13,36682,-4.326570510864258,36581,0.0013010809198021889,96,5.7787288229166665,382.1041666666667,0.0003,0.024592556059360504,0.979822039604187,2700
13,38712,-3.7928524017333984,38611,0.0019409431843087077,100,5.93814173,387.12,0.0003,0.01703495904803276,1.6925456523895264,2849
13,39778,-3.5693650245666504,39677,0.002085938584059477,104,6.0063366999999985,387.56,0.0003,0.008909964933991432,1.6047306060791016,2926
13,40743,-3.4394686222076416,40642,0.0020098439417779446,108,6.13003015,390.75,0.0003,0.00775021780282259,0.501007616519928,2995
13,41837,-3.222012996673584,41736,0.0019030118128284812,112,6.244670480000001,392.61,0.0003,0.007100601680576801,0.23835164308547974,3078
13,43218,-3.087653160095215,43117,0.001675841398537159,116,6.34711922,396.69,0.0003,0.01447190623730421,-0.7318991422653198,3177
13,44103,-2.948789596557617,44002,0.0015668286941945553,120,6.34159171,391.12,0.0003,0.005260566249489784,-0.07637608051300049,3239
13,45161,-2.8677492141723633,45060,0.0014374820748344064,124,6.354507510000001,388.6,0.0003,0.011836027726531029,-2.020862340927124,3314
13,46162,-2.666004180908203,46061,0.001240571029484272,128,6.346332070000001,385.08,0.0003,0.005920855328440666,2.080817699432373,3386
13,47340,-2.4942359924316406,47239,0.0012571286642923951,132,6.327543089999999,383.87,0.0003,0.03604419529438019,0.1838786005973816,3470
13,48566,-2.3742194175720215,48465,0.00112036126665771,136,6.332288020000001,379.87,0.0003,0.0056230067275464535,0.8353697657585144,3557
13,49990,-2.23638916015625,49889,0.0010841313051059842,140,6.419177380000001,381.97,0.0003,0.00343715725466609,0.508027970790863,3659
13,51295,-2.0756895542144775,51194,0.001173313008621335,144,6.479663980000001,381.62,0.0003,0.010035650804638863,-1.7859612703323364,3752
13,52441,-2.007301092147827,52340,0.0011536665260791779,148,6.56828897,382.18,0.0003,0.00606120191514492,0.9236616492271423,3835
13,53761,-1.8892358541488647,53660,0.0011157464468851686,152,6.693676320000001,384.9,0.0003,0.0036139804869890213,-2.352940082550049,3929
13,54906,-1.890000343322754,54805,0.001041055889800191,156,6.631741680000001,377.34,0.0003,0.011539202183485031,-3.260507345199585,4010
13,55771,-1.7445255517959595,55670,0.0010196020593866706,160,6.497832849999998,368.75,0.0003,0.007500194478780031,-0.1564517617225647,4072
13,56808,-1.7843592166900635,56707,0.001025482313707471,164,6.472042889999999,361.7,0.0003,0.00234521203674376,-0.3270629048347473,4144
13,57686,-1.6791123151779175,57585,0.001029988401569426,168,6.37860572,349.01,0.0003,0.004099193029105663,-0.5884026885032654,4206
13,58815,-1.5394200086593628,58714,0.0009821692947298288,172,6.2644519,336.91,0.0003,0.004862057510763407,0.32625991106033325,4285
13,59937,-1.6106934547424316,59836,0.0009802243439480662,176,6.17567903,323.83,0.0003,0.005256919655948877,-2.4233930110931396,4364
13,61277,-1.5157432556152344,61176,0.001011921209283173,180,6.13931039,318.58,0.0003,0.0034378052223473787,1.367548942565918,4457
13,62395,-1.4522889852523804,62294,0.0010607670992612839,184,6.126444220000001,312.77,0.0003,0.006776441819965839,1.2699923515319824,4534
13,63856,-1.4116382598876953,63755,0.0010069715790450573,188,6.150061290000001,312.17,0.0003,0.002147086663171649,2.631293773651123,4636
13,65239,-1.3732975721359253,65138,0.001013393048197031,192,6.117794649999999,305.28,0.0003,0.003583896439522505,-1.3162555694580078,4730
13,66289,-1.3684117794036865,66188,0.0009308774024248123,196,6.06499538,296.07,0.0003,0.003367714351043105,-0.1904492974281311,4803
13,67290,-1.3741958141326904,67189,0.0008673479896970093,200,5.928080090000001,285.78,0.0003,0.0028796731494367123,-1.0073816776275635,4874
13,68233,-1.3703809976577759,68132,0.0008540052222087979,204,5.934407440000002,284.55,0.0003,0.0014868173748254776,1.4614484310150146,4941
13,69263,-1.390120029449463,69162,0.0008954392978921533,208,5.95993591,285.2,0.0003,0.002732148626819253,-1.2499357461929321,5013
13,70573,-1.2737091779708862,70472,0.0008522372809238732,212,6.032787110000002,287.36,0.0003,0.0017177145928144455,-0.8499065637588501,5106
13,71698,-1.305714726448059,71597,0.0008780035423114896,216,6.05431098,284.8,0.0003,0.002611408941447735,-1.7803062200546265,5185
13,72804,-1.242077350616455,72703,0.0009096926660276949,220,6.1281110000000005,287.01,0.0003,0.007506246212869883,-1.683590292930603,5267
13,73768,-1.2570219039916992,73667,0.0008192064706236124,224,6.151784650000001,286.07,0.0003,0.0024132560938596725,-0.9693716764450073,5336
13,75052,-1.256044864654541,74951,0.0008430489688180387,228,6.227950509999999,288.9,0.0003,0.004069666378200054,-0.6786645650863647,5427
