#{"t_start": 1763686375.9972777, "env_id": "None"}
r,l,t
38.121693,599,19.170069
19.893197,418,33.247818
22.933572,420,47.661293
17.053628,480,64.843508
4.383449,150,70.236535
27.491672,255,79.207573
3.421552,124,83.7085
14.968096,246,93.037106
7.281,216,100.989241
5.772796,165,106.572734
38.02032,475,123.064643
36.747731,326,134.603551
12.918018,382,148.319652
34.952244,569,168.336339
11.996555,284,178.107993
14.030493,255,186.936814
41.218294,535,205.221123
41.610833,349,217.547923
63.873331,642,239.258943
22.081507,354,251.45208
42.375531,389,264.653641
30.313065,376,277.478502
23.163741,418,291.577195
33.307971,523,309.534039
32.578517,492,326.147195
32.923343,406,340.034472
27.485506,285,349.677843
35.684621,292,359.443918
24.81262,327,370.812524
28.915896,212,377.971439
14.682692,218,385.549714
58.174749,563,404.721455
93.762058,491,421.337201
19.171915,415,435.615725
80.904152,522,453.30039
52.168241,355,465.401373
111.272535,848,494.455869
31.765354,608,515.635111
43.148508,421,529.983385
24.286319,266,538.966948
36.023108,304,549.161686
71.657423,497,565.94378
38.561137,350,580.523416
48.155645,430,598.324821
25.575943,286,610.312824
74.715932,524,632.411636
21.141189,318,645.58764
15.263948,307,658.669612
35.269946,425,676.389316
56.365129,356,691.467022
12.799691,187,699.582887
23.729758,318,713.234517
30.166267,258,724.390686
32.054524,290,736.829577
32.483789,244,747.154235
41.76635,367,762.67505
33.617485,298,776.218124
22.90595,219,785.916329
32.717224,244,796.140465
57.415404,323,809.901603
61.216457,482,830.029734
36.209727,280,841.612034
49.46083,277,853.314048
95.9276,420,870.755032
92.087177,594,895.253512
76.851345,371,910.496636
52.095695,325,924.053116
47.523963,258,934.871897
67.177219,418,952.244732
29.47583,202,960.751801
32.633441,256,971.75196
57.441762,377,987.341316
69.855795,386,1003.482976
79.041022,427,1021.526554
23.318444,189,1029.39318
15.475883,152,1035.820538
32.712548,243,1045.908815
82.671002,436,1064.124355
70.811807,339,1078.187866
46.973813,281,1089.8908
57.38637,303,1102.797293
50.820864,218,1111.988842
51.18046,341,1126.385065
69.145371,376,1142.104393
41.112744,306,1154.864759
55.757612,375,1170.557448
53.076739,294,1183.133208
49.885616,292,1195.250298
90.747773,433,1213.457097
68.093142,258,1224.245601
49.181126,313,1237.158457
60.362691,359,1252.497011
55.749146,382,1268.440427
26.406781,192,1276.468649
124.9069,470,1296.016443
31.508817,208,1304.878993
42.288909,270,1316.140866
73.846749,319,1329.581738
61.528757,288,1341.598824
34.926147,244,1351.798959
80.211728,369,1367.347348
24.952311,181,1375.011082
89.353239,496,1395.806582
20.255234,203,1404.297039
115.302356,603,1429.764062
39.52898,226,1439.197741
10.229371,119,1444.184974
65.076105,272,1455.791136
38.846916,302,1468.446498
74.373249,309,1481.462495
32.929755,210,1490.322247
71.665983,380,1506.402519
35.094068,254,1516.990699
66.507812,294,1529.157778
77.027544,382,1545.084571
82.367932,391,1561.390967
89.381223,394,1577.931072
48.616398,244,1588.152138
42.862711,397,1604.693614
41.584137,240,1614.958065
37.505567,212,1623.801543
57.805394,232,1633.412436
106.539922,449,1652.04933
71.317202,408,1669.02772
41.672828,213,1677.985962
72.619607,433,1696.283812
32.204438,260,1707.165041
84.458274,419,1724.761417
33.916136,241,1734.876116
86.532249,402,1751.69484
64.143442,392,1768.023547
108.755844,494,1788.545359
72.75107,345,1803.082215
9.910892,127,1808.416484
64.251747,253,1818.992171
18.60833,132,1824.554125
37.4797,292,1836.855475
41.896313,309,1849.807876
23.556955,218,1858.932844
84.115539,385,1875.046864
64.834642,399,1891.65819
34.492828,238,1901.765023
89.755226,399,1918.285848
30.714375,236,1928.273033
24.614338,212,1937.211609
15.78238,146,1943.402776
44.100135,227,1952.981211
40.563592,304,1965.777705
61.159778,527,1988.303343
63.694534,327,2002.695401
70.877878,391,2019.295059
40.489095,231,2028.968162
42.004514,278,2040.646352
125.555291,596,2065.882349
