time/total_timesteps,train/actor_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates
1917,-14.42021369934082,479.25,0.5802105665206909,63,0.0003,0.06776869297027588,-2.7431416511535645,30,4,24.500522500000002,1816
2692,-17.28329849243164,336.5,0.46011340618133545,92,0.0003,0.1201273500919342,-3.903313398361206,29,8,18.533357375,2591
3874,-20.205852508544922,322.8333333333333,0.32408034801483154,133,0.0003,1.5378508567810059,-5.371591567993164,28,12,19.674058833333333,3773
5364,-21.58055305480957,335.25,0.20807890594005585,185,0.0003,0.19315701723098755,-7.613272190093994,28,16,19.374126,5263
7244,-21.779651641845703,362.2,0.12070789188146591,250,0.0003,0.27990806102752686,-9.575539588928223,28,20,23.93849905,7143
8950,-21.354019165039062,372.9166666666667,0.07467906922101974,308,0.0003,0.16497209668159485,-9.48510456085205,29,24,25.33042870833333,8849
10425,-20.371320724487305,372.32142857142856,0.049750782549381256,358,0.0003,0.15435324609279633,-9.683298110961914,29,28,26.30722414285714,10324
11745,-20.05061149597168,367.03125,0.034991346299648285,403,0.0003,0.13982069492340088,-9.253288269042969,29,32,26.974632281250003,11644
13528,-18.749862670898438,375.77777777777777,0.023398077115416527,464,0.0003,0.13329264521598816,-4.916622161865234,29,36,30.81096108333334,13427
15671,-18.274272918701172,391.775,0.015175114385783672,537,0.0003,0.1081872284412384,-4.166786193847656,29,40,32.991682874999995,15570
17252,-17.47718048095703,392.09090909090907,0.01216975413262844,597,0.0003,0.7135624885559082,-0.9284582138061523,28,44,34.41055972727273,17151
18687,-16.188385009765625,389.3125,0.011217270977795124,657,0.0003,0.21789686381816864,-0.6299127340316772,28,48,34.3908675,18586
19973,-16.184436798095703,384.09615384615387,0.010039090178906918,712,0.0003,0.2141006588935852,1.5459753274917603,28,52,34.210118538461536,19872
21132,-15.688852310180664,377.35714285714283,0.009621276520192623,761,0.0003,0.1348874270915985,0.6658951640129089,27,56,34.203519535714285,21031
22216,-14.942039489746094,370.26666666666665,0.009328627958893776,808,0.0003,0.21135565638542175,-1.939124345779419,27,60,34.367552616666664,22115
23675,-14.827433586120605,369.921875,0.008920309133827686,869,0.0003,0.594772219657898,1.4043842554092407,27,64,36.013558921875,23574
25223,-14.227014541625977,370.9264705882353,0.009759815409779549,933,0.0003,0.4091159701347351,-0.8467686772346497,27,68,37.844499279411764,25122
26476,-14.188287734985352,367.72222222222223,0.008540399372577667,986,0.0003,0.3192296028137207,0.21511641144752502,26,72,38.33547504166667,26375
27630,-13.654193878173828,363.55263157894734,0.00819556973874569,1034,0.0003,0.24376070499420166,1.8851568698883057,26,76,38.78743877631579,27529
28929,-13.387001037597656,361.6125,0.009550122544169426,1088,0.0003,0.3976605534553528,-0.9041800498962402,26,80,39.7626814625,28828
30167,-13.245277404785156,359.1309523809524,0.01080932468175888,1141,0.0003,0.6856040954589844,-0.8814364075660706,26,84,40.58985216666667,30066
31434,-13.029722213745117,357.20454545454544,0.010112878866493702,1194,0.0003,0.2289203405380249,-0.9287870526313782,26,88,41.01568514772727,31333
32797,-13.200662612915039,356.4891304347826,0.009778378531336784,1251,0.0003,0.20917296409606934,-0.2568199932575226,26,92,42.14961983695652,32696
34049,-13.241838455200195,354.6770833333333,0.00913375522941351,1303,0.0003,1.9616749286651611,-1.5909833908081055,26,96,42.87850696875,33948
35170,-12.918100357055664,351.7,0.00929208192974329,1350,0.0003,0.590267539024353,-0.9382541179656982,26,100,43.28927231000001,35069
36419,-12.869714736938477,345.02,0.009308911859989166,1403,0.0003,0.31717008352279663,0.8022327423095703,25,104,44.45697653,36318
37639,-12.77586841583252,349.47,0.00926248263567686,1454,0.0003,0.3166992664337158,-0.41237735748291016,25,108,46.25569696,37538
38840,-12.439496994018555,349.66,0.009900623001158237,1505,0.0003,0.8539698123931885,1.8267388343811035,25,112,47.55563752,38739
40161,-12.632729530334473,347.97,0.01014722790569067,1560,0.0003,1.0287100076675415,0.657179594039917,25,116,49.426637979999995,40060
41436,-12.7717866897583,341.92,0.011492384597659111,1613,0.0003,0.37627047300338745,-0.4784085154533386,25,120,49.96324302,41335
42737,-11.968384742736816,337.87,0.012517970986664295,1667,0.0003,0.46090638637542725,1.0887614488601685,25,124,51.40332079000001,42636
44062,-12.081482887268066,336.37,0.012821775861084461,1723,0.0003,0.24419018626213074,-0.5695558786392212,25,128,52.42615238999999,43961
45591,-12.53210163116455,338.46,0.013574632816016674,1787,0.0003,1.24872887134552,-0.6589219570159912,25,132,54.09376952999999,45490
46448,-12.018661499023438,329.2,0.013637936674058437,1823,0.0003,0.37682008743286133,0.8076768517494202,25,136,53.28892626,46347
47652,-12.312535285949707,319.81,0.012585896998643875,1874,0.0003,0.42223528027534485,-0.908265233039856,25,140,53.05468417,47551
48924,-11.912184715270996,316.72,0.011887905187904835,1927,0.0003,0.8265311121940613,1.1376724243164062,25,144,53.30868175,48823
49813,-11.89548110961914,311.26,0.011907619424164295,1964,0.0003,0.47402676939964294,0.7554320693016052,25,148,53.19231608,49712
