train/n_updates,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/total_timesteps,train/ent_coef_loss
1253,45.6997675,0.6869463324546814,4,160,0.0003,8,338.5,-11.828694343566895,0.2404174506664276,1354,-1.884962558746338
2326,36.902987875,0.4982895851135254,8,313,0.0003,7,303.375,-16.88006019592285,0.8834860324859619,2427,-3.458372116088867
3203,32.537269333333334,0.3837643563747406,12,439,0.0003,7,275.3333333333333,-19.154150009155273,0.21827374398708344,3304,-4.6790337562561035
4095,30.827929062499997,0.2949729561805725,16,567,0.0003,7,262.25,-20.995393753051758,0.40517327189445496,4196,-5.721303462982178
5086,32.64835599999999,0.22079253196716309,20,709,0.0003,7,259.35,-21.887571334838867,0.42680203914642334,5187,-6.990174293518066
6104,33.13268229166667,0.16364531219005585,24,853,0.0003,7,258.5416666666667,-22.60542106628418,0.5358983874320984,6205,-8.09678840637207
7401,34.658925821428575,0.11351551115512848,28,1037,0.0003,7,267.92857142857144,-23.464275360107422,0.511658787727356,7502,-9.298311233520508
8462,35.347690781249995,0.08448674529790878,32,1185,0.0003,7,267.59375,-22.70343017578125,0.6600877642631531,8563,-9.45324993133545
9860,37.376010027777774,0.057656917721033096,36,1381,0.0003,7,276.69444444444446,-21.42577362060547,0.6580551862716675,9961,-8.461685180664062
10923,37.887638225,0.043683845549821854,40,1529,0.0003,7,275.6,-21.780624389648438,0.5901690721511841,11024,-10.023107528686523
11806,38.53258809090909,0.03512763977050781,44,1653,0.0003,7,270.6136363636364,-21.405288696289062,1.140236735343933,11907,-7.006058692932129
12818,38.1879100625,0.0280131995677948,48,1795,0.0003,7,269.1458333333333,-21.073226928710938,4.279862403869629,12919,-7.153566360473633
13936,38.78586486538462,0.022814182564616203,52,1950,0.0003,7,269.9423076923077,-19.959409713745117,3.025118350982666,14037,-3.6304240226745605
14808,38.50899776785714,0.020565081387758255,56,2070,0.0003,7,266.23214285714283,-20.153409957885742,1.7013338804244995,14909,-0.8600962162017822
16076,39.71171615,0.016965072602033615,60,2250,0.0003,7,269.6166666666667,-20.3739013671875,0.3372480273246765,16177,-1.2756191492080688
17100,39.789735,0.01696331612765789,64,2395,0.0003,7,268.765625,-19.630416870117188,1.5125031471252441,17201,4.293757915496826
17905,39.55110207352942,0.016043974086642265,68,2508,0.0003,7,264.79411764705884,-18.7900390625,0.48599642515182495,18006,-5.8305230140686035
18957,40.24160679166667,0.013762226328253746,72,2653,0.0003,7,264.69444444444446,-19.528953552246094,1.1271363496780396,19058,-2.1950764656066895
20104,40.67361390789474,0.013087194412946701,76,2812,0.0003,7,265.85526315789474,-18.342044830322266,1.1922881603240967,20205,-0.16797596216201782
21233,41.29157715,0.01640111580491066,80,2968,0.0003,7,266.675,-18.164165496826172,0.3533175587654114,21334,1.2085622549057007
22395,42.52612022619048,0.01967531442642212,84,3129,0.0003,7,267.8095238095238,-17.83089828491211,0.8513540625572205,22496,1.8114724159240723
23199,42.36035972727273,0.019767533987760544,88,3240,0.0003,7,264.77272727272725,-17.48664093017578,1.6135107278823853,23300,-1.2248517274856567
23991,42.03968075,0.017684822902083397,92,3348,0.0003,7,261.8695652173913,-18.351917266845703,1.370761513710022,24092,-0.5070968866348267
24686,41.77972419791667,0.017814816907048225,96,3443,0.0003,7,258.1979166666667,-16.651206970214844,0.5500590801239014,24787,-1.6373951435089111
25660,42.36223416,0.016083000227808952,100,3577,0.0003,7,257.61,-16.464391708374023,0.6220976710319519,25761,-0.0765191912651062
26617,42.494868460000006,0.015637163072824478,104,3709,0.0003,7,253.64,-16.450082778930664,1.1095268726348877,26718,1.1127878427505493
27352,42.932416669999995,0.01535900216549635,108,3810,0.0003,7,250.26,-16.131742477416992,0.6116389036178589,27453,-0.7131897807121277
28339,44.09097249999999,0.01536399032920599,112,3945,0.0003,7,251.36,-15.66211986541748,2.763528347015381,28440,-1.2899386882781982
29048,44.59698837999999,0.01496781874448061,116,4042,0.0003,7,249.53,-16.07719612121582,0.35581448674201965,29149,0.4310669004917145
29626,44.11729611999999,0.015406657941639423,120,4121,0.0003,7,245.4,-15.959797859191895,0.8684287667274475,29727,-0.05364389717578888
30417,44.64162877999999,0.01702503301203251,124,4232,0.0003,7,243.13,-15.846986770629883,1.8024654388427734,30518,-0.8668297529220581
31335,44.91440294,0.01912047527730465,128,4320,0.0003,7,239.34,-15.213826179504395,2.5617599487304688,31436,0.15062953531742096
32169,45.23032003,0.019418921321630478,132,4386,0.0003,7,237.07,-14.960084915161133,1.0028345584869385,32270,-0.6293911933898926
33073,45.26221158000001,0.021362990140914917,136,4461,0.0003,7,232.13,-14.773625373840332,2.042318820953369,33174,0.8890997171401978
33920,45.45418899000001,0.02383752353489399,140,4532,0.0003,7,229.97,-15.355270385742188,0.6708359718322754,34021,-0.08645172417163849
34859,46.16367399000001,0.024839157238602638,144,4612,0.0003,7,230.53,-14.460199356079102,1.7895917892456055,34960,1.1137549877166748
35707,46.75395678999999,0.022044438868761063,148,4690,0.0003,7,228.89,-14.048724174499512,0.8397841453552246,35808,-0.6991209387779236
36510,46.87861433000001,0.023807387799024582,152,4769,0.0003,7,225.74,-14.896187782287598,0.42564088106155396,36611,0.8695878982543945
37410,47.75639926000001,0.024766864255070686,156,4866,0.0003,7,226.02,-14.313780784606934,0.3381202816963196,37511,0.6520313024520874
38440,47.20284353,0.019842304289340973,160,5003,0.0003,7,223.64,-14.16387939453125,2.3048977851867676,38541,-0.8510039448738098
