train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,time/episodes,train/ent_coef,time/total_timesteps,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef_loss
0.24386179447174072,317.0,34.50720775,11,1167,4,0.7048370242118835,1268,110,0.0003,-11.519506454467773,-1.766775131225586
0.11748255789279938,294.0,30.698308375,10,2251,8,0.5097458958625793,2352,232,0.0003,-16.487476348876953,-3.3670411109924316
0.9354342222213745,322.4166666666667,35.582762583333334,9,3768,12,0.3254454731941223,3869,404,0.0003,-20.580289840698242,-5.3163275718688965
0.22317184507846832,321.6875,36.7082499375,9,5046,16,0.22365467250347137,5147,549,0.0003,-22.340139389038086,-6.775299549102783
0.48642921447753906,306.85,35.5307426,9,6036,20,0.167746439576149,6137,660,0.0003,-22.30585479736328,-7.955111503601074
0.17146092653274536,302.3333333333333,35.78589541666667,9,7155,24,0.1216675192117691,7256,786,0.0003,-22.786413192749023,-9.1611909866333
0.23056039214134216,295.5,35.827005392857146,9,8173,28,0.0914091169834137,8274,899,0.0003,-23.09588050842285,-9.338859558105469
0.8047906160354614,288.0625,34.94680825,9,9117,32,0.07054879516363144,9218,1005,0.0003,-21.828819274902344,-9.53053092956543
2.926905632019043,290.27777777777777,35.90274247222222,9,10349,36,0.05123055726289749,10450,1143,0.0003,-21.3643856048584,-5.441579818725586
1.8001668453216553,279.175,34.785093849999996,9,11066,40,0.04286981001496315,11167,1223,0.0003,-20.86686134338379,-8.08469295501709
1.4670621156692505,275.27272727272725,34.818578113636356,9,12011,44,0.033987630158662796,12112,1328,0.0003,-20.54574966430664,-7.907253265380859
2.7344088554382324,270.9166666666667,34.846117104166666,9,12903,48,0.028100065886974335,13004,1428,0.0003,-19.284610748291016,-5.436437606811523
0.7913655042648315,266.5,34.33246707692308,9,13757,52,0.02364889532327652,13858,1523,0.0003,-18.961435317993164,-4.1578545570373535
0.4989088773727417,264.75,34.97795128571429,9,14725,56,0.019762368872761726,14826,1631,0.0003,-18.719552993774414,-3.7540054321289062
0.5295108556747437,261.7,35.36428635,9,15601,60,0.016720475628972054,15702,1729,0.0003,-17.96677017211914,-0.5083786249160767
1.3137458562850952,262.1875,36.556345234375,9,16679,64,0.015091565437614918,16780,1850,0.0003,-18.703147888183594,-0.9869813323020935
0.6772146821022034,258.88235294117646,36.18286845588235,9,17503,68,0.014709354378283024,17604,1942,0.0003,-17.821916580200195,1.7440083026885986
0.3370789885520935,257.4861111111111,36.64088851388888,9,18438,72,0.014966077171266079,18539,2046,0.0003,-17.088703155517578,1.3416398763656616
1.1691219806671143,258.63157894736844,37.74501030263157,9,19555,76,0.01586868241429329,19656,2170,0.0003,-16.358814239501953,1.7860404253005981
0.9427758455276489,255.5375,37.976338275,9,20342,80,0.016491001471877098,20443,2258,0.0003,-15.984440803527832,0.15977606177330017
1.9145171642303467,252.27380952380952,38.26380292857143,9,21090,84,0.015119398012757301,21191,2342,0.0003,-15.715015411376953,1.269901156425476
0.3649371266365051,248.32954545454547,38.03674078409091,9,21752,88,0.016860241070389748,21853,2416,0.0003,-16.133581161499023,-1.0475273132324219
2.537659168243408,247.17391304347825,38.788548043478265,9,22639,92,0.017557408660650253,22740,2514,0.0003,-16.169742584228516,0.19809480011463165
1.5105640888214111,248.02083333333334,39.591099854166664,9,23709,96,0.016498740762472153,23810,2631,0.0003,-15.708513259887695,-0.2896462082862854
1.6507227420806885,247.71,40.697298700000005,9,24670,100,0.017968330532312393,24771,2735,0.0003,-15.532915115356445,-1.000064730644226
1.0595810413360596,244.76,41.25030846999999,9,25643,104,0.017708687111735344,25744,2842,0.0003,-15.237499237060547,-1.1497339010238647
0.4174777865409851,241.54,41.94436028,9,26405,108,0.018009133636951447,26506,2924,0.0003,-15.070866584777832,1.2161487340927124
0.5405163168907166,233.39,41.69908941,9,27107,112,0.018842458724975586,27208,3002,0.0003,-15.326004028320312,-2.3945178985595703
0.8617403507232666,228.39,42.15885553999998,9,27885,116,0.019194990396499634,27986,3089,0.0003,-15.011181831359863,-0.7777435779571533
0.933423638343811,228.11,43.48811393,9,28847,120,0.019374867901206017,28948,3194,0.0003,-15.026041030883789,1.1258816719055176
0.6955382227897644,225.52,43.77797302,9,29707,124,0.02036227099597454,29808,3289,0.0003,-14.437482833862305,0.06304795295000076
0.3745850920677185,225.16,44.7639112,9,30689,128,0.02183508686721325,30790,3396,0.0003,-13.07761287689209,0.03312240540981293
1.3820977210998535,223.39,45.6249199,9,31456,132,0.023431388661265373,31557,3480,0.0003,-14.452047348022461,1.7317088842391968
1.9010571241378784,220.22,45.91748189999999,9,32371,136,0.023588135838508606,32472,3580,0.0003,-13.16358470916748,0.5023120641708374
2.7524914741516113,221.75,47.096293,9,33241,140,0.022906364873051643,33342,3674,0.0003,-14.140617370605469,-0.7997872829437256
1.430631399154663,221.39,47.7990424,9,34150,144,0.024578673765063286,34251,3774,0.0003,-13.914220809936523,0.45492130517959595
0.5730445384979248,222.54,49.03023307,9,35157,148,0.025494137778878212,35258,3883,0.0003,-13.518378257751465,-0.3445674180984497
1.011389970779419,223.47,50.10859797,9,36104,152,0.025921832770109177,36205,3987,0.0003,-14.071199417114258,0.3544519543647766
0.369739830493927,222.37,50.30041778,9,36962,156,0.026264362037181854,37063,4081,0.0003,-12.934877395629883,-0.5136378407478333
0.6654158234596252,222.01,50.49963276,9,37802,160,0.026061294600367546,37903,4173,0.0003,-13.00322151184082,0.7954030632972717
