time/fps,time/episodes,time/total_timesteps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,train/critic_loss
9,4,1420,1319,355.0,153,-12.207014083862305,-2.0006418228149414,0.6734020709991455,0.0003,30.3300475,0.0707453265786171
9,8,2326,2225,290.75,257,-16.043283462524414,-3.342460870742798,0.5135128498077393,0.0003,25.214563375000004,1.1088932752609253
8,12,4104,4003,342.0,462,-20.734737396240234,-5.855083465576172,0.3029770851135254,0.0003,36.12632425,0.7823261022567749
8,16,5168,5067,323.0,584,-22.01829719543457,-6.801204681396484,0.22213199734687805,0.0003,36.204694375,0.6428096294403076
8,20,6576,6475,328.8,745,-22.991416931152344,-8.015928268432617,0.14866141974925995,0.0003,38.381385650000006,0.54892897605896
8,24,8396,8295,349.8333333333333,953,-22.898014068603516,-9.21394157409668,0.08903326094150543,0.0003,42.094976208333335,1.8356037139892578
8,28,9958,9857,355.64285714285717,1132,-22.22426986694336,-8.822526931762695,0.0576363168656826,0.0003,42.91354450000001,0.915160596370697
8,32,11481,11380,358.78125,1305,-21.835487365722656,-6.976693630218506,0.03984835743904114,0.0003,45.2440076875,1.5008742809295654
8,36,12278,12177,341.05555555555554,1396,-21.33811378479004,-8.223348617553711,0.03155655786395073,0.0003,42.456850388888896,0.8709322214126587
8,40,13356,13255,333.9,1519,-20.31005096435547,-4.4017133712768555,0.024561140686273575,0.0003,42.23376015,0.3557637333869934
8,44,14467,14366,328.79545454545456,1645,-19.717422485351562,-3.008427381515503,0.020238926634192467,0.0003,42.490375,0.9662730097770691
8,48,15455,15354,321.9791666666667,1756,-19.280437469482422,0.45113605260849,0.018442736938595772,0.0003,42.64510775,0.5748246908187866
8,52,16660,16559,320.38461538461536,1889,-19.53455924987793,2.8697681427001953,0.02050095982849598,0.0003,44.62754821153846,0.8786877393722534
8,56,17552,17451,313.42857142857144,1987,-19.107337951660156,0.3481634259223938,0.024138687178492546,0.0003,44.909668249999996,0.5098767280578613
8,60,18430,18329,307.1666666666667,2083,-18.624671936035156,0.15533937513828278,0.02428784780204296,0.0003,45.770147249999994,1.1142241954803467
8,64,19415,19314,303.359375,2193,-17.954740524291992,0.7402129173278809,0.023634307086467743,0.0003,47.011221984375,0.8640543818473816
8,68,20228,20127,297.47058823529414,2284,-18.609954833984375,-1.218469262123108,0.0209871307015419,0.0003,46.86757279411765,0.43487250804901123
8,72,21167,21066,293.9861111111111,2389,-18.244003295898438,-2.2037692070007324,0.020777657628059387,0.0003,47.26744529166667,0.22292420268058777
8,76,22152,22051,291.4736842105263,2498,-17.745576858520508,0.7319111227989197,0.020669545978307724,0.0003,47.31713614473684,1.5362731218338013
8,80,23168,23067,289.6,2609,-17.851011276245117,0.6874724626541138,0.020830288529396057,0.0003,47.850859912500006,0.4776010513305664
8,84,24442,24341,290.9761904761905,2748,-17.959346771240234,0.03992132842540741,0.02114732749760151,0.0003,49.27492657142858,0.747417688369751
8,88,25566,25465,290.52272727272725,2872,-17.400367736816406,-1.1178241968154907,0.021001853048801422,0.0003,50.21419405681818,0.8550407886505127
8,92,26503,26402,288.07608695652175,2976,-17.539682388305664,-1.2638096809387207,0.021425172686576843,0.0003,50.532899510869555,0.5753135085105896
8,96,27420,27319,285.625,3078,-17.204730987548828,0.20941387116909027,0.021830236539244652,0.0003,50.812534187500006,1.0274299383163452
8,100,28320,28219,283.2,3178,-17.388809204101562,1.2565003633499146,0.022784650325775146,0.0003,50.71176012000001,0.7505431175231934
8,104,29212,29111,277.92,3276,-16.9747314453125,0.8790913820266724,0.020706750452518463,0.0003,51.744475650000005,1.0794000625610352
8,108,29951,29850,276.25,3358,-17.6292724609375,0.23482933640480042,0.020009400323033333,0.0003,52.59805953,1.1473381519317627
8,112,31025,30924,269.21,3477,-16.565683364868164,1.2051429748535156,0.022289056330919266,0.0003,52.593400700000004,0.5920026302337646
8,116,31874,31773,267.06,3571,-16.82152557373047,-0.8792170286178589,0.022021273151040077,0.0003,53.338864940000015,0.6246112585067749
8,120,32838,32737,262.62,3678,-16.325305938720703,0.9380722045898438,0.022507334128022194,0.0003,53.61976334,0.6925081014633179
8,124,33781,33680,253.85,3783,-17.075143814086914,0.29202213883399963,0.023479541763663292,0.0003,53.371558400000005,1.2078487873077393
8,128,34564,34463,246.06,3869,-16.818214416503906,-0.19456329941749573,0.023961473256349564,0.0003,53.256703900000005,1.9738399982452393
8,132,35381,35280,239.0,3960,-16.55754852294922,0.4141075313091278,0.02385041117668152,0.0003,52.742200060000016,0.911302387714386
8,136,36128,36027,238.5,4043,-17.004308700561523,-1.142446756362915,0.02289091981947422,0.0003,53.676677550000015,0.6159534454345703
8,140,36978,36877,236.22,4138,-16.325939178466797,-1.0933607816696167,0.021350789815187454,0.0003,54.082053450000004,1.2040777206420898
8,144,37840,37739,233.73,4235,-15.859075546264648,0.7951088547706604,0.019990164786577225,0.0003,54.39947088000001,1.1485192775726318
8,148,38749,38648,232.94,4312,-16.31851577758789,-1.7797876596450806,0.02217290736734867,0.0003,54.71667962000001,0.5656908750534058
9,152,39564,39463,229.04,4374,-16.589691162109375,-1.1481249332427979,0.02392326295375824,0.0003,54.12339042999999,0.8129605054855347
9,156,40398,40297,228.46,4443,-15.781963348388672,0.5099137425422668,0.025020983070135117,0.0003,54.042061790000005,0.4981866478919983
9,160,41487,41386,230.57,4535,-16.2176513671875,-1.1960700750350952,0.02664290927350521,0.0003,54.106746490000006,1.1483268737792969
