#{"t_start": 1762941310.9051738, "env_id": "None"}
r,l,t
90.532289,102,1.989311
45.728073,100,4.121197
83.519823,258,9.39715
28.488638,94,11.289174
38.558883,87,13.067991
19.885266,55,14.101591
31.93225,70,15.407754
20.758352,63,16.621175
81.595439,172,19.911634
45.761095,109,21.977496
69.27797,99,23.892453
77.916405,89,25.557316
77.059166,104,27.623231
93.212597,127,30.022187
47.109864,61,31.216876
59.488119,91,33.135868
126.195953,179,36.946254
33.964735,88,38.781652
86.142022,104,40.81175
110.100852,129,43.427751
106.103227,178,47.055304
245.441835,239,51.525485
163.08945,164,54.771265
101.270548,91,56.485636
39.617967,59,57.576966
88.557019,109,59.639705
58.013802,95,61.479239
227.742117,196,65.150837
120.714697,156,68.445211
71.59199,118,70.834521
135.84748,197,74.811728
91.165532,143,77.764306
138.498332,159,81.031389
54.927867,90,82.844992
30.693298,66,84.103769
68.253515,104,86.19171
196.37461,281,95.498737
91.038368,105,98.716246
50.126803,86,100.762772
127.048065,100,106.407352
133.205052,159,110.708463
57.725464,97,113.037487
79.199727,92,117.340501
116.939033,93,119.411049
98.585192,148,122.814385
64.782981,121,125.965485
19.779731,48,126.867532
72.740415,115,129.051227
166.635185,208,133.268934
81.045255,127,135.75362
181.279345,195,139.449006
123.243342,174,142.601679
120.242045,135,145.014969
58.80964,106,146.959508
52.965767,81,148.4392
88.007149,103,150.3852
104.744505,182,153.658656
65.223697,118,155.798198
91.394133,144,158.40977
112.936596,166,161.374814
55.532431,97,163.118009
93.420917,98,164.914122
45.85268,73,166.23816
39.940973,56,167.27394
117.609384,196,170.923576
169.524198,192,174.852777
63.670578,85,176.457068
76.818586,121,178.739107
108.029105,118,181.169798
77.394341,81,182.710784
102.438855,113,184.916134
34.867373,59,186.102058
110.156929,129,188.583315
114.380131,91,190.457564
107.481312,124,192.863769
93.767099,133,195.34183
66.712008,90,196.993412
121.731393,131,199.405814
50.677399,63,200.693237
52.000392,88,202.414268
71.77654,65,203.670627
71.894636,132,206.224719
94.523206,108,208.414881
109.789458,100,210.507068
134.788294,129,213.2089
88.852335,102,215.309102
100.957821,83,216.908167
66.732445,74,218.440202
70.612407,107,220.639782
104.822079,135,223.340831
78.527873,86,225.043415
41.309057,55,226.151725
63.937993,62,227.369215
82.38193,111,229.573067
84.435618,96,231.480007
106.036482,88,233.161454
145.413268,146,236.052612
53.875974,89,237.914579
165.042293,115,240.12908
77.665189,89,241.855571
164.691009,175,245.23813
40.927366,51,246.166869
86.960589,92,247.989161
211.746749,188,251.344031
106.890193,131,253.635759
267.450432,165,256.797319
87.162537,129,259.37763
129.520007,118,261.469501
117.339836,105,263.360569
115.830791,109,265.418439
99.443771,121,267.674613
102.696144,94,269.457082
34.908477,51,270.447915
293.758892,212,274.456255
101.671086,122,276.910419
263.347867,134,279.334188
129.933685,161,282.29987
176.621909,203,286.21057
119.842004,113,288.267279
128.698012,130,290.845825
78.734704,73,292.258935
148.549966,169,295.403204
104.52883,74,296.79655
169.98633,123,299.015193
232.206768,194,302.543559
338.039799,241,306.857876
120.849799,123,309.208164
197.054737,260,313.798397
100.974514,107,315.78354
131.125404,105,317.754602
167.775017,139,320.366361
87.686816,130,322.753383
198.327584,152,325.506969
243.717001,203,329.152544
138.350868,147,332.220527
215.3522,226,336.597092
233.007237,194,340.318654
204.553936,140,343.167417
353.602986,190,347.269217
135.438182,123,349.788138
187.970205,160,353.0539
270.144894,262,358.044157
267.130528,202,361.958106
180.958079,175,365.17904
151.733266,195,368.687992
90.136897,112,370.654403
166.505628,207,374.295423
240.329222,199,377.803532
365.013929,336,383.64812
175.359598,157,386.567892
297.643445,374,393.228309
70.013753,84,394.832739
