time/episodes,time/time_elapsed,train/ent_coef,time/total_timesteps,train/critic_loss,train/learning_rate,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,rollout/ep_rew_mean,train/n_updates
188,5234,0.004337664693593979,49191,0.08507449179887772,0.0003,9,255.12,0.10264026373624802,-5.683390140533447,18.389128140000004,49090
192,5331,0.004224507138133049,50230,0.0840960219502449,0.0003,9,255.47,-0.23676827549934387,-5.7852253913879395,18.86285176,50129
196,5413,0.004325985908508301,51101,0.16405460238456726,0.0003,9,253.72,0.15367688238620758,-5.769026756286621,18.90552946,51000
200,5483,0.004763615317642689,51837,0.11347846686840057,0.0003,9,249.61,1.217091679573059,-5.738800048828125,19.058031990000003,51736
204,5571,0.004719007294625044,52783,0.142564058303833,0.0003,9,248.18,-1.0583442449569702,-5.768388748168945,19.33181202,52682
208,5641,0.004703770857304335,53523,0.17894138395786285,0.0003,9,240.61,0.5061029195785522,-5.716799736022949,19.10270602,53422
212,5727,0.004990112502127886,54437,0.13758254051208496,0.0003,9,242.57,-1.1654013395309448,-5.668820858001709,19.58944204,54336
216,5802,0.0049848733469843864,55247,0.05959846451878548,0.0003,9,242.14,0.7135157585144043,-5.668615818023682,19.933136299999997,55146
220,5887,0.0049363477155566216,56159,0.033560510724782944,0.0003,9,236.64,-0.3072180151939392,-5.575705528259277,20.10691027,56058
224,5976,0.0049782912246882915,57101,0.08154445886611938,0.0003,9,236.57,0.8720507621765137,-5.605491638183594,20.40291096,57000
228,6055,0.005096348002552986,57956,0.1699596643447876,0.0003,9,234.99,-0.42784178256988525,-5.692356109619141,20.616033769999998,57855
232,6166,0.005277485121041536,59146,0.19643521308898926,0.0003,9,238.05,-0.6223543882369995,-5.720015048980713,21.242367570000003,59045
236,6251,0.005191178061068058,60064,0.16801883280277252,0.0003,9,235.55,-0.15782609581947327,-5.42132568359375,21.0701205,59963
240,6330,0.005219670478254557,60922,0.043007805943489075,0.0003,9,234.15,-0.44650766253471375,-5.589892387390137,21.032058879999994,60821
244,6401,0.00551507156342268,61679,0.030248668044805527,0.0003,9,233.65,0.3981953263282776,-5.458227157592773,20.9610198,61578
248,6490,0.005275733768939972,62636,0.1776723861694336,0.0003,9,234.89,-0.34010839462280273,-5.451045036315918,21.297071699999996,62535
252,6593,0.0050280275754630566,63741,0.02459745481610298,0.0003,9,235.92,-1.1523263454437256,-5.5618720054626465,21.50801595,63640
256,6694,0.005074601154774427,64820,0.03163658827543259,0.0003,9,238.92,-0.44209638237953186,-5.43335485458374,21.889517,64719
260,6773,0.004936870187520981,65667,0.217654287815094,0.0003,9,238.07,-1.6717848777770996,-5.481449604034424,21.957339589999997,65566
264,6874,0.004778252448886633,66735,0.08133353292942047,0.0003,9,238.48,0.7039878368377686,-5.526562690734863,22.05407642,66634
268,6959,0.004677543882280588,67649,0.022617410868406296,0.0003,9,237.0,0.5880804061889648,-5.139773845672607,21.93352607,67548
272,7033,0.004542462062090635,68447,0.25153517723083496,0.0003,9,235.0,1.2843048572540283,-5.6116228103637695,21.817933860000004,68346
276,7127,0.004554768558591604,69485,0.047998107969760895,0.0003,9,233.72,-0.20765742659568787,-5.52134895324707,21.76586454,69384
280,7210,0.004589051939547062,70394,0.046357281506061554,0.0003,9,230.83,-0.4395911395549774,-5.6863789558410645,21.646941110000004,70293
284,7294,0.004973818548023701,71316,0.06816895306110382,0.0003,9,230.25,-0.076610267162323,-5.405094146728516,21.72467556,71215
288,7397,0.005108174402266741,72428,0.035333484411239624,0.0003,9,232.37,-1.749084711074829,-5.54256010055542,22.17646442,72327
292,7501,0.005250283982604742,73545,0.03823716193437576,0.0003,9,233.15,-1.7476673126220703,-5.481510162353516,22.26734404,73444
296,7606,0.00496723921969533,74684,0.024759095162153244,0.0003,9,235.83,-1.8492367267608643,-5.531156539916992,22.95670183,74583
300,7691,0.005176796577870846,75594,0.1015058308839798,0.0003,9,237.57,0.12693077325820923,-5.31852912902832,23.434002569999993,75493
304,7771,0.005214712116867304,76458,0.06875306367874146,0.0003,9,236.75,0.039138615131378174,-5.414251804351807,23.470874529999993,76357
308,7874,0.0054145390167832375,77560,0.1817954182624817,0.0003,9,240.37,0.527585506439209,-5.155564308166504,23.99076618,77459
312,7947,0.0053181517869234085,78340,0.03222261369228363,0.0003,9,239.03,0.38193705677986145,-5.474994659423828,23.97192769,78239
316,8031,0.00531898345798254,79238,0.06385162472724915,0.0003,9,239.91,0.229469895362854,-5.172027111053467,24.0070016,79137
320,8132,0.005470311269164085,80310,0.04376695305109024,0.0003,9,241.51,0.11216887831687927,-5.369104385375977,24.177468350000005,80209
324,8218,0.0053856149315834045,81231,0.18904975056648254,0.0003,9,241.3,-1.5170564651489258,-5.415235996246338,24.268455170000003,81130
328,8292,0.00524192163720727,82000,0.09458824247121811,0.0003,9,240.44,-0.36345139145851135,-5.518684387207031,24.098297190000004,81899
332,8387,0.005437247455120087,83012,0.0742330253124237,0.0003,9,238.66,-0.3511502146720886,-5.206763744354248,23.85210793,82911
336,8461,0.005581651348620653,83799,0.31788361072540283,0.0003,9,237.35,0.035114586353302,-5.451659679412842,23.677412370000006,83698
340,8540,0.005391606595367193,84649,0.031679995357990265,0.0003,9,237.27,-0.7499570846557617,-5.153292179107666,23.70121683,84548
344,8638,0.005341390613466501,85682,0.19065497815608978,0.0003,9,240.03,-1.218000888824463,-5.4254021644592285,24.16914047,85581
348,8729,0.005107324570417404,86648,0.23659874498844147,0.0003,9,240.12,-2.0498580932617188,-5.486910820007324,24.179836000000005,86547
352,8802,0.005315431393682957,87434,0.10641985386610031,0.0003,9,236.93,0.9331429600715637,-5.380786418914795,23.702002360000005,87333
356,8905,0.005519425496459007,88523,0.09297747910022736,0.0003,9,237.03,-1.4877252578735352,-5.390002727508545,23.65186409,88422
360,9003,0.005697545129805803,89570,0.07461947202682495,0.0003,9,239.03,-0.4865497648715973,-5.221853256225586,24.028352960000003,89469
364,9089,0.005622345022857189,90489,0.14920738339424133,0.0003,9,237.54,0.11736196279525757,-5.41585636138916,23.988533590000003,90388
368,9174,0.005652893800288439,91395,0.22468236088752747,0.0003,9,237.46,0.0381682813167572,-5.254482269287109,23.992355310000004,91294
372,9272,0.005582399666309357,92438,0.3233402967453003,0.0003,9,239.91,0.9640017151832581,-5.333565711975098,24.22567863,92337
376,9380,0.005816205870360136,93585,0.3488956689834595,0.0003,9,241.0,-0.9162013530731201,-5.210540771484375,24.336021539999997,93484
380,9472,0.005973103456199169,94560,0.2107067108154297,0.0003,9,241.66,-0.1265721172094345,-5.024431228637695,24.292698400000003,94459
384,9561,0.0059479158371686935,95507,0.1277981698513031,0.0003,9,241.91,0.2570587396621704,-5.368663311004639,24.298546280000004,95406
388,9658,0.0058930437080562115,96527,0.04252508655190468,0.0003,9,240.99,-0.9034708142280579,-5.31390905380249,24.18800353,96426
392,9750,0.006053832359611988,97513,0.057004306465387344,0.0003,10,239.68,0.8496684432029724,-5.03742790222168,24.04574005,97412
396,9862,0.005859699100255966,98697,0.30566102266311646,0.0003,10,240.13,-0.5342704057693481,-5.343282222747803,23.84171712,98596
400,9945,0.00602399418130517,99583,0.26828843355178833,0.0003,10,239.89,-0.8567984104156494,-5.380656719207764,23.752192679999993,99482
404,10048,0.006015666760504246,100685,0.03231394290924072,0.0003,10,242.27,-1.5574564933776855,-5.1605987548828125,23.87581198,100584
408,10140,0.00590498698875308,101669,0.16015049815177917,0.0003,10,241.09,-0.3747894763946533,-5.237067222595215,23.822344669999996,101568
412,10232,0.005877039860934019,102649,0.09938777983188629,0.0003,10,243.09,-0.1642148792743683,-5.207519054412842,24.033009469999996,102548
416,10329,0.005754248239099979,103686,0.05396351218223572,0.0003,10,244.48,1.0387859344482422,-5.0579833984375,24.385031680000008,103585
420,10440,0.005608389154076576,104861,0.03281132131814957,0.0003,10,245.51,-0.015120059251785278,-4.952142715454102,24.358994459999998,104760
424,10518,0.005662128329277039,105686,0.18467122316360474,0.0003,10,244.55,-1.0676499605178833,-5.22422456741333,24.15437043,105585
428,10607,0.0060062711127102375,106642,0.1784145087003708,0.0003,10,246.42,-1.446730375289917,-5.416445255279541,24.696334970000002,106541
432,10713,0.0055788601748645306,107768,0.04485130310058594,0.0003,10,247.56,0.010177917778491974,-5.163054466247559,24.720304690000003,107667
436,10847,0.005657850299030542,109190,0.11265017837285995,0.0003,10,253.91,1.7910401821136475,-5.223100662231445,25.404731459999997,109089
440,10930,0.005785872228443623,110073,0.1131642609834671,0.0003,10,254.24,0.3752298355102539,-5.130287170410156,25.451852919999997,109972
444,11011,0.005692014005035162,110932,0.15332844853401184,0.0003,10,252.5,0.4607487618923187,-5.141464710235596,25.21952900000001,110831
448,11091,0.005863852798938751,111790,0.17806528508663177,0.0003,10,251.42,1.3771430253982544,-4.923976898193359,25.103859890000003,111689
452,11189,0.00600305013358593,112836,0.09192506968975067,0.0003,10,254.02,-0.5575834512710571,-5.245987415313721,25.55729045,112735
456,11285,0.005820075981318951,113862,0.18201994895935059,0.0003,10,253.39,1.8136037588119507,-5.167999267578125,25.64896795,113761
460,11376,0.0057592387311160564,114868,0.16210505366325378,0.0003,10,252.98,2.073007345199585,-5.097970485687256,25.3707946,114767
464,11454,0.006177467759698629,115797,0.21688751876354218,0.0003,10,253.08,-3.0062413215637207,-5.471197605133057,25.408636240000007,115696
468,11527,0.005797971971333027,116670,0.24742043018341064,0.0003,10,252.75,-0.45897671580314636,-5.226260662078857,25.41335964,116569
472,11596,0.005842325743287802,117482,0.3345869183540344,0.0003,10,250.44,2.991586685180664,-4.861286163330078,25.19641713,117381
476,11675,0.006234711967408657,118420,0.1996491253376007,0.0003,10,248.35,-1.2618634700775146,-5.10320520401001,25.085812969999996,118319
480,11777,0.005962491966784,119634,0.021724794059991837,0.0003,10,250.74,2.7514758110046387,-5.263907432556152,25.29995258,119533
484,11848,0.005956828128546476,120456,0.0762747973203659,0.0003,10,249.49,-1.816100835800171,-5.339334964752197,25.167787770000004,120355
488,11951,0.005963660776615143,121553,0.04478079825639725,0.0003,10,250.26,-1.4696307182312012,-5.645518779754639,25.361152289999996,121452
492,12034,0.0059590269811451435,122435,0.05639653652906418,0.0003,10,249.22,1.2336245775222778,-5.372854232788086,25.18667999,122334
496,12134,0.006133352871984243,123517,0.052104659378528595,0.0003,10,248.2,-0.3489721119403839,-5.327132225036621,25.08333801,123416
500,12231,0.006340052466839552,124556,0.06095198914408684,0.0003,10,249.73,-0.1774037629365921,-5.531040191650391,25.163690909999996,124455
504,12316,0.006253183353692293,125457,0.06970830261707306,0.0003,10,247.72,0.2934741973876953,-4.961333274841309,24.879536279999993,125356
508,12404,0.006235318724066019,126400,0.22758498787879944,0.0003,10,247.31,-0.7313611507415771,-5.48432731628418,24.791873059999997,126299
512,12534,0.006412450224161148,127797,0.28546205163002014,0.0003,10,251.48,-0.16165605187416077,-5.35832405090332,25.366008809999997,127696
516,12644,0.006589782424271107,128980,0.04107585921883583,0.0003,10,252.94,0.21085938811302185,-5.222025394439697,25.463925920000005,128879
520,12737,0.006431834772229195,129974,0.0797746479511261,0.0003,10,251.13,1.5022828578948975,-5.410118103027344,25.481919059999996,129873
524,12841,0.006031608209013939,131077,0.18868182599544525,0.0003,10,253.91,-0.6187949180603027,-5.341054916381836,25.766976779999997,130976
528,12922,0.0064220186322927475,131947,0.3236168622970581,0.0003,10,253.05,0.5602926015853882,-5.449347972869873,25.468039650000005,131846
532,13026,0.00638736505061388,133063,0.08194437623023987,0.0003,10,252.95,-0.33389025926589966,-5.251817226409912,25.5479468,132962
536,13110,0.006278594955801964,133953,0.025789054110646248,0.0003,10,247.63,0.6681564450263977,-5.368556022644043,25.078035439999994,133852
540,13199,0.006741896737366915,134907,0.29901233315467834,0.0003,10,248.34,-0.5018271207809448,-5.286259651184082,25.112960810000004,134806
544,13309,0.006575595121830702,136079,0.07730486243963242,0.0003,10,251.47,-0.39018964767456055,-5.075210094451904,25.656744210000003,135978
548,13424,0.006374279037117958,137306,0.13576450943946838,0.0003,10,255.16,-1.5419436693191528,-5.4845662117004395,26.14699859,137205
552,13506,0.006004687864333391,138182,0.1502920687198639,0.0003,10,253.46,-0.49088189005851746,-5.251097202301025,25.94607356000001,138081
556,13583,0.006196963135153055,139006,0.018402718007564545,0.0003,10,251.44,-2.6149134635925293,-5.369018077850342,25.70803529,138905
560,13671,0.006219497416168451,139945,0.1366397738456726,0.0003,10,250.77,-1.6304357051849365,-5.399761199951172,25.748514110000002,139844
564,13785,0.0065094479359686375,141144,0.044964808970689774,0.0003,10,253.47,-0.18877241015434265,-5.457118034362793,26.03317223,141043
568,13910,0.00644684350118041,142463,0.21206127107143402,0.0003,10,257.93,-0.6908100843429565,-5.343941688537598,26.60118082,142362
572,13991,0.006528689991682768,143337,0.14313527941703796,0.0003,10,258.55,1.4577125310897827,-5.0184326171875,26.61670916,143236
576,14078,0.006476632319390774,144257,0.012654174119234085,0.0003,10,258.37,0.47341716289520264,-5.3559956550598145,26.64525864,144156
580,14188,0.006565484683960676,145438,0.03391476720571518,0.0003,10,258.04,-0.16910986602306366,-5.2976603507995605,26.632024310000002,145337
584,14283,0.007006235886365175,146456,0.08205433189868927,0.0003,10,260.0,-0.9016501903533936,-5.315001010894775,26.9072915,146355
588,14378,0.006345363333821297,147461,0.18880942463874817,0.0003,10,259.08,-1.1906018257141113,-5.233931064605713,26.664505910000003,147360
592,14480,0.006060044746845961,148552,0.041990652680397034,0.0003,10,261.17,2.763258934020996,-5.113537311553955,27.03415888,148451
596,14557,0.0060464730486273766,149371,0.058833181858062744,0.0003,10,258.54,1.2220038175582886,-5.104575157165527,26.81003252,149270
600,14626,0.006017040926963091,150105,0.0805380716919899,0.0003,10,255.49,-1.70063054561615,-5.441192626953125,26.358587679999996,150004
604,14741,0.005860431119799614,151328,0.12243953347206116,0.0003,10,258.71,1.6980502605438232,-5.40883207321167,26.99165064,151227
608,14819,0.006053959485143423,152167,0.12003077566623688,0.0003,10,257.67,-2.2197132110595703,-5.535670757293701,26.942711829999997,152066
612,14917,0.006300340872257948,153219,0.02106291800737381,0.0003,10,254.22,0.05245469510555267,-5.154837608337402,26.469344949999996,153118
616,15049,0.005792423151433468,154624,0.1348799169063568,0.0003,10,256.44,-1.3390779495239258,-5.329285621643066,26.720774340000002,154523
620,15140,0.005509076174348593,155598,0.06597550958395004,0.0003,10,256.24,0.9613820314407349,-5.536344051361084,26.619639949999996,155497
624,15253,0.005578783340752125,156799,0.18053722381591797,0.0003,10,257.22,1.2172542810440063,-5.458084583282471,26.976390129999995,156698
628,15331,0.005759765859693289,157627,0.22790288925170898,0.0003,10,256.8,2.058824062347412,-5.2591986656188965,26.926015780000004,157526
632,15429,0.005748752038925886,158680,0.29539018869400024,0.0003,10,256.17,0.14315040409564972,-5.390425682067871,26.823411170000004,158579
636,15519,0.005532397422939539,159636,0.13520854711532593,0.0003,10,256.83,-0.8859207630157471,-5.449002265930176,26.86401529,159535
640,15606,0.005538156721740961,160568,0.015528792515397072,0.0003,10,256.61,2.576183795928955,-5.176582336425781,26.869654539999996,160467
644,15690,0.005561115685850382,161458,0.09987848997116089,0.0003,10,253.79,0.3416237235069275,-5.453821182250977,26.466493489999998,161357
648,15802,0.006064849440008402,162655,0.1918594241142273,0.0003,10,253.49,0.8585885167121887,-5.488375663757324,26.218194240000006,162554
652,15910,0.006636506412178278,163808,0.342366099357605,0.0003,10,256.26,-0.0005888789892196655,-5.231478691101074,26.40003329,163707
656,16017,0.006139298900961876,164955,0.30161339044570923,0.0003,10,259.49,0.274199903011322,-5.338143825531006,26.88943159,164854
660,16089,0.006211906671524048,165727,0.17844220995903015,0.0003,10,257.82,0.8008840084075928,-5.3137407302856445,26.66987967,165626
664,16195,0.00607624277472496,166866,0.26984739303588867,0.0003,10,257.22,0.5836832523345947,-5.446377754211426,26.698049559999994,166765
668,16275,0.006103972904384136,167722,0.040281031280756,0.0003,10,252.59,-1.2002615928649902,-5.412952423095703,26.20899499,167621
672,16385,0.006154067814350128,168898,0.130975604057312,0.0003,10,255.61,-0.2762230336666107,-5.564923286437988,26.644398900000002,168797
676,16516,0.00592837855219841,170300,0.17150211334228516,0.0003,10,260.43,0.17408660054206848,-5.462687015533447,27.11163891,170199
680,16630,0.006088069640100002,171523,0.03181769698858261,0.0003,10,260.85,1.1355775594711304,-5.654192924499512,27.326028369999996,171422
684,16725,0.006033230572938919,172536,0.1859835684299469,0.0003,10,260.8,1.173370122909546,-5.410574436187744,27.264276600000002,172435
688,16825,0.005798113066703081,173619,0.08167269825935364,0.0003,10,261.58,-0.5890088081359863,-5.563410758972168,27.36455658,173518
692,16894,0.0054739355109632015,174437,0.24878524243831635,0.0003,10,258.85,-0.5829338431358337,-5.659637451171875,27.077645289999996,174336
696,17013,0.005465914960950613,175855,0.0579632967710495,0.0003,10,264.84,0.8917943835258484,-5.453780174255371,27.828654720000003,175754
700,17101,0.005784840788692236,176896,0.2817634344100952,0.0003,10,267.91,1.607610821723938,-5.566535472869873,28.28313034,176795
704,17222,0.005972038488835096,178208,0.18673104047775269,0.0003,10,268.8,0.0528271347284317,-5.539295196533203,28.132805160000004,178107
708,17320,0.005906696431338787,179247,0.01424749568104744,0.0003,10,270.8,0.7554102540016174,-5.399930000305176,28.373043669999998,179146
712,17412,0.005957453045994043,180237,0.02714969962835312,0.0003,10,270.18,0.0724315494298935,-5.894714832305908,28.307821449999995,180136
716,17529,0.005685134790837765,181505,0.14229635894298553,0.0003,10,268.81,-0.0352523997426033,-5.502127647399902,28.28076302,181404
720,17640,0.005707829724997282,182692,0.04848508536815643,0.0003,10,270.94,0.8023601174354553,-5.486998081207275,28.697396100000002,182591
724,17757,0.005839306861162186,183933,0.021873001009225845,0.0003,10,271.34,1.1157867908477783,-5.7913055419921875,28.676415059999997,183832
728,17835,0.005865002050995827,184756,0.3018763065338135,0.0003,10,271.29,0.5490410327911377,-5.680288791656494,28.78313918,184655
732,17949,0.005750290118157864,185971,0.04059068113565445,0.0003,10,272.91,-0.6136504411697388,-5.897752285003662,28.875771959999998,185870
736,18043,0.0057692877016961575,186978,0.09320519119501114,0.0003,10,273.42,2.435133934020996,-5.443971633911133,28.8682604,186877
740,18139,0.005930405575782061,187997,0.115616075694561,0.0003,10,274.29,-1.4745984077453613,-5.8331522941589355,29.058351910000003,187896
744,18222,0.005941778887063265,188878,0.026373978704214096,0.0003,10,274.2,0.15765343606472015,-5.866307258605957,28.96524795,188777
748,18305,0.0059623983688652515,189761,0.10724285989999771,0.0003,10,271.06,-0.6984882354736328,-5.949076175689697,28.890571759999997,189660
752,18401,0.0060158963315188885,190784,0.06774048507213593,0.0003,10,269.76,-1.7064034938812256,-5.911083221435547,28.68576046,190683
756,18528,0.006047429982572794,192131,0.2031237632036209,0.0003,10,271.76,0.0420670211315155,-5.897096633911133,28.760239730000002,192030
760,18667,0.005740252323448658,193612,0.08076257258653641,0.0003,10,278.85,0.20171156525611877,-5.724140167236328,29.639568969999996,193511
764,18766,0.005700784735381603,194662,0.43161284923553467,0.0003,10,277.96,0.13333547115325928,-5.6569929122924805,29.479975829999994,194561
768,18875,0.0059679048135876656,195820,0.2944345772266388,0.0003,10,280.98,-0.916937530040741,-5.815948963165283,29.707902300000004,195719
772,18987,0.006165090948343277,197004,0.03013848327100277,0.0003,10,281.06,-0.9490450024604797,-5.811901569366455,29.62814307,196903
776,19079,0.006065497174859047,197975,0.25327789783477783,0.0003,10,276.75,2.114690065383911,-5.630859851837158,29.029758459999993,197874
780,19169,0.0060687605291605,198935,0.07826627045869827,0.0003,10,274.12,0.40203800797462463,-5.8406524658203125,28.689524370000004,198834
784,19264,0.006166210863739252,199943,0.16444101929664612,0.0003,10,274.07,1.1786019802093506,-5.552746295928955,28.67207828,199842
788,19369,0.0059124985709786415,201106,0.09477003663778305,0.0003,10,274.87,-0.2845260798931122,-5.694690227508545,28.628874510000006,201005
792,19456,0.005914179142564535,202042,0.13189226388931274,0.0003,10,276.05,-1.2003347873687744,-5.941077709197998,28.64052268,201941
796,19547,0.0057765766978263855,203007,0.07609149813652039,0.0003,10,271.52,-0.4261593222618103,-5.66339111328125,27.90495171,202906
800,19643,0.005745915696024895,204039,0.04238417372107506,0.0003,10,271.43,-0.07431410253047943,-5.939969062805176,27.825200090000003,203938
804,19743,0.0058238934725522995,205104,0.017990197986364365,0.0003,10,268.96,-0.563284695148468,-5.669957637786865,27.5726973,205003
808,19878,0.005690125282853842,206577,0.13593049347400665,0.0003,10,273.3,2.611663579940796,-5.449905872344971,28.2067425,206476
812,19955,0.005793293006718159,207406,0.21490365266799927,0.0003,10,271.69,-0.15513953566551208,-5.613426208496094,27.907232379999996,207305
816,20076,0.005812657065689564,208712,0.08239828050136566,0.0003,10,272.07,0.6351569294929504,-5.615276336669922,27.79336678,208611
820,20175,0.005734947510063648,209794,0.2093096375465393,0.0003,10,271.02,0.8056440949440002,-5.723080635070801,27.519066379999995,209693
824,20276,0.005859131924808025,210946,0.04221433401107788,0.0003,10,270.13,-0.9918897151947021,-5.720633029937744,27.465204549999996,210845
828,20390,0.005929729901254177,212165,0.14142833650112152,0.0003,10,274.09,0.704311728477478,-5.821913242340088,27.79141761,212064
