train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/n_updates
-9.63425350189209,-1.4052023887634277,257.25,0.0003,99,0.05379931628704071,3.40767525,10,1029,4,0.757179856300354,928
-12.956110000610352,-2.438910484313965,214.5,0.0003,167,0.4271256625652313,2.911097625,10,1716,8,0.6162654757499695,1615
-17.100046157836914,-4.098232269287109,239.08333333333334,0.0003,294,0.2894832491874695,3.13688325,9,2869,12,0.43659237027168274,2768
-18.920591354370117,-5.62451171875,245.0625,0.0003,411,0.11691028624773026,3.173722625,9,3921,16,0.3190383315086365,3820
-19.91682243347168,-6.913674354553223,242.35,0.0003,515,0.38487309217453003,3.0589327500000003,9,4847,20,0.24213993549346924,4746
-20.223676681518555,-8.533154487609863,248.66666666666666,0.0003,641,0.16676190495491028,3.217506625,9,5968,24,0.1735803633928299,5867
-19.71510887145996,-9.775402069091797,254.42857142857142,0.0003,771,0.3279300928115845,3.334081,9,7124,28,0.12358032166957855,7023
-18.27084732055664,-11.239072799682617,261.09375,0.0003,909,0.10561507195234299,3.520345625,9,8355,32,0.08624516427516937,8254
-18.296728134155273,-11.570950508117676,262.94444444444446,0.0003,1033,0.32196399569511414,3.548988361111111,9,9466,36,0.06278309226036072,9365
-17.061145782470703,-12.885122299194336,272.9,0.0003,1196,0.09431664645671844,3.7596034000000005,9,10916,40,0.04198485240340233,10815
-15.520782470703125,-11.809645652770996,273.3181818181818,0.0003,1320,0.10416130721569061,3.8338548181818184,9,12026,44,0.03086037002503872,11925
-14.641496658325195,-13.109163284301758,270.5,0.0003,1426,0.9167165756225586,3.79541925,9,12984,48,0.023409130051732063,12883
-14.315179824829102,-11.268780708312988,269.13461538461536,0.0003,1538,0.08323357999324799,3.7983731346153844,9,13995,52,0.01756165362894535,13894
-13.139022827148438,-12.294395446777344,269.7142857142857,0.0003,1664,0.06605210900306702,3.870703964285714,9,15104,56,0.013224727474153042,15003
