train/learning_rate,train/actor_loss,time/fps,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/time_elapsed,time/episodes
0.0003,-9.901301383972168,10,275.75,1103,0.7405062913894653,1002,3.51732875,0.060674816370010376,-1.515467882156372,105,4
0.0003,-15.16960334777832,10,280.875,2247,0.5258670449256897,2146,3.462504375,0.2784360349178314,-3.234609603881836,224,8
0.0003,-18.626686096191406,8,300.8333333333333,3610,0.35036414861679077,3509,3.701491166666667,0.8979570865631104,-5.1570281982421875,410,12
0.0003,-19.97047233581543,8,313.75,5020,0.2297588288784027,4919,3.8305145,0.39119893312454224,-7.2869672775268555,601,16
0.0003,-20.11405372619629,8,306.85,6137,0.1653279960155487,6036,3.8281333,0.19018062949180603,-8.430378913879395,754,20
0.0003,-19.501306533813477,7,317.7083333333333,7625,0.1066877469420433,7524,4.003206333333334,0.11550746858119965,-10.51967716217041,956,24
0.0003,-18.86233139038086,7,316.67857142857144,8867,0.07391534745693207,8766,3.995087464285714,0.49768152832984924,-11.804229736328125,1123,28
0.0003,-17.561023712158203,7,315.96875,10111,0.051592372357845306,10010,4.09204278125,0.6311584711074829,-12.96907901763916,1291,32
0.0003,-16.360071182250977,7,314.5,11322,0.03645739704370499,11221,4.114657972222222,0.17174844443798065,-12.573138236999512,1456,36
0.0003,-15.698551177978516,7,306.2,12248,0.028123879805207253,12147,4.0347653999999995,0.22254854440689087,-13.367532730102539,1581,40
0.0003,-15.207817077636719,7,298.95454545454544,13154,0.021779101341962814,13053,4.036064409090908,0.09207551181316376,-13.33476448059082,1705,44
0.0003,-13.406744003295898,7,306.25,14700,0.014319119974970818,14599,4.2545242708333335,0.3352758288383484,-12.147092819213867,1927,48
0.0003,-12.540862083435059,7,315.1923076923077,16390,0.009248130023479462,16289,4.447956576923077,0.10262023657560349,-12.591678619384766,2158,52
0.0003,-11.389456748962402,7,320.73214285714283,17961,0.0061255027540028095,17860,4.652506839285714,0.6196464896202087,-9.632363319396973,2368,56
0.0003,-10.335322380065918,7,326.23333333333335,19574,0.005106399301439524,19473,4.8513966166666656,0.14350631833076477,0.6303223371505737,2583,60
0.0003,-9.50331974029541,7,330.21875,21134,0.004780907649546862,21033,5.035451078125,0.03154550865292549,-1.1862359046936035,2790,64
0.0003,-8.78050708770752,7,338.0147058823529,22985,0.003639990696683526,22884,5.279036470588235,0.03431263566017151,-0.9514646530151367,3041,68
0.0003,-7.527798652648926,7,347.8611111111111,25046,0.0033114785328507423,24945,5.5919980972222225,0.029377199709415436,-2.1172964572906494,3316,72
0.0003,-7.072056770324707,7,351.63157894736844,26724,0.0025090044364333153,26623,5.792735197368422,0.02099970355629921,-1.123207926750183,3540,76
0.0003,-6.430022239685059,7,358.05,28644,0.002646731911227107,28543,5.881346375000001,0.01795632392168045,-0.0730404257774353,3798,80
0.0003,-6.006595134735107,7,360.51190476190476,30283,0.0023526346776634455,30182,5.913893059523809,0.01927739754319191,-2.315732479095459,4005,84
0.0003,-5.316104412078857,7,367.0,32296,0.002126134932041168,32195,6.1449627613636375,0.02142770029604435,-2.8638129234313965,4204,88
0.0003,-4.605661869049072,7,373.19565217391306,34334,0.0023490050807595253,34233,6.311162282608696,0.02135821431875229,-0.09938317537307739,4403,92
0.0003,-4.497613430023193,7,373.46875,35853,0.0019584910478442907,35752,6.326753583333333,0.012989834882318974,0.1479465514421463,4549,96
0.0003,-4.126456260681152,7,379.98,37998,0.0016080713830888271,37897,6.453992069999999,0.01001688651740551,0.37448209524154663,4750,100
0.0003,-3.709857702255249,8,385.11,39614,0.002101162215694785,39513,6.667289010000001,0.006259549409151077,-0.44263216853141785,4902,104
0.0003,-3.344170331954956,8,389.76,41223,0.002153598703444004,41122,6.894247239999999,0.014322903007268906,-1.986137866973877,5054,108
0.0003,-3.241304397583008,8,387.26,42336,0.002649852307513356,42235,6.99684002,0.009104641154408455,5.49346399307251,5161,112
0.0003,-3.0666065216064453,8,383.97,43417,0.0025545854587107897,43316,7.141445500000001,0.009439990855753422,-1.3447506427764893,5265,116
0.0003,-2.9006786346435547,8,386.19,44756,0.002821112284436822,44655,7.3899979700000005,0.005601987242698669,0.5328893661499023,5392,120
0.0003,-2.7650251388549805,8,381.94,45819,0.0028069813270121813,45718,7.486197870000001,0.006127157714217901,-1.841724157333374,5487,124
0.0003,-2.6651508808135986,8,380.51,46918,0.0025272411294281483,46817,7.645052370000001,0.004651548806577921,1.2011312246322632,5587,128
0.0003,-2.5778141021728516,8,382.79,48390,0.0023159109987318516,48289,7.88639395,0.015297269448637962,-0.19710752367973328,5726,132
0.0003,-2.544081687927246,8,383.09,49631,0.0022713392972946167,49530,8.046946250000001,0.0038677635602653027,-1.7448489665985107,5843,136
0.0003,-2.3486573696136475,8,385.92,50840,0.002107887761667371,50739,8.23870052,0.010930277407169342,0.44784122705459595,5953,140
0.0003,-2.277088165283203,8,389.53,52107,0.0020921763498336077,52006,8.42516757,0.004854436963796616,-0.7075221538543701,6063,144
0.0003,-2.0725932121276855,8,387.03,53403,0.002173452638089657,53302,8.554095940000002,0.008608787320554256,0.7296112775802612,6185,148
0.0003,-2.161027669906616,8,381.71,54561,0.0022368142381310463,54460,8.63562827,0.006991934031248093,-2.6448614597320557,6294,152
0.0003,-1.976116418838501,8,378.93,55854,0.002180129988119006,55753,8.79440242,0.0023993852082639933,-1.8798149824142456,6414,156
