train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/critic_loss,time/time_elapsed
0.0003,1010,4,252.5,10.69260725,909,29,0.7615205645561218,-9.541610717773438,-1.37368643283844,0.1624775528907776,34
0.0003,2213,8,276.625,11.487219625000002,2112,27,0.5314049124717712,-15.318493843078613,-3.16321063041687,0.09820275008678436,79
0.0003,4395,12,366.25,15.964583916666669,4294,27,0.27760061621665955,-20.150135040283203,-6.209052562713623,0.6272085309028625,161
0.0003,5781,16,361.3125,16.6975455625,5680,26,0.18377701938152313,-21.060300827026367,-8.123808860778809,0.11695244163274765,219
0.0003,7456,20,372.8,18.943326550000002,7355,24,0.11286507546901703,-21.548994064331055,-10.174610137939453,0.1717945635318756,307
0.0003,9041,24,376.7083333333333,19.602028999999998,8940,22,0.07130251824855804,-20.482830047607422,-11.291653633117676,0.15952400863170624,400
0.0003,10487,28,374.5357142857143,20.217018214285712,10386,21,0.048111442476511,-19.707712173461914,-9.919520378112793,0.13741928339004517,486
0.0003,11889,32,371.53125,20.929862406250002,11788,20,0.03242455795407295,-18.672107696533203,-10.976917266845703,0.14549992978572845,570
0.0003,13946,36,387.3888888888889,22.850058027777784,13845,20,0.018841853365302086,-17.26675796508789,-10.760889053344727,0.2488284409046173,686
0.0003,15365,40,384.125,22.633058275000003,15264,20,0.013196978718042374,-16.079849243164062,-5.585408687591553,0.21497730910778046,762
0.0003,16893,44,383.9318181818182,22.659845045454546,16792,19,0.010271898470818996,-15.216724395751953,0.4068279266357422,0.1755700409412384,846
0.0003,18203,48,379.2291666666667,23.375471895833332,18102,20,0.009791325777769089,-14.726744651794434,0.5113226771354675,0.2079734206199646,909
0.0003,19215,52,369.5192307692308,23.083814346153847,19114,19,0.009261497296392918,-14.239776611328125,1.790276288986206,0.08751370012760162,964
0.0003,20459,56,365.3392857142857,23.623078053571426,20358,19,0.008778851479291916,-13.400534629821777,1.000086784362793,0.5550112724304199,1035
0.0003,21822,60,363.7,23.857266549999995,21721,19,0.00795457698404789,-13.138501167297363,-0.11201927065849304,0.13141001760959625,1112
0.0003,22835,64,356.796875,23.646800499999998,22734,19,0.006962720304727554,-12.431143760681152,-1.1953002214431763,0.1905578076839447,1164
0.0003,24500,68,360.29411764705884,24.743549735294117,24399,19,0.007992781698703766,-11.92961311340332,0.266681969165802,0.1543133556842804,1245
0.0003,26093,72,362.40277777777777,25.435854166666665,25992,19,0.008000903762876987,-11.028907775878906,0.7399575114250183,0.06293925642967224,1338
0.0003,27507,76,361.9342105263158,25.875648736842106,27406,19,0.008006147108972073,-11.527779579162598,-0.8997177481651306,0.3017873764038086,1407
0.0003,29133,80,364.1625,26.527273412499994,29032,19,0.008260317146778107,-10.691092491149902,-0.4207702577114105,0.1803078055381775,1482
0.0003,30558,84,363.7857142857143,26.904341142857138,30457,19,0.007877837866544724,-9.989387512207031,-3.682774543762207,0.13355299830436707,1548
0.0003,31847,88,361.89772727272725,26.972320431818183,31746,19,0.007559842895716429,-9.7761869430542,-1.8285889625549316,0.2120983600616455,1618
0.0003,33471,92,363.8152173913044,27.368044739130436,33370,19,0.007511320058256388,-9.556816101074219,0.31633082032203674,0.15396828949451447,1700
0.0003,34889,96,363.4270833333333,27.508129489583336,34788,19,0.007322825491428375,-9.230806350708008,-0.503877580165863,0.14021852612495422,1780
0.0003,36354,100,363.54,27.71336304,36253,19,0.007573698181658983,-8.992048263549805,1.1110576391220093,0.16143424808979034,1859
0.0003,37632,104,366.22,28.5944497,37531,19,0.007689420133829117,-8.914226531982422,1.1344188451766968,0.22946058213710785,1929
0.0003,38823,108,366.1,29.123593520000004,38722,19,0.006968812085688114,-8.46761703491211,1.268640160560608,0.12544682621955872,1995
0.0003,39970,112,355.75,29.27938819,39869,19,0.006548444740474224,-8.686585426330566,-2.964367628097534,0.1552445888519287,2058
0.0003,41605,116,358.24,30.506316920000003,41504,19,0.006682706996798515,-8.200601577758789,0.8132235407829285,0.2158815562725067,2145
0.0003,42697,120,352.41,30.652258600000003,42596,19,0.006953251548111439,-8.261390686035156,-0.591744601726532,0.4120635688304901,2204
0.0003,44126,124,350.85,31.571060639999995,44025,19,0.007766557391732931,-8.289463996887207,1.0681718587875366,0.44185519218444824,2277
0.0003,45482,128,349.95,32.33704607,45381,19,0.007449427153915167,-8.099326133728027,-0.5601897239685059,0.054572537541389465,2354
0.0003,46599,132,347.1,32.637601999999994,46498,19,0.007445424795150757,-7.7507171630859375,1.1802252531051636,0.25790834426879883,2413
0.0003,47804,136,338.58,32.720404200000004,47703,19,0.007453929167240858,-8.053689956665039,-0.1198473572731018,0.10725264251232147,2477
0.0003,48852,140,334.87,33.196281639999995,48751,19,0.007679489906877279,-8.042984008789062,-1.5201693773269653,0.10579164326190948,2525
0.0003,49979,144,330.86,33.481361140000004,49878,19,0.0075551364570856094,-7.963132858276367,1.2431386709213257,0.7999519109725952,2579
0.0003,51189,148,329.86,33.72008471,51088,19,0.008294956758618355,-7.967740058898926,-0.4818532168865204,0.23198452591896057,2645
0.0003,52580,152,333.65,34.56450341000001,52479,19,0.008478677831590176,-8.054627418518066,-1.8517963886260986,0.09495395421981812,2719
0.0003,53793,156,333.34,34.63257415,53692,19,0.008485877886414528,-7.756376266479492,0.20504529774188995,0.16437199711799622,2780
0.0003,54959,160,331.37,34.92680911,54858,19,0.008019550703465939,-7.771499156951904,0.861558735370636,0.40540191531181335,2844
