time/episodes,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,train/actor_loss,train/ent_coef
172,0.0003,28.235326230000005,274.52,0.24085994064807892,49666,18,49767,0.4516788125038147,2631,-7.6750383377075195,0.007787201553583145
176,0.0003,29.187627849999995,278.97,-0.07677163183689117,51191,18,51292,0.12108518183231354,2707,-7.408717155456543,0.007826280780136585
180,0.0003,30.416501419999996,284.87,-1.0788453817367554,52886,18,52987,0.260944128036499,2802,-7.382648944854736,0.007716486696153879
184,0.0003,32.25966685,293.76,-0.8154731392860413,54888,18,54989,0.5772989988327026,2908,-7.233054161071777,0.0077688610181212425
188,0.0003,32.88965818,298.95,1.156286358833313,56192,18,56293,0.10343845188617706,2981,-7.089672088623047,0.007900894619524479
192,0.0003,32.864681659999995,300.1,1.2585567235946655,57311,18,57412,0.2963029146194458,3042,-7.162078857421875,0.0075803534127771854
196,0.0003,33.871995209999994,305.39,-2.0209429264068604,59026,18,59127,0.04259585216641426,3122,-7.4619903564453125,0.007402865681797266
200,0.0003,34.97141542,311.78,-0.12603159248828888,60724,18,60825,0.15145456790924072,3210,-7.4940900802612305,0.00756582198664546
204,0.0003,35.583571660000004,313.01,-1.4929354190826416,61819,18,61920,0.4617481231689453,3263,-7.306293487548828,0.007592642214149237
208,0.0003,36.39459632,316.05,-0.5722732543945312,63313,19,63414,0.20190784335136414,3335,-7.255214691162109,0.007200906053185463
212,0.0003,36.284931990000004,317.85,-0.21704597771167755,64485,19,64586,0.06392236053943634,3390,-7.283820152282715,0.007366691250354052
216,0.0003,37.02777879999999,322.62,-2.0717074871063232,65765,19,65866,0.075722835958004,3451,-7.284987449645996,0.0072088041342794895
220,0.0003,36.943819819999995,322.26,0.4474749267101288,66773,19,66874,0.6893830299377441,3498,-7.20442008972168,0.007215241901576519
224,0.0003,36.951578749999996,322.84,0.09195053577423096,67884,19,67985,0.32822898030281067,3559,-7.182408332824707,0.007197634316980839
228,0.0003,37.444981369999994,326.63,0.9879183173179626,69182,19,69283,0.32184240221977234,3631,-7.076416969299316,0.007269980385899544
232,0.0003,38.001215959999996,327.81,-1.0964114665985107,70638,19,70739,0.5418728590011597,3712,-7.32536506652832,0.007316389586776495
236,0.0003,38.126074419999995,327.65,2.4609487056732178,71865,19,71966,0.19507339596748352,3782,-6.858187675476074,0.006951139774173498
240,0.0003,38.608376899999996,330.36,-0.8024559617042542,73145,19,73246,0.11640368402004242,3853,-7.25778865814209,0.0066343736834824085
244,0.0003,39.26806089,333.36,0.8521803617477417,74590,18,74691,0.0874255895614624,3934,-7.480712890625,0.006446886342018843
248,0.0003,39.84086417,336.68,-0.24595512449741364,75918,18,76019,0.2101915180683136,4008,-6.438020706176758,0.006693218369036913
252,0.0003,40.15158704,338.6,0.1971091479063034,77045,18,77146,0.2433026283979416,4071,-7.228091239929199,0.007234624121338129
256,0.0003,40.48054088,339.83,0.20317442715168,78227,18,78328,0.2670893669128418,4137,-7.125119686126709,0.007462876848876476
260,0.0003,40.37651917,338.82,1.0710361003875732,79404,18,79505,0.27020132541656494,4202,-7.240861415863037,0.007254321128129959
264,0.0003,40.043102569999995,338.41,-2.9720656871795654,80658,18,80759,0.5526214838027954,4272,-7.113523006439209,0.0072214785031974316
268,0.0003,39.76976946,335.42,3.199716091156006,81856,18,81957,0.08794531226158142,4339,-6.993717193603516,0.007335984148085117
272,0.0003,39.641646769999994,334.54,-0.8957446813583374,83120,18,83221,0.11966834962368011,4409,-7.115362644195557,0.007415298372507095
276,0.0003,39.13911458999999,332.83,-1.3631008863449097,84474,18,84575,0.3704076409339905,4484,-7.144959926605225,0.007212569005787373
280,0.0003,38.1189051,326.34,-1.7140594720840454,85520,18,85621,0.12368719279766083,4541,-7.205641746520996,0.007438345346599817
284,0.0003,37.24196575,321.03,1.1825543642044067,86991,18,87092,0.17670366168022156,4623,-6.933871269226074,0.0072973379865288734
288,0.0003,37.28512483,320.4,1.3422627449035645,88232,18,88333,0.49411821365356445,4692,-7.119577407836914,0.007461830973625183
292,0.0003,38.002293099999996,323.25,-0.218379408121109,89636,18,89737,0.36086952686309814,4771,-6.959873676300049,0.007459212560206652
296,0.0003,37.49887701,319.8,0.848425030708313,91006,18,91107,0.14717698097229004,4847,-7.05620002746582,0.0076006255112588406
300,0.0003,37.624963169999994,317.12,0.7595944404602051,92436,18,92537,0.2507666051387787,4927,-6.908533096313477,0.007646487094461918
304,0.0003,37.56624151,317.86,-0.937080979347229,93605,18,93706,0.12665624916553497,4992,-6.876214981079102,0.007300470490008593
308,0.0003,37.564338049999996,318.08,0.37835389375686646,95121,18,95222,0.3873409330844879,5076,-7.216919898986816,0.007430507335811853
312,0.0003,38.038254200000004,320.12,-0.5755996108055115,96497,18,96598,0.13596731424331665,5153,-6.862719535827637,0.007013342343270779
316,0.0003,38.407778799999996,321.88,1.0920571088790894,97953,18,98054,0.09563653916120529,5234,-6.774494171142578,0.00727961678057909
320,0.0003,38.93547316,323.65,0.4659360647201538,99138,18,99239,0.23406025767326355,5299,-7.1091203689575195,0.007724456954747438
324,0.0003,39.06333345,324.76,0.16554801166057587,100360,18,100461,0.09784785658121109,5368,-7.29459285736084,0.0075597562827169895
328,0.0003,38.98687445000001,321.97,0.6178346276283264,101379,18,101480,0.5771426558494568,5424,-6.908707618713379,0.007385363802313805
332,0.0003,38.72930671,319.51,2.491701364517212,102589,18,102690,0.0501842126250267,5492,-7.210269927978516,0.0075067440047860146
336,0.0003,38.57625135,316.97,0.6992163062095642,103562,18,103663,0.48211511969566345,5547,-6.924441814422607,0.007631054148077965
340,0.0003,38.9522943,316.12,-0.7763785123825073,104757,18,104858,0.3291998505592346,5613,-7.334073543548584,0.0076223695650696754
344,0.0003,39.03348793999999,315.77,-0.6949102878570557,106167,18,106268,0.43788212537765503,5691,-7.0016045570373535,0.008208793587982655
348,0.0003,39.4122739,316.12,-0.601484477519989,107530,18,107631,0.3784242570400238,5767,-7.048908233642578,0.008138211444020271
352,0.0003,39.451115810000005,316.7,-0.9091953635215759,108715,18,108816,0.2510165274143219,5833,-6.872960090637207,0.008638804778456688
356,0.0003,39.9669258,319.59,-0.4790883958339691,110186,18,110287,0.14442285895347595,5914,-6.92403507232666,0.00832812488079071
360,0.0003,39.8938832,317.61,0.15647579729557037,111165,18,111266,0.2262018769979477,5968,-6.970925331115723,0.008191971108317375
364,0.0003,40.68911058,319.94,-1.2903563976287842,112652,18,112753,0.2851516604423523,6051,-6.835323333740234,0.00817175768315792
368,0.0003,40.61548818,320.23,0.708298921585083,113879,18,113980,0.1131870448589325,6119,-6.82161283493042,0.008182675577700138
372,0.0003,40.2830837,317.81,-0.18875224888324738,114901,18,115002,0.4396146535873413,6176,-6.872368335723877,0.007882782258093357
376,0.0003,39.79594631999999,313.69,1.8234939575195312,115843,18,115944,0.31370997428894043,6229,-7.134504318237305,0.007962443865835667
380,0.0003,40.2897458,318.01,0.8719397783279419,117321,18,117422,0.10606414824724197,6311,-6.876928806304932,0.007691448088735342
384,0.0003,39.461533059999994,312.57,0.6488522887229919,118248,18,118349,0.29532554745674133,6363,-7.0251054763793945,0.008201680146157742
388,0.0003,40.180835429999995,313.53,-0.21444198489189148,119585,18,119686,0.2491070032119751,6436,-7.210888862609863,0.008351818658411503
392,0.0003,39.975890910000004,313.36,1.752092719078064,120972,18,121073,0.34568291902542114,6513,-7.047370433807373,0.007990769110620022
396,0.0003,39.745785379999994,310.76,0.45568791031837463,122082,18,122183,0.0684637799859047,6575,-7.0301666259765625,0.008362969383597374
400,0.0003,38.887839099999994,307.72,0.29923075437545776,123208,18,123309,0.32269641757011414,6637,-6.8610053062438965,0.007938859052956104
404,0.0003,39.203745250000004,309.33,-0.532875657081604,124538,18,124639,0.10600623488426208,6711,-7.09633731842041,0.008094385266304016
408,0.0003,38.973695230000004,304.84,-0.8482061624526978,125605,18,125706,0.21991249918937683,6770,-7.034517765045166,0.007627096027135849
412,0.0003,39.05132863,304.08,0.977419912815094,126905,18,127006,0.6677501201629639,6842,-6.6431379318237305,0.008331500925123692
416,0.0003,38.45070704,299.66,0.3750402629375458,127919,18,128020,0.23180349171161652,6898,-6.514575004577637,0.008266554214060307
420,0.0003,38.83163882,301.14,0.36216211318969727,129252,18,129353,0.4626077711582184,6972,-6.852479457855225,0.007978132925927639
424,0.0003,38.67048773,299.39,0.48992836475372314,130299,18,130400,0.2530912756919861,7030,-6.739885330200195,0.008089485578238964
428,0.0003,38.78903312999999,300.01,0.16801364719867706,131380,18,131481,0.04216301813721657,7090,-7.193800926208496,0.008109692484140396
432,0.0003,38.96264251,300.45,-0.5205792188644409,132634,18,132735,0.19677230715751648,7160,-6.548878192901611,0.00866252277046442
436,0.0003,39.67520089,304.43,-0.702851414680481,134005,18,134106,0.048737380653619766,7236,-7.1782941818237305,0.008548930287361145
440,0.0003,39.114889209999994,303.16,0.48876094818115234,135073,18,135174,0.48552829027175903,7295,-6.98490047454834,0.008155128918588161
444,0.0003,38.47320583,299.36,0.3748297095298767,136103,18,136204,0.1436069905757904,7352,-6.782863140106201,0.008180081844329834
448,0.0003,37.86695133999999,296.95,-1.426271677017212,137225,18,137326,0.41776180267333984,7414,-6.931032657623291,0.008935319259762764
452,0.0003,37.86843228,294.76,-0.197576105594635,138191,18,138292,0.42630574107170105,7468,-6.803615093231201,0.008381896652281284
456,0.0003,37.74662884,291.33,-0.5361000895500183,139319,18,139420,0.22537294030189514,7531,-7.041369915008545,0.008277133107185364
460,0.0003,38.454382720000005,295.3,-0.0769464373588562,140695,18,140796,0.2334592342376709,7607,-7.064001083374023,0.00843364279717207
464,0.0003,38.00289196,294.88,1.0614469051361084,142140,18,142241,0.19120217859745026,7687,-6.632955551147461,0.0089269382879138
468,0.0003,37.743618500000004,290.97,-1.7151906490325928,142976,18,143077,0.07569000869989395,7733,-6.965986728668213,0.008452503941953182
472,0.0003,38.16269348,292.21,-0.8384900093078613,144122,18,144223,0.050585221499204636,7797,-6.776411056518555,0.008743666112422943
476,0.0003,39.265828279999994,298.13,1.2651970386505127,145656,18,145757,0.0750066339969635,7883,-6.2507710456848145,0.008400659076869488
480,0.0003,39.27661217,296.93,-1.518514633178711,147014,18,147115,0.7384482026100159,7958,-6.919390678405762,0.0077085429802536964
484,0.0003,39.56172201,299.79,-1.995476484298706,148227,18,148328,0.029976829886436462,8025,-6.818531036376953,0.00866755098104477
488,0.0003,39.311036019999996,300.1,1.814311146736145,149595,18,149696,0.5134894847869873,8101,-6.7816338539123535,0.00808403268456459
492,0.0003,39.00655675,297.01,0.06522431969642639,150673,18,150774,0.28918877243995667,8160,-6.877805233001709,0.0075745973736047745
496,0.0003,39.06523876,296.96,-0.13396158814430237,151778,18,151879,0.15619760751724243,8222,-6.9183454513549805,0.008011826314032078
500,0.0003,39.472951740000006,298.06,1.25087571144104,153014,18,153115,0.029422782361507416,8290,-6.6720757484436035,0.008041592314839363
504,0.0003,38.9182706,294.16,0.9750087261199951,153954,18,154055,0.25055381655693054,8343,-6.617462158203125,0.0077344193123281
508,0.0003,38.16841872,292.31,1.6567730903625488,154836,18,154937,0.1591467410326004,8392,-6.467979431152344,0.0073462300933897495
512,0.0003,38.00237627999999,292.12,-1.0512526035308838,156117,18,156218,0.07270634919404984,8463,-7.186328411102295,0.007253279909491539
516,0.0003,38.701962630000004,296.83,-0.8285979628562927,157602,18,157703,0.05333463102579117,8546,-6.865903854370117,0.007721683941781521
520,0.0003,38.35894217,296.75,0.7853190302848816,158927,18,159028,0.3173556923866272,8618,-6.807554244995117,0.007516217418015003
524,0.0003,38.308136590000004,296.96,-0.2783381938934326,159995,18,160096,0.21144384145736694,8677,-7.090709686279297,0.00770729361101985
528,0.0003,38.60447287000001,298.14,1.1933557987213135,161194,18,161295,0.08739470690488815,8738,-7.038153171539307,0.007707885466516018
532,0.0003,38.83721808,301.08,-0.527704656124115,162742,18,162843,0.32201042771339417,8825,-7.153480052947998,0.007450570818036795
536,0.0003,38.51587731,298.96,1.5188045501708984,163901,18,164002,0.477983683347702,8887,-6.539127349853516,0.007723720278590918
540,0.0003,38.29659508,296.51,0.1543656885623932,164724,18,164825,0.1790415346622467,8932,-6.962172508239746,0.00791676715016365
544,0.0003,38.612606559999996,299.6,-2.40923810005188,166063,18,166164,0.28988218307495117,9006,-6.943336486816406,0.007652363274246454
548,0.0003,39.186302260000005,301.59,1.4250773191452026,167384,18,167485,0.2838866710662842,9080,-6.711043357849121,0.007835189811885357
552,0.0003,39.359566560000005,303.9,1.0928997993469238,168581,18,168682,0.10281466692686081,9135,-7.371760368347168,0.0075179776176810265
556,0.0003,39.50560745,305.64,-2.0483179092407227,169883,18,169984,0.3585912883281708,9178,-7.120187759399414,0.0071260626427829266
560,0.0003,39.47133934,306.84,-1.4069669246673584,171379,18,171480,0.3329820930957794,9227,-7.005574703216553,0.007138384040445089
564,0.0003,39.44462111,305.76,0.4931669533252716,172716,18,172817,0.3475312888622284,9271,-6.990511417388916,0.007573582697659731
568,0.0003,40.13876804,311.96,0.9956000447273254,174172,18,174273,0.1907190978527069,9318,-6.613148212432861,0.00784685555845499
572,0.0003,40.45158724000001,314.82,0.4998396635055542,175604,18,175705,0.1972656100988388,9368,-7.087777614593506,0.007813148200511932
576,0.0003,39.61146635000001,309.89,0.7698454260826111,176645,18,176746,0.3533882200717926,9404,-6.806056022644043,0.007613052614033222
580,0.0003,39.34757512000001,307.36,-1.1294065713882446,177750,18,177851,0.04275664687156677,9441,-6.99839973449707,0.007417809218168259
584,0.0003,40.075207490000004,308.73,-0.05131818726658821,179100,18,179201,0.04278313368558884,9485,-6.760067939758301,0.007456193678081036
588,0.0003,39.757879779999996,306.73,-0.039099305868148804,180268,18,180369,0.09309301525354385,9523,-7.186835765838623,0.007264674641191959
592,0.0003,39.57845267,306.18,1.795863389968872,181291,18,181392,0.3627416491508484,9556,-6.693523406982422,0.007277732249349356
596,0.0003,39.82202788,308.09,-0.7709341049194336,182587,19,182688,0.08641374111175537,9598,-6.9114837646484375,0.00720964977517724
600,0.0003,39.778019019999995,307.96,-0.22238361835479736,183810,19,183911,0.5813815593719482,9637,-6.726588249206543,0.007184316404163837
604,0.0003,39.884166730000004,308.27,-0.9649607539176941,184781,19,184882,0.6238442659378052,9669,-6.865936279296875,0.007354091387242079
608,0.0003,40.744162689999996,313.34,-1.2414400577545166,186170,19,186271,0.1330067217350006,9713,-7.2549543380737305,0.006837647873908281
612,0.0003,40.519865759999995,312.04,-0.7703161239624023,187321,19,187422,0.11101754009723663,9751,-7.046939849853516,0.007354157976806164
616,0.0003,40.67588963,311.19,-0.22931121289730072,188721,19,188822,0.09836681932210922,9796,-7.391107559204102,0.00698082847520709
620,0.0003,40.42639482,308.6,1.6148076057434082,189787,19,189888,0.515771746635437,9831,-6.961872100830078,0.0070520443841814995
624,0.0003,40.22131912,307.92,2.085061550140381,190787,19,190888,0.24285870790481567,9864,-7.005385398864746,0.007252512499690056
628,0.0003,40.35835063,309.92,1.1564667224884033,192186,19,192287,0.2714881896972656,9909,-6.901572227478027,0.007286534644663334
632,0.0003,40.390533260000005,309.17,1.1379992961883545,193659,19,193760,0.10177633911371231,9957,-7.360568523406982,0.00670649902895093
636,0.0003,40.41900404,311.26,-1.6108629703521729,195027,19,195128,0.3123762607574463,10000,-7.4751410484313965,0.007055161986500025
640,0.0003,40.95354649,314.53,0.5652117729187012,196177,19,196278,0.0979083701968193,10037,-7.252721309661865,0.007362241856753826
644,0.0003,41.486643629999996,314.82,-0.6030817627906799,197545,19,197646,0.4381435215473175,10082,-7.757599830627441,0.008007243275642395
648,0.0003,41.332303630000006,313.84,-1.5563294887542725,198768,19,198869,0.07100578397512436,10122,-7.463861465454102,0.00747868325561285
652,0.0003,41.06168435000001,312.44,-0.652534008026123,199825,19,199926,0.07294794917106628,10156,-7.998331069946289,0.007774694357067347
656,0.0003,41.15951062,311.88,-0.2675606310367584,201071,19,201172,0.06915874034166336,10196,-7.474246978759766,0.007506264373660088
660,0.0003,41.26983318,310.58,-0.1957155466079712,202437,19,202538,0.1852768063545227,10240,-7.654538154602051,0.006805147044360638
664,0.0003,41.2644069,312.3,0.3187626302242279,203946,19,204047,0.694890022277832,10289,-7.336274147033691,0.007207140326499939
668,0.0003,41.412611569999996,311.94,-0.8312837481498718,205366,19,205467,0.21279022097587585,10334,-7.890979766845703,0.007151732686907053
672,0.0003,41.00705212999999,309.11,0.1733694076538086,206515,19,206616,0.5903556942939758,10371,-7.77154541015625,0.007003523875027895
676,0.0003,41.356358840000006,310.98,-1.1970289945602417,207743,19,207844,0.2580431401729584,10411,-7.282245635986328,0.0073570022359490395
680,0.0003,41.43684693,312.39,0.6244078874588013,208989,20,209090,0.22619567811489105,10450,-7.302638530731201,0.007456129416823387
684,0.0003,40.536770690000004,309.3,1.1455388069152832,210030,20,210131,0.17191654443740845,10484,-7.52120304107666,0.00748674338683486
688,0.0003,40.77031038,310.61,-0.25602781772613525,211329,20,211430,0.21260586380958557,10526,-7.682342052459717,0.007568398490548134
692,0.0003,41.15478137,312.85,-0.8784786462783813,212576,20,212677,0.1005420833826065,10566,-7.454939842224121,0.007146104704588652
696,0.0003,41.12476018,312.16,0.1535271257162094,213803,20,213904,0.2531384825706482,10606,-7.556631565093994,0.007360995747148991
700,0.0003,41.71789216000001,316.62,1.241703987121582,215472,20,215573,0.09589721262454987,10660,-7.499588966369629,0.007533501833677292
704,0.0003,42.81969956,321.28,-1.0418108701705933,216909,20,217010,0.12186213582754135,10706,-7.337508678436279,0.007178313564509153
708,0.0003,42.971821469999995,322.06,1.5368949174880981,218376,20,218477,0.28216469287872314,10753,-7.441756248474121,0.007922938093543053
712,0.0003,43.70783877000001,326.57,0.25165536999702454,219978,20,220079,0.17464196681976318,10805,-7.557230472564697,0.00765661196783185
716,0.0003,43.56692136000001,326.36,0.06435033679008484,221357,20,221458,0.22916489839553833,10849,-7.663016319274902,0.00733130844309926
720,0.0003,43.562436240000004,325.92,0.14670518040657043,222379,20,222480,0.14228488504886627,10883,-7.188929557800293,0.007286044768989086
724,0.0003,44.30673657000001,330.06,0.49898719787597656,223793,20,223894,0.1512724906206131,10929,-7.390277862548828,0.0070609743706882
728,0.0003,44.48770088000001,330.05,-0.8326156139373779,225191,20,225292,0.0846705436706543,10974,-7.771048069000244,0.007088519167155027
732,0.0003,44.47468721,328.2,0.8216065168380737,226479,20,226580,0.09429845213890076,11016,-7.526210784912109,0.007131266873329878
736,0.0003,44.43639877,327.19,0.08947938680648804,227746,20,227847,0.31584692001342773,11057,-7.830909729003906,0.007913083769381046
740,0.0003,44.63319314,329.26,-0.32626721262931824,229103,20,229204,0.4058680534362793,11101,-7.825501441955566,0.007303036283701658
744,0.0003,44.552226400000016,332.32,-0.3901982605457306,230777,20,230878,0.36815720796585083,11154,-8.039410591125488,0.007145801559090614
748,0.0003,44.255182450000014,332.33,0.6647913455963135,232001,20,232102,0.28520792722702026,11194,-8.003304481506348,0.007144118659198284
752,0.0003,44.262686190000004,333.5,-0.4079996347427368,233175,20,233276,0.265449583530426,11232,-7.987947463989258,0.007620603311806917
756,0.0003,44.329089270000004,335.52,-0.740818440914154,234623,20,234724,0.44265565276145935,11281,-7.935328006744385,0.007268247194588184
760,0.0003,44.15911334999999,337.08,0.2864254415035248,236145,20,236246,0.1734752058982849,11330,-8.162679672241211,0.007017286028712988
764,0.0003,44.248169390000015,336.74,-0.8248776197433472,237620,20,237721,0.15045437216758728,11378,-8.06406021118164,0.006993655581027269
768,0.0003,43.65446789000001,332.82,-1.2492938041687012,238648,20,238749,0.24534346163272858,11414,-8.224555015563965,0.007071554660797119
772,0.0003,43.826176270000005,335.05,-1.0580435991287231,240020,20,240121,0.07510064542293549,11464,-8.074506759643555,0.007110282778739929
776,0.0003,44.86239897,340.64,0.0042711421847343445,241807,20,241908,0.5821928977966309,11524,-7.786541938781738,0.007697347551584244
780,0.0003,45.54991100999999,345.47,-1.1949670314788818,243536,21,243637,0.13138297200202942,11581,-7.913753509521484,0.006875957362353802
784,0.0003,46.25760146,347.51,0.4161301851272583,244781,21,244882,0.15591153502464294,11625,-7.875400543212891,0.007285888306796551
788,0.0003,46.317115920000006,346.85,1.7482916116714478,246014,21,246115,0.1668582558631897,11666,-7.948258399963379,0.007434696424752474
792,0.0003,46.934510720000006,349.88,0.6887244582176208,247564,21,247665,0.13544178009033203,11718,-8.249040603637695,0.007661249954253435
796,0.0003,46.56370413999999,348.24,-0.06202550232410431,248627,21,248728,0.17554700374603271,11754,-8.202095031738281,0.007632629945874214
800,0.0003,46.19560878,343.78,-0.03662524372339249,249850,21,249951,0.2440183013677597,11794,-8.160503387451172,0.0074296677485108376
804,0.0003,45.721983299999984,345.33,-1.7305456399917603,251442,21,251543,0.063407763838768,11847,-8.172101974487305,0.007956117391586304
808,0.0003,45.46034136,342.61,0.1809990406036377,252637,21,252738,0.08489657938480377,11886,-8.257518768310547,0.0073332348838448524
812,0.0003,44.90162088,338.76,0.12774458527565002,253854,21,253955,0.6201232671737671,11926,-8.048599243164062,0.007485369220376015
816,0.0003,44.310246989999996,335.1,-2.3346681594848633,254867,21,254968,0.338473379611969,11960,-8.224519729614258,0.007756290957331657
820,0.0003,44.77474344,337.74,1.3396532535552979,256153,21,256254,0.44337165355682373,12005,-7.694939613342285,0.007961529307067394
824,0.0003,44.63125853,336.07,0.40531811118125916,257400,21,257501,0.3760221004486084,12050,-7.9372406005859375,0.007667583413422108
828,0.0003,44.27306597999999,334.72,-0.9722573757171631,258663,21,258764,0.2956688404083252,12093,-8.224506378173828,0.007382434327155352
832,0.0003,43.7882305,332.85,1.757218599319458,259764,21,259865,0.28500038385391235,12131,-8.00157356262207,0.007050699554383755
836,0.0003,44.19786927000001,334.3,-0.08782605826854706,261176,21,261277,0.11538144946098328,12181,-7.733717441558838,0.007385906297713518
