train/actor_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/ent_coef,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates
-10.216657638549805,0.0003,285.5,54,-1.5706838369369507,11.023046999999998,20,0.7319271564483643,1142,0.46478357911109924,4,1041
-16.257429122924805,0.0003,311.25,135,-3.5725739002227783,12.191033875,18,0.4888564646244049,2490,0.15531352162361145,8,2389
-17.96558952331543,0.0003,260.9166666666667,172,-4.5206193923950195,10.110607416666667,18,0.4035814106464386,3131,0.6707226037979126,12,3030
-19.97347068786621,0.0003,259.3125,235,-5.995987415313721,10.9189791875,17,0.2979221045970917,4149,0.4792720675468445,16,4048
-20.81100082397461,0.0003,296.35,342,-8.045797348022461,13.86113155,17,0.1770390421152115,5927,0.46244263648986816,20,5826
-21.01691436767578,0.0003,319.25,439,-7.0851030349731445,15.618976124999998,17,0.10809822380542755,7662,0.8291574716567993,24,7561
-20.017257690429688,0.0003,319.0,511,-11.072089195251465,15.822417785714284,17,0.07397031784057617,8932,0.3271537721157074,28,8831
-19.140228271484375,0.0003,329.40625,600,-8.88434886932373,17.71571015625,17,0.04799824580550194,10541,0.5316390991210938,32,10440
-18.1722412109375,0.0003,335.05555555555554,674,-8.360222816467285,19.66991816666667,17,0.03252876177430153,12062,0.22314371168613434,36,11961
-17.253284454345703,0.0003,347.4,775,-6.607439994812012,21.75941545,17,0.020259130746126175,13896,0.19403216242790222,40,13795
-15.98680591583252,0.0003,351.4318181818182,864,-6.202667713165283,22.697012227272726,17,0.014968582428991795,15463,0.17217954993247986,44,15362
-15.60964584350586,0.0003,349.5208333333333,931,0.29028087854385376,24.119435708333338,18,0.012831097468733788,16777,0.20985394716262817,48,16676
-15.179655075073242,0.0003,346.11538461538464,989,-0.34114667773246765,25.58523001923077,18,0.013110016472637653,17998,0.49927201867103577,52,17897
-14.475994110107422,0.0003,336.07142857142856,1032,-5.219547271728516,24.738423785714286,18,0.011217928491532803,18820,0.24128571152687073,56,18719
-14.114083290100098,0.0003,328.6666666666667,1085,1.3419994115829468,24.983986866666665,18,0.010357419960200787,19720,0.10165663808584213,60,19619
-13.64565658569336,0.0003,328.890625,1152,-0.26739704608917236,25.758840531249998,18,0.012624443508684635,21049,0.4128052592277527,64,20948
-13.124373435974121,0.0003,322.63235294117646,1192,-1.2633785009384155,25.649773338235292,18,0.012664955109357834,21939,0.15452852845191956,68,21838
-12.566275596618652,0.0003,316.97222222222223,1232,-0.4334781765937805,25.400479291666663,18,0.01233944483101368,22822,0.5109190344810486,72,22721
-12.228670120239258,0.0003,315.9868421052632,1285,-0.4199795722961426,25.670232315789473,18,0.012692626565694809,24015,0.20819850265979767,76,23914
-11.751602172851562,0.0003,310.8875,1325,-0.06420955061912537,25.546211475,18,0.012514050118625164,24871,0.44224244356155396,80,24770
-11.434286117553711,0.0003,307.54761904761904,1377,-0.4162657856941223,25.769470630952377,18,0.012746035121381283,25834,0.17257876694202423,84,25733
-11.01257610321045,0.0003,306.3181818181818,1431,-0.5316135883331299,26.355655704545452,18,0.012884658761322498,26956,0.18822667002677917,88,26855
-10.510621070861816,0.0003,303.7173913043478,1482,-1.515122413635254,26.673168586956514,18,0.012065252289175987,27942,0.3028225302696228,92,27841
-10.41324520111084,0.0003,301.1666666666667,1536,1.6849822998046875,26.81760058333333,18,0.013159106485545635,28912,0.2967100143432617,96,28811
-10.028615951538086,0.0003,298.26,1584,-0.6430473327636719,26.854986549999992,18,0.012546918354928493,29826,0.28942155838012695,100,29725
-10.28233814239502,0.0003,296.17,1633,0.8780822157859802,27.613947069999995,18,0.011352039873600006,30759,0.4455905556678772,104,30658
-9.47348690032959,0.0003,292.16,1684,0.7851300835609436,28.131687080000003,18,0.012054682709276676,31706,0.4381147027015686,108,31605
-9.659934997558594,0.0003,296.44,1742,0.16848963499069214,29.43093341,18,0.014082537032663822,32775,0.35833442211151123,112,32674
-9.487957000732422,0.0003,295.48,1791,0.14645662903785706,30.072487929999998,18,0.014829274266958237,33697,0.21454325318336487,116,33596
-9.294073104858398,0.0003,286.41,1838,0.2782425284385681,30.123219279999994,18,0.014088454656302929,34568,0.3076925575733185,120,34467
-9.08889102935791,0.0003,279.44,1893,-0.1045028567314148,30.44954318,18,0.015149042941629887,35606,0.5039398670196533,124,35505
-8.884045600891113,0.0003,279.78,1962,0.6155300140380859,31.465477480000004,18,0.01383134350180626,36910,0.11925439536571503,128,36809
-8.914342880249023,0.0003,273.71,2013,-1.750497817993164,31.646215859999998,18,0.013116744346916676,37912,0.305656373500824,132,37811
-8.383566856384277,0.0003,269.97,2075,-0.08814927190542221,31.57039906,18,0.012514498084783554,39059,0.3222883939743042,136,38958
-8.336268424987793,0.0003,264.42,2146,1.3493704795837402,31.648707339999998,18,0.011546093039214611,40338,0.2380114197731018,140,40237
-8.058306694030762,0.0003,262.59,2221,-0.07980667054653168,32.184100210000004,18,0.012332616373896599,41722,0.14951173961162567,144,41621
-8.150457382202148,0.0003,262.19,2281,-0.4752665162086487,32.269293229999995,18,0.011418267153203487,42996,0.5559706687927246,148,42895
-8.11963176727295,0.0003,259.53,2326,-0.4456219971179962,31.547210870000004,18,0.012043554335832596,43951,0.07763916999101639,152,43850
-8.411663055419922,0.0003,260.29,2372,0.21883082389831543,32.06526823000001,18,0.011898254044353962,44849,0.5449927449226379,156,44748
-8.007720947265625,0.0003,262.69,2434,0.8047303557395935,32.33130264,18,0.012408272363245487,45989,0.8166440725326538,160,45888
