time/total_timesteps,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate,time/time_elapsed
636,535,0.8519131541252136,-0.8071152567863464,159.0,24,5.89165925,-7.221531867980957,4,0.1009092777967453,0.0003,26
1743,1642,0.6113902926445007,-2.4719250202178955,217.875,21,9.0317425,-13.175501823425293,8,0.18630903959274292,0.0003,80
3106,3005,0.4068141579627991,-4.482762336730957,258.8333333333333,19,11.30082316666667,-17.86820411682129,12,0.39117980003356934,0.0003,161
4444,4343,0.2735309302806854,-6.347828388214111,277.75,18,13.1602281875,-20.001035690307617,16,0.16858677566051483,0.0003,241
5966,5865,0.17487859725952148,-7.757638454437256,298.3,17,13.72562825,-20.65399169921875,20,0.4356991648674011,0.0003,334
7243,7142,0.12036263197660446,-9.454466819763184,301.7916666666667,17,14.481130708333334,-20.80950355529785,24,0.1612214744091034,0.0003,410
8739,8638,0.07801207900047302,-11.064699172973633,312.10714285714283,17,15.873036392857143,-20.06329917907715,28,0.12140516936779022,0.0003,494
10194,10093,0.0515713170170784,-11.112350463867188,318.5625,17,17.46008134375,-19.335956573486328,32,0.16859106719493866,0.0003,573
11904,11803,0.03281063213944435,-8.959712028503418,330.6666666666667,17,19.245066861111113,-18.366230010986328,36,0.29564177989959717,0.0003,665
13678,13577,0.020952513441443443,-7.00093936920166,341.95,18,20.589262350000002,-16.660419464111328,40,0.6618140339851379,0.0003,754
14916,14815,0.01517113484442234,-8.864283561706543,339.0,18,20.742634500000005,-16.20484161376953,44,0.10199831426143646,0.0003,826
16358,16257,0.010458019562065601,-6.237884521484375,340.7916666666667,17,21.531083229166665,-15.333584785461426,48,0.23504360020160675,0.0003,909
17738,17637,0.007827911525964737,-2.7842516899108887,341.11538461538464,18,21.95434169230769,-14.70518970489502,52,0.2351657748222351,0.0003,982
