train/ent_coef_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef,time/episodes,train/actor_loss,train/n_updates
-1.7833143472671509,46,0.05584277957677841,321.25,0.0003,14.665606250000002,27,1285,0.7013154625892639,4,-11.188384056091309,1184
-3.1652207374572754,81,0.23218345642089844,276.125,0.0003,11.56275825,27,2209,0.5317510962486267,8,-15.324294090270996,2108
-4.590604782104492,117,0.6880777478218079,262.8333333333333,0.0003,10.9195335,26,3154,0.40090230107307434,12,-18.03411293029785,3053
-7.038789749145508,197,0.2064375877380371,319.5,0.0003,13.850812062500001,25,5112,0.22487697005271912,16,-20.84581184387207,5011
-8.757034301757812,276,1.1620686054229736,329.9,0.0003,15.568193650000003,23,6598,0.14555707573890686,20,-21.22293472290039,6497
-9.974550247192383,368,0.2266908884048462,340.1666666666667,0.0003,16.915617375,22,8164,0.09244724363088608,24,-20.789432525634766,8063
-10.250992774963379,474,0.1560819447040558,354.07142857142856,0.0003,18.113628285714285,20,9914,0.05651922523975372,28,-19.711532592773438,9813
-11.116698265075684,601,0.28184372186660767,377.90625,0.0003,20.254478031250002,20,12093,0.031002797186374664,32,-18.150577545166016,11992
-9.93973445892334,726,0.17031952738761902,398.4166666666667,0.0003,22.03820752777778,19,14343,0.0169468242675066,36,-16.916580200195312,14242
-4.5509538650512695,853,0.08268413692712784,418.6,0.0003,23.1772883,19,16744,0.009951327927410603,40,-15.685648918151855,16643
1.8896604776382446,992,0.4146859645843506,438.72727272727275,0.0003,25.27118629545454,19,19304,0.009204619564116001,44,-14.214832305908203,19203
-3.1899633407592773,1099,0.2756061553955078,441.1875,0.0003,25.2461065625,19,21177,0.007360399235039949,48,-13.093463897705078,21076
2.496321678161621,1198,0.4992903769016266,445.1730769230769,0.0003,24.991079134615383,19,23149,0.0049892631359398365,52,-11.845918655395508,23048
0.11664807796478271,1297,0.6945638060569763,443.85714285714283,0.0003,24.594384535714287,19,24856,0.005217425990849733,56,-11.165282249450684,24755
-0.06715834140777588,1346,0.22429698705673218,429.48333333333335,0.0003,24.149672483333337,19,25769,0.006042405962944031,60,-10.937982559204102,25668
-1.414655089378357,1404,0.25973206758499146,422.546875,0.0003,24.752675734374996,19,27043,0.006225193850696087,64,-10.49678897857666,26942
1.9591268301010132,1455,0.3077941834926605,414.2352941176471,0.0003,24.94753601470588,19,28168,0.006272008642554283,68,-9.659896850585938,28067
0.5364511013031006,1525,0.770488977432251,412.15277777777777,0.0003,26.45251820833333,19,29675,0.0061131916008889675,72,-9.868135452270508,29574
-2.0158438682556152,1595,0.3242166042327881,407.67105263157896,0.0003,26.831823131578947,19,30983,0.006342017557471991,76,-9.157169342041016,30882
4.054144859313965,1676,0.17406708002090454,407.075,0.0003,27.912867,19,32566,0.007187318056821823,80,-9.25762939453125,32465
-1.2730050086975098,1754,0.32678037881851196,404.07142857142856,0.0003,28.180690833333333,19,33942,0.007575691677629948,84,-8.969076156616211,33841
-1.0893627405166626,1809,0.34525442123413086,397.39772727272725,0.0003,28.13596503409091,19,34971,0.007879618555307388,88,-9.024333953857422,34870
1.333254098892212,1856,0.2866142988204956,389.5217391304348,0.0003,27.838221271739133,19,35836,0.007780487183481455,92,-9.010418891906738,35735
0.4616025686264038,1915,0.14508944749832153,384.3854166666667,0.0003,27.851839885416666,19,36901,0.008233235217630863,96,-8.706454277038574,36800
-0.8768303990364075,1971,0.14982715249061584,378.96,0.0003,27.69558592,19,37896,0.008996631018817425,100,-8.603218078613281,37795
0.43511444330215454,2035,0.30334794521331787,377.84,0.0003,28.179767890000004,19,39069,0.008868655189871788,104,-8.400779724121094,38968
0.12505626678466797,2110,0.08159077912569046,382.47,0.0003,28.977055540000002,19,40456,0.009624584577977657,108,-8.035786628723145,40355
0.3072754442691803,2173,0.10968033969402313,384.43,0.0003,29.63052627,19,41597,0.009197174571454525,112,-8.168830871582031,41496
-0.8602011799812317,2236,0.11482398211956024,377.41,0.0003,29.787266219999996,19,42853,0.008782083168625832,116,-8.315065383911133,42752
-0.016606897115707397,2300,0.15311890840530396,373.7,0.0003,29.92310402,19,43968,0.00810937862843275,120,-8.296911239624023,43867
0.8613281846046448,2356,0.1948714256286621,368.31,0.0003,30.040684389999996,19,44995,0.007995613850653172,124,-8.057249069213867,44894
-0.7315999269485474,2439,0.06004784256219864,365.72,0.0003,30.437215949999995,19,46486,0.007672041654586792,128,-7.789665699005127,46385
-0.13278202712535858,2502,0.09727222472429276,357.04,0.0003,30.503447169999994,19,47797,0.007804334629327059,132,-7.810362339019775,47696
-0.19039364159107208,2592,0.3176066279411316,352.04,0.0003,31.025462669999996,19,49547,0.008317041210830212,136,-7.570564270019531,49446
0.04704570770263672,2670,0.4473360776901245,342.07,0.0003,31.015718120000003,19,50951,0.007116327062249184,140,-7.646932601928711,50850
0.22140386700630188,2733,0.3688735365867615,329.19,0.0003,30.738679970000003,19,52223,0.006762274075299501,144,-7.746843338012695,52122
0.06327684223651886,2800,0.18372148275375366,322.37,0.0003,31.078253240000002,19,53414,0.006422717124223709,148,-7.7970123291015625,53313
-0.1787724792957306,2890,0.12648779153823853,319.43,0.0003,32.06164509,19,55092,0.006798806134611368,152,-7.4832940101623535,54991
-0.646987795829773,2979,0.1678779423236847,318.37,0.0003,33.16158354,19,56693,0.006820343434810638,156,-7.769614219665527,56592
0.007791772484779358,3068,0.12204402685165405,324.81,0.0003,34.03445259,18,58250,0.006797703914344311,160,-7.47279691696167,58149
