train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/fps,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/ent_coef,time/episodes
-10.279948234558105,284.0,0.16813921928405762,32,0.0003,-1.564294457435608,18.388194499999997,35,1136,1035,0.7332553267478943,4
-16.89208984375,332.0,0.20551785826683044,30,0.0003,-3.805633068084717,21.14151125,86,2656,2555,0.46524110436439514,8
-19.898025512695312,330.8333333333333,0.2961459755897522,30,0.0003,-5.698678493499756,20.713835083333336,131,3970,3869,0.3145574629306793,12
-21.189117431640625,330.125,0.19061601161956787,29,0.0003,-7.543397426605225,20.4485824375,181,5282,5181,0.21333706378936768,16
-21.552135467529297,332.3,0.2932334542274475,28,0.0003,-8.786227226257324,22.09242595,233,6646,6545,0.14347557723522186,20
-21.07698631286621,353.4166666666667,0.43669813871383667,27,0.0003,-9.143847465515137,26.08757816666667,305,8482,8381,0.0856037512421608,24
-20.34324836730957,355.60714285714283,0.4518411159515381,26,0.0003,-10.460906982421875,26.767828714285717,368,9957,9856,0.05682920664548874,28
-19.775936126708984,355.53125,0.14455097913742065,26,0.0003,-8.417861938476562,27.791322625000003,436,11377,11276,0.03898417204618454,32
-18.970287322998047,352.4166666666667,1.0438947677612305,25,0.0003,-8.589510917663574,27.935587583333337,504,12687,12586,0.027702247723937035,36
-17.784400939941406,356.3,0.3211710751056671,24,0.0003,-6.601672172546387,29.5972266,586,14252,14151,0.01959977112710476,40
-17.971145629882812,346.8181818181818,0.2242889702320099,23,0.0003,-1.7592365741729736,29.99995120454545,638,15260,15159,0.01631128415465355,44
-16.858936309814453,342.2291666666667,0.15804904699325562,23,0.0003,-1.290656328201294,31.193341291666666,698,16427,16326,0.015335964038968086,48
-16.488590240478516,336.13461538461536,0.6721621751785278,23,0.0003,1.8860955238342285,32.11544526923076,751,17479,17378,0.014141355641186237,52
-15.47659969329834,335.2857142857143,0.36624449491500854,22,0.0003,-0.3445369005203247,32.366687392857145,818,18776,18675,0.013910594396293163,56
-15.427227020263672,327.28333333333336,0.21087558567523956,22,0.0003,-0.3885827958583832,31.760546466666668,863,19637,19536,0.013655180111527443,60
