train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss,rollout/ep_len_mean
-10.209436416625977,8.7385555,-1.6003515720367432,1162,29,1061,38,4,0.0003,0.7275182604789734,0.0502132847905159,290.5
-15.099190711975098,9.04163875,-3.2103288173675537,2243,28,2142,77,8,0.0003,0.5265673995018005,0.08779547363519669,280.375
-18.73166847229004,10.670437166666666,-5.272377014160156,3647,27,3546,131,12,0.0003,0.3462511897087097,0.2508566975593567,303.9166666666667
-20.67875099182129,14.987443875,-8.00826644897461,5724,27,5623,207,16,0.0003,0.18742848932743073,0.14753085374832153,357.75
-20.545818328857422,15.247789400000002,-9.657615661621094,7545,27,7444,273,20,0.0003,0.11029212921857834,0.39672064781188965,377.25
-19.385461807250977,18.876552375,-10.677967071533203,9838,27,9737,355,24,0.0003,0.05724918842315674,0.23870795965194702,409.9166666666667
-18.731807708740234,21.48966157142857,-10.800294876098633,11432,27,11331,412,28,0.0003,0.03799034655094147,0.08653797209262848,408.2857142857143
-17.656871795654297,23.49934909375,-9.82727336883545,13240,27,13139,477,32,0.0003,0.0235112477093935,0.23010605573654175,413.75
-16.65677261352539,24.846358027777775,-9.408660888671875,15084,27,14983,543,36,0.0003,0.014383542351424694,0.09210579097270966,419.0
-16.01217269897461,25.749513575,-4.045496940612793,16360,27,16259,588,40,0.0003,0.010570170357823372,0.2118508517742157,409.0
-15.161751747131348,27.59821527272728,-0.9791606664657593,18100,27,17999,662,44,0.0003,0.008086002431809902,0.22448506951332092,411.3636363636364
-14.99024486541748,28.1880639375,-1.0315839052200317,19401,27,19300,718,48,0.0003,0.007275733631104231,0.07251426577568054,404.1875
-14.389087677001953,28.822026673076923,-1.6293675899505615,20746,26,20645,777,52,0.0003,0.008338981308043003,0.2240658402442932,398.96153846153845
-13.795540809631348,30.87421792857143,1.6860138177871704,22445,26,22344,853,56,0.0003,0.007847723551094532,0.17993763089179993,400.80357142857144
-13.925759315490723,33.4859031,-0.14855346083641052,24277,26,24176,933,60,0.0003,0.008575476706027985,0.1593261957168579,404.6166666666667
-13.31497573852539,34.031382546875,1.4215202331542969,25772,25,25671,997,64,0.0003,0.008760827593505383,0.6491581201553345,402.6875
-13.42520523071289,35.75215817647059,-1.2567728757858276,27288,25,27187,1063,68,0.0003,0.008704309351742268,0.5559301972389221,401.29411764705884
-13.077341079711914,35.84561615277778,2.269266366958618,28425,25,28324,1111,72,0.0003,0.009479274041950703,0.6032396554946899,394.7916666666667
-12.88970947265625,35.376725605263154,1.3103218078613281,29360,25,29259,1152,76,0.0003,0.010455615818500519,0.3423827588558197,386.3157894736842
-12.779184341430664,36.963999725,-0.06228667497634888,31031,25,30930,1224,80,0.0003,0.010778052732348442,0.23812821507453918,387.8875
-12.58286190032959,37.74714835714286,0.9777995347976685,32356,25,32255,1281,84,0.0003,0.012545722536742687,0.13519158959388733,385.1904761904762
-12.363887786865234,37.93935972727273,0.5356497764587402,33482,25,33381,1328,88,0.0003,0.012896718457341194,1.0169601440429688,380.47727272727275
-12.248923301696777,38.33019270652174,1.6794288158416748,34779,25,34678,1384,92,0.0003,0.012400440871715546,0.3964834213256836,378.0326086956522
-12.299551963806152,39.200452760416674,-0.06308189034461975,36315,25,36214,1449,96,0.0003,0.011083884164690971,0.9118252992630005,378.28125
-11.858190536499023,39.32534892,0.3500107526779175,37537,24,37436,1502,100,0.0003,0.012102383188903332,1.7604044675827026,375.37
-11.084383010864258,41.14745656,-0.5777966380119324,38903,24,38802,1561,104,0.0003,0.012078198604285717,0.2875249981880188,377.41
-11.61540412902832,42.42609102,0.28010839223861694,40045,24,39944,1610,108,0.0003,0.012412408366799355,0.5288634896278381,378.02
-11.701217651367188,43.36061857,-1.3407739400863647,41097,24,40996,1655,112,0.0003,0.011741128750145435,0.764787495136261,374.5
-11.215126037597656,44.49202409,0.45813897252082825,42603,24,42502,1720,116,0.0003,0.011447050608694553,0.9004380106925964,368.79
-10.943387031555176,46.00932662,1.5981054306030273,43944,24,43843,1778,120,0.0003,0.011289513669908047,0.08418955653905869,363.99
