#{"t_start": 1763686346.2180846, "env_id": "None"}
r,l,t
4.168632,183,5.77203
11.542536,279,15.328833
4.182568,226,23.003928
15.060486,474,39.886642
13.78368,386,53.734828
6.349083,189,60.563525
12.205666,291,70.942436
5.040459,215,78.779957
16.038929,316,90.630954
9.315077,380,104.822703
15.401173,360,118.768142
14.956957,348,132.029769
28.990024,487,149.672204
13.562971,410,165.074855
14.949688,324,177.197744
54.251173,856,208.525851
18.90791,305,219.583547
14.661222,652,243.420901
16.531916,416,258.279607
15.055638,448,274.39708
10.748976,265,283.871603
12.320215,302,294.645444
45.466074,897,326.723295
79.546204,829,356.476225
26.1152,323,368.444193
18.743212,349,380.729595
60.031136,453,396.780929
43.783719,469,413.743975
55.812632,445,429.880841
42.892388,558,449.905915
34.545062,537,469.057656
17.018565,268,478.529682
50.220648,449,494.453179
24.430309,428,509.792449
28.085557,512,528.309483
39.753204,455,544.531142
28.806615,288,554.794137
25.071553,354,567.338936
25.945951,233,575.535958
55.687535,401,589.845451
36.069526,355,603.589503
67.007395,565,627.866354
41.425999,459,647.775172
39.838009,361,663.419259
31.46511,334,677.653165
50.816511,412,695.571562
27.926162,266,706.933004
28.497814,289,719.467718
21.739726,270,731.372026
55.225763,299,744.528618
30.263752,317,758.574745
38.489077,459,778.605114
66.071484,531,802.658587
31.819727,314,816.804847
93.298673,505,839.126454
39.020933,349,854.289531
94.700251,452,874.045303
54.243817,381,890.772673
72.215675,466,910.871724
59.038239,533,933.923226
58.372444,570,958.498828
44.180614,310,971.862114
35.682269,253,982.931818
30.61897,362,998.881984
88.438862,547,1022.449478
38.245509,257,1033.414544
42.496685,266,1044.848044
83.957217,446,1064.234631
24.989439,204,1072.904016
43.73932,270,1084.670341
38.963934,333,1098.933461
42.044914,330,1112.872889
24.293386,221,1122.405911
32.927494,259,1133.687208
23.00206,222,1143.261369
27.523843,233,1153.212309
81.724436,676,1181.988564
61.291123,301,1195.07973
103.089211,494,1216.455095
22.384062,200,1224.98088
57.421605,330,1239.142252
10.553598,103,1243.64419
55.905818,418,1261.57712
89.759463,474,1282.082023
47.288209,279,1293.953767
50.077916,382,1310.093062
62.064209,325,1323.765201
8.47286,140,1329.892038
32.190639,258,1341.021658
37.303328,306,1354.215779
50.597307,316,1367.67734
67.622799,417,1385.410408
102.258857,608,1411.393239
49.532346,330,1425.352987
55.187518,371,1441.172086
29.887015,227,1450.878182
29.987722,258,1461.974301
83.117824,494,1483.154009
