train/ent_coef,time/total_timesteps,train/n_updates,time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss
0.6347867250442505,1617,1516,4,25,-13.122089385986328,404.25,0.0003,0.05202971398830414,62,31.764165750000004,-2.289891481399536
0.4377996623516083,2858,2757,8,25,-18.00458526611328,357.25,0.0003,0.35312509536743164,113,29.585325124999997,-4.147139549255371
0.28980255126953125,4249,4148,12,24,-21.195789337158203,354.0833333333333,0.0003,0.27710506319999695,172,30.970290583333338,-5.9262309074401855
0.19613341987133026,5571,5470,16,23,-22.813827514648438,348.1875,0.0003,0.8606016635894775,233,29.5284491875,-7.738779544830322
0.1343035101890564,6880,6779,20,22,-22.737958908081055,344.0,0.0003,0.9288783669471741,301,28.69794595,-9.013484001159668
0.09537683427333832,8105,8004,24,21,-22.508079528808594,337.7083333333333,0.0003,0.32445281744003296,369,29.159109166666667,-7.840009689331055
0.06477148085832596,9549,9448,28,21,-21.47479248046875,341.0357142857143,0.0003,0.4213883876800537,449,29.834760749999997,-9.054734230041504
0.04806247726082802,10639,10538,32,20,-21.205175399780273,332.46875,0.0003,0.8068987131118774,510,29.3522344375,-10.07828140258789
0.0341552272439003,11856,11755,36,20,-20.075611114501953,329.3333333333333,0.0003,0.6542170643806458,578,30.125484305555556,-8.943403244018555
0.026305176317691803,12948,12847,40,20,-19.46845054626465,323.7,0.0003,0.2967059016227722,638,29.766417175000004,-8.0593843460083
0.01798272877931595,14338,14237,44,20,-18.84691047668457,325.8636363636364,0.0003,2.5882568359375,716,30.885851840909094,-7.981103897094727
0.013752859085798264,15511,15410,48,19,-17.966564178466797,323.1458333333333,0.0003,0.15889742970466614,781,31.296924708333336,-5.636508941650391
0.013151867315173149,16772,16671,52,19,-17.05939292907715,322.53846153846155,0.0003,0.3170406222343445,851,31.353355788461542,6.509903907775879
0.01627790555357933,17982,17881,56,19,-16.53173828125,321.10714285714283,0.0003,0.6712952852249146,919,31.974228982142854,-0.10977297276258469
0.014597619883716106,19018,18917,60,19,-16.017553329467773,316.96666666666664,0.0003,1.1148285865783691,976,32.262899016666665,-0.5497270822525024
0.013149408623576164,20096,19995,64,19,-15.065546989440918,314.0,0.0003,0.813595175743103,1036,32.761092421875,1.7179197072982788
0.010813139379024506,21355,21254,68,19,-14.674245834350586,314.04411764705884,0.0003,0.5127236247062683,1106,33.26062094117646,0.029083579778671265
0.010204012505710125,22590,22489,72,19,-14.510855674743652,313.75,0.0003,0.6096246242523193,1174,33.82103966666667,1.846028208732605
0.011224804446101189,23710,23609,76,19,-14.117981910705566,311.9736842105263,0.0003,0.262333482503891,1235,34.51342822368421,-0.8729536533355713
0.01099894568324089,24644,24543,80,19,-13.600679397583008,308.05,0.0003,0.9297638535499573,1286,34.6730272875,0.39442065358161926
0.010340699926018715,25525,25424,84,19,-13.813933372497559,303.8690476190476,0.0003,0.22685936093330383,1335,34.63758694047619,-0.5865124464035034
