train/learning_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/ent_coef,train/ent_coef_loss,time/fps,train/critic_loss,train/n_updates,rollout/ep_len_mean
0.0003,4,94,18.079222,1338,-11.642351150512695,0.6901229023933411,-1.879629373550415,14,0.2305220067501068,1237,334.5
0.0003,8,191,18.21508875,2542,-16.6171817779541,0.4812347888946533,-3.6816954612731934,13,0.7859017848968506,2441,317.75
0.0003,12,277,22.054908166666667,3646,-19.631513595581055,0.34617286920547485,-5.237666130065918,13,0.32292503118515015,3545,303.8333333333333
0.0003,16,361,22.3007074375,4686,-21.03974151611328,0.2542007267475128,-6.643217086791992,12,0.16562658548355103,4585,292.875
0.0003,20,447,22.402914250000002,5764,-22.159873962402344,0.18556925654411316,-7.924182415008545,12,0.2454025149345398,5663,288.2
0.0003,24,573,26.259862416666664,7358,-21.478273391723633,0.11771069467067719,-9.018369674682617,12,1.762673258781433,7257,306.5833333333333
0.0003,28,664,27.00536767857142,8588,-21.79175567626953,0.0830746740102768,-9.691239356994629,12,0.8272141218185425,8487,306.7142857142857
0.0003,32,737,27.99425415625,9656,-21.089750289916992,0.06215493753552437,-9.992766380310059,13,1.640535593032837,9555,301.75
0.0003,36,815,27.804886333333336,10638,-20.61107635498047,0.04758192226290703,-9.797207832336426,13,0.4560795724391937,10537,295.5
0.0003,40,928,29.661925525000004,12069,-19.01191520690918,0.03258810564875603,-9.518119812011719,12,0.2633793354034424,11968,301.725
0.0003,44,1042,31.652960045454552,13558,-18.76247787475586,0.02170666679739952,-9.77694034576416,13,0.4986189007759094,13457,308.1363636363636
0.0003,48,1105,31.017286020833335,14367,-18.053611755371094,0.01772400178015232,-6.605964660644531,12,0.34069597721099854,14266,299.3125
0.0003,52,1209,31.18896176923077,15767,-16.77383804321289,0.015495090745389462,-0.22010967135429382,13,0.5001921653747559,15666,303.21153846153845
0.0003,56,1324,32.01078578571428,17280,-16.68737030029297,0.010576538741588593,-4.798195838928223,13,0.8002479672431946,17179,308.57142857142856
0.0003,60,1390,32.11362473333333,18187,-15.821083068847656,0.00988414604216814,2.2249696254730225,13,0.28820258378982544,18086,303.1166666666667
0.0003,64,1458,33.046154296875,19152,-15.85323429107666,0.011017553508281708,0.7615594863891602,13,0.5918464660644531,19051,299.25
0.0003,68,1536,34.04608742647059,20233,-15.698525428771973,0.012143407948315144,-2.1214566230773926,13,0.5007745623588562,20132,297.54411764705884
0.0003,72,1607,34.671210333333335,21209,-14.810306549072266,0.012095321901142597,-1.420989751815796,13,0.3251029849052429,21108,294.56944444444446
0.0003,76,1669,35.05109675,22052,-14.778879165649414,0.011758110485970974,-0.003565549850463867,13,1.0457749366760254,21951,290.1578947368421
0.0003,80,1732,34.861483250000006,22881,-14.298392295837402,0.011978685855865479,1.3462378978729248,13,0.560753583908081,22780,286.0125
0.0003,84,1798,34.81529546428572,23709,-14.958699226379395,0.013703500851988792,0.9444119930267334,13,0.4911368489265442,23608,282.25
0.0003,88,1844,34.154228375,24301,-14.303263664245605,0.01252354122698307,-0.9592430591583252,13,0.15739138424396515,24200,276.14772727272725
0.0003,92,1912,33.96737755434783,25204,-14.027301788330078,0.012287048622965813,0.21351879835128784,13,0.2920893430709839,25103,273.95652173913044
0.0003,96,1965,33.86213582291666,25894,-13.72317123413086,0.013072649016976357,-0.6218386888504028,13,0.8598263263702393,25793,269.7291666666667
0.0003,100,2053,34.29013929,27031,-13.680122375488281,0.013689642772078514,-0.5451077222824097,13,0.7425696849822998,26930,270.31
0.0003,104,2141,35.66964426,28202,-12.950757026672363,0.01617751270532608,-1.972186803817749,13,0.9318200349807739,28101,268.64
0.0003,108,2241,36.9712318,29485,-12.891317367553711,0.01931505650281906,-0.23961615562438965,13,1.5438308715820312,29384,269.43
0.0003,112,2327,37.82455644,30684,-12.776322364807129,0.02007104456424713,-0.26003098487854004,13,0.4713636636734009,30583,270.38
0.0003,116,2429,39.59220724,32039,-12.48752212524414,0.019979091361165047,1.0620882511138916,13,0.31754446029663086,31938,273.53
0.0003,120,2497,40.33122618,32951,-12.24333381652832,0.02005324698984623,-0.46502262353897095,13,0.5875399112701416,32850,271.87
0.0003,124,2572,39.952334570000005,33939,-11.860359191894531,0.019380943849682808,0.9653135538101196,13,0.4796435236930847,33838,265.81
0.0003,128,2652,40.49734726,34971,-12.216878890991211,0.01817905157804489,-0.0440889373421669,13,0.9545443058013916,34870,263.83
0.0003,132,2746,41.182912529999996,36225,-11.511665344238281,0.017307210713624954,0.6759528517723083,13,0.15805017948150635,36124,265.69
0.0003,136,2837,42.27474232999999,37489,-11.649033546447754,0.017087217420339584,0.6105960607528687,13,1.2258808612823486,37388,268.51
0.0003,140,2949,43.01188181999999,39007,-11.603596687316895,0.016240419819951057,-0.9641242623329163,13,0.8899893760681152,38906,269.38
0.0003,144,3032,42.84423347999999,40070,-11.470856666564941,0.016704672947525978,0.019755303859710693,13,0.24924880266189575,39969,265.12
0.0003,148,3131,44.25479797,41407,-10.964491844177246,0.01660790480673313,-0.74643474817276,13,0.21165619790554047,41306,270.4
0.0003,152,3221,44.944891150000004,42569,-10.963152885437012,0.018193325027823448,-0.5893601775169373,13,1.0414972305297852,42468,268.02
0.0003,156,3323,45.41406468,43905,-11.063875198364258,0.018029170110821724,-0.38323935866355896,13,0.3374492824077606,43804,266.25
0.0003,160,3425,46.43094896999999,45299,-10.128016471862793,0.01664579287171364,-0.7590925693511963,13,0.7294223308563232,45198,271.12
0.0003,164,3504,46.28226721,46344,-10.483318328857422,0.015986012294888496,0.4500533640384674,13,0.6170808672904968,46243,271.92
0.0003,168,3561,45.54861467999999,47132,-10.23292350769043,0.01606699451804161,0.08868905901908875,13,0.4219955503940582,47031,268.99
0.0003,172,3655,45.71828275,48346,-9.893193244934082,0.016167642548680305,0.8988213539123535,13,0.20655839145183563,48245,271.37
0.0003,176,3727,45.700655109999985,49275,-10.421049118041992,0.016266219317913055,-1.1853505373001099,13,0.5091426372528076,49174,272.23
0.0003,180,3804,46.03133205,50265,-10.082560539245605,0.01603006385266781,0.836832582950592,13,0.2442663311958313,50164,273.84
0.0003,184,3881,46.24059538,51291,-9.943355560302734,0.01564107835292816,1.3699859380722046,13,0.7512660026550293,51190,275.82
0.0003,188,3961,47.89081128000001,52484,-9.74213695526123,0.0162047129124403,1.1219078302383423,13,0.27642136812210083,52383,281.83
0.0003,192,4036,48.78965578000001,53558,-9.710423469543457,0.01770433783531189,0.4434622824192047,13,0.1025698333978653,53457,283.54
0.0003,196,4131,50.006696760000004,54829,-9.800107955932617,0.01759149879217148,-1.23112952709198,13,0.38161978125572205,54728,289.35
0.0003,200,4214,50.358853290000006,55954,-9.555746078491211,0.016870204359292984,0.3113688826560974,13,0.7387872338294983,55853,289.23
0.0003,204,4294,50.19768318999999,57002,-9.602927207946777,0.016539039090275764,0.22873042523860931,13,0.798372745513916,56901,288.0
0.0003,208,4381,50.15139560000001,58117,-9.52379035949707,0.017222227528691292,0.2227783203125,13,0.6041887998580933,58016,286.32
0.0003,212,4471,50.56472318000001,59285,-9.403585433959961,0.016752230003476143,-0.44617247581481934,13,0.26696932315826416,59184,286.01
0.0003,216,4551,49.66581004,60340,-9.323209762573242,0.017198527231812477,0.004768088459968567,13,1.3821539878845215,60239,283.01
0.0003,220,4638,50.101624869999995,61453,-9.467577934265137,0.016191234812140465,-1.1321085691452026,13,0.35680872201919556,61352,285.02
0.0003,224,4734,50.98118026,62681,-9.200298309326172,0.01504079531878233,0.6359886527061462,13,0.8049163818359375,62580,287.42
0.0003,228,4825,51.57455607000001,63900,-9.417102813720703,0.015149194747209549,0.19857200980186462,13,0.45052579045295715,63799,289.29
0.0003,232,4912,51.58111374,65082,-9.560434341430664,0.014692348428070545,-0.7813411951065063,13,1.0737404823303223,64981,288.57
0.0003,236,4986,51.02707026,66078,-9.551143646240234,0.014267961494624615,-0.706167995929718,13,0.5334704518318176,65977,285.89
0.0003,240,5055,50.375252040000014,67084,-9.445223808288574,0.015163909643888474,-0.1655053198337555,13,1.1054121255874634,66983,280.77
0.0003,244,5140,50.4092994,68267,-8.842254638671875,0.01613284833729267,0.7391178607940674,13,0.36575114727020264,68166,281.97
0.0003,248,5224,49.78877077000001,69351,-9.359284400939941,0.016214195638895035,0.8933848738670349,13,0.9024392366409302,69250,279.44
0.0003,252,5298,49.579878949999994,70354,-8.557638168334961,0.016003988683223724,-0.08067591488361359,13,0.16020017862319946,70253,277.85
0.0003,256,5392,49.60355382999999,71674,-8.606146812438965,0.016091659665107727,0.4861115515232086,13,0.1633487194776535,71573,277.69
0.0003,260,5485,49.52316248,72961,-8.895748138427734,0.0162944532930851,0.4708705544471741,13,0.5564148426055908,72860,276.62
0.0003,264,5576,49.7869643,74154,-9.114238739013672,0.016624923795461655,0.4530087113380432,13,0.8008288741111755,74053,278.1
0.0003,268,5670,50.67895734999999,75364,-9.34164047241211,0.01651841215789318,-0.5108323097229004,13,0.6187527775764465,75263,282.32
0.0003,272,5765,50.98457792,76633,-9.095705032348633,0.016599828377366066,-1.26651930809021,13,0.8644862174987793,76532,282.87
0.0003,276,5864,51.73923132,77988,-8.912643432617188,0.016067001968622208,0.42183762788772583,13,0.3671947717666626,77887,287.13
0.0003,280,5961,52.68293999999999,79241,-8.601628303527832,0.01647789776325226,-0.7565467953681946,13,0.2980523705482483,79140,289.76
0.0003,284,6050,53.46888969,80475,-8.656067848205566,0.0164511576294899,-0.37704983353614807,13,0.2989252209663391,80374,291.84
0.0003,288,6139,53.33849948000001,81746,-8.510578155517578,0.01624714955687523,-0.0612555593252182,13,0.2637905478477478,81645,292.62
0.0003,292,6209,52.866221519999996,82696,-8.734907150268555,0.016272153705358505,-0.7001604437828064,13,0.2570122480392456,82595,291.38
0.0003,296,6310,52.87590529999999,84014,-8.306464195251465,0.016580644994974136,0.7974981665611267,13,0.3298090696334839,83913,291.85
0.0003,300,6389,52.72075756,85070,-8.49337387084961,0.01780744455754757,-0.4394075274467468,13,0.7554764747619629,84969,291.16
0.0003,304,6498,53.372686250000015,86478,-9.132880210876465,0.01698586717247963,-1.4189974069595337,13,1.1265249252319336,86377,294.76
0.0003,308,6576,53.14197942999999,87478,-8.344430923461914,0.016970403492450714,0.7318841814994812,13,0.8955925107002258,87377,293.61
0.0003,312,6665,52.789261259999996,88636,-8.42661190032959,0.016484593972563744,0.5287026166915894,13,0.48485806584358215,88535,293.51
0.0003,316,6747,53.20656176000001,89773,-9.109588623046875,0.015443684533238411,-0.46522775292396545,13,1.0472551584243774,89672,294.33
