rollout/ep_len_mean,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/learning_rate,train/actor_loss
241.0,31,0.05792941898107529,6.902288,0.7720248699188232,30,4,863,-1.3051936626434326,964,0.0003,-9.147127151489258
263.5,71,0.1718088835477829,6.96997225,0.5482504367828369,29,8,2007,-3.0117828845977783,2108,0.0003,-14.529269218444824
283.0,119,0.646308183670044,7.235723416666666,0.37296101450920105,28,12,3295,-4.961017608642578,3396,0.0003,-18.154186248779297
274.5,157,0.2730267643928528,7.1358906875,0.27726811170578003,27,16,4291,-6.332930564880371,4392,0.0003,-19.56620216369629
295.3,216,0.15328055620193481,8.2741693,0.17721159756183624,27,20,5805,-8.32951545715332,5906,0.0003,-20.255046844482422
299.3333333333333,264,0.21692346036434174,8.900768375,0.12180861085653305,27,24,7083,-9.528502464294434,7184,0.0003,-20.307079315185547
301.82142857142856,311,0.17105863988399506,9.152252071428569,0.08427707105875015,27,28,8350,-10.696517944335938,8451,0.0003,-19.581180572509766
312.21875,368,0.0920945405960083,10.34998790625,0.05422775074839592,27,32,9890,-12.576539993286133,9991,0.0003,-18.828367233276367
317.52777777777777,421,0.12213081866502762,10.572260861111111,0.03622771054506302,27,36,11330,-12.544402122497559,11431,0.0003,-17.549327850341797
324.475,478,0.15053847432136536,11.798293175000001,0.024079380556941032,27,40,12878,-10.800666809082031,12979,0.0003,-16.564638137817383
322.8636363636364,523,0.24509406089782715,12.185417750000001,0.017787085846066475,27,44,14105,-7.375236988067627,14206,0.0003,-15.396711349487305
326.375,576,0.41564691066741943,13.161516145833332,0.01290858630090952,27,48,15565,-3.850186824798584,15666,0.0003,-14.737958908081055
324.7692307692308,621,1.5111674070358276,13.706624173076923,0.010327543132007122,27,52,16787,-2.882185459136963,16888,0.0003,-13.989738464355469
323.75,670,0.19578415155410767,14.366558946428572,0.00981198437511921,27,56,18029,-2.1074976921081543,18130,0.0003,-13.246110916137695
319.6166666666667,716,0.12939658761024475,14.402591849999999,0.00932169146835804,26,60,19076,0.016931265592575073,19177,0.0003,-12.455083847045898
316.25,763,0.3859095573425293,14.923952968750001,0.0076128095388412476,26,64,20139,-3.8642492294311523,20240,0.0003,-11.880759239196777
310.6617647058824,802,0.29556700587272644,15.07282348529412,0.006977530661970377,26,68,21024,-1.300421953201294,21125,0.0003,-11.579313278198242
310.7083333333333,859,0.09216412901878357,15.376664861111111,0.0067915283143520355,26,72,22270,-2.458080291748047,22371,0.0003,-11.374959945678711
310.35526315789474,914,0.1062578484416008,15.638398684210525,0.006530486512929201,25,76,23486,0.831782341003418,23587,0.0003,-10.894418716430664
311.1375,972,0.10489018261432648,15.716437474999998,0.006122386548668146,25,80,24790,-0.35032346844673157,24891,0.0003,-10.216747283935547
306.5238095238095,1010,0.2801521420478821,15.40786570238095,0.005946311168372631,25,84,25647,-2.92094087600708,25748,0.0003,-10.13109302520752
305.17045454545456,1059,0.2979122996330261,15.299625636363636,0.005637464579194784,25,88,26754,-0.9596444368362427,26855,0.0003,-9.940205574035645
302.29347826086956,1102,0.06740577518939972,15.387147195652176,0.005146935116499662,25,92,27710,-1.596911907196045,27811,0.0003,-9.311908721923828
300.59375,1147,0.2755776345729828,15.620441020833331,0.004631027113646269,25,96,28756,0.07573044300079346,28857,0.0003,-9.154582023620605
299.83,1196,0.4849707782268524,15.982221679999999,0.0051542907021939754,25,100,29882,-0.6038320064544678,29983,0.0003,-8.920894622802734
302.02,1248,0.13392773270606995,16.61623401,0.005037353374063969,24,104,31065,-0.5279330015182495,31166,0.0003,-8.437898635864258
301.66,1296,0.42584624886512756,17.201973559999995,0.00513499928638339,24,108,32173,-1.8861693143844604,32274,0.0003,-8.385774612426758
302.81,1358,0.24514982104301453,17.88589385,0.005610371474176645,24,112,33576,-1.1148860454559326,33677,0.0003,-7.870463848114014
304.7,1409,0.2900885343551636,18.440067359999997,0.005635265726596117,24,116,34761,1.5483412742614746,34862,0.0003,-7.516468048095703
299.33,1452,0.06172647699713707,18.650053759999995,0.0056201256811618805,24,120,35738,1.3792085647583008,35839,0.0003,-7.748836994171143
295.81,1492,0.1024855524301529,18.88268325,0.00565506424754858,24,124,36664,0.2845537066459656,36765,0.0003,-7.49985933303833
294.43,1542,0.25330638885498047,19.332822250000003,0.005751798395067453,24,128,37793,-2.225513458251953,37894,0.0003,-7.221807479858398
291.86,1598,0.09410186111927032,19.426051340000004,0.005829766858369112,24,132,39076,-0.9836568832397461,39177,0.0003,-6.7333478927612305
290.22,1654,0.11462093144655228,19.90738812,0.0059540653601288795,24,136,40352,0.11586278676986694,40453,0.0003,-6.535531997680664
288.34,1713,0.232875257730484,20.07090607,0.005541923921555281,24,140,41712,0.4265880882740021,41813,0.0003,-6.26255989074707
287.25,1762,0.11151701211929321,20.17866978,0.005427758675068617,24,144,42830,-0.4206238090991974,42931,0.0003,-6.137766361236572
286.21,1822,0.1412120759487152,20.15091277,0.005686089396476746,24,148,44186,1.0951703786849976,44287,0.0003,-6.4438395500183105
287.23,1880,0.2654857635498047,20.314643680000003,0.005509956274181604,24,152,45510,1.452789306640625,45611,0.0003,-5.799357891082764
286.94,1934,0.18126536905765533,20.703671430000004,0.0056180707179009914,24,156,46723,0.40445804595947266,46824,0.0003,-5.784850597381592
289.02,1989,0.24759359657764435,21.111838289999994,0.005393054336309433,24,160,47978,-1.030513048171997,48079,0.0003,-5.84248685836792
