#{"t_start": 1763686294.8056011, "env_id": "None"}
r,l,t
3.042639,188,6.223214
14.522256,371,18.75224
7.894209,232,26.638568
2.150048,173,32.493649
8.61181,276,41.776331
11.742332,502,59.246814
3.932992,156,64.941859
3.863492,210,72.523923
4.830979,233,81.026887
6.254583,404,96.132775
9.434164,342,108.96869
10.549177,309,120.39628
4.569896,148,125.944764
3.80879,147,131.497696
10.93866,436,148.562349
8.028224,265,158.771101
6.653611,294,170.770417
10.643622,359,184.825209
19.016963,496,203.440282
14.994939,365,217.624536
10.688776,252,227.353547
22.297572,501,246.558951
10.399233,304,257.809293
4.749474,221,266.126335
10.547262,446,282.506642
7.876354,217,291.097909
8.543242,259,300.629457
15.677759,345,313.240376
9.433903,329,325.414239
22.890786,453,342.039955
25.822175,366,355.426535
16.789691,392,369.924997
20.398408,586,391.565189
4.878177,165,397.569509
11.809278,331,409.829996
12.315915,358,422.956899
8.729888,288,433.512113
15.033514,302,444.55422
32.944913,515,463.504689
34.622021,443,479.865656
4.960313,149,485.474179
16.539036,343,498.110214
20.314766,345,510.649398
22.412539,390,525.039505
24.231486,446,541.190949
15.679951,269,550.974076
23.605806,315,562.576883
32.077151,430,578.36103
37.625891,466,595.289696
9.802597,148,600.712934
13.903395,299,611.506159
19.659799,309,622.622583
25.548392,312,633.872402
7.7522,168,640.089044
23.978529,346,653.323186
34.503723,416,671.577645
21.292969,307,684.864114
18.728319,358,700.798489
9.110687,183,708.862304
10.496235,199,717.60734
23.408757,299,730.633007
20.929319,239,741.224008
27.2979,276,753.307424
19.341503,249,764.400465
22.128089,196,773.251655
21.194501,268,785.293775
15.201752,241,796.197991
11.294665,180,804.363119
22.185314,271,816.56784
17.169244,291,829.493459
24.042126,317,843.781335
18.771189,367,861.17896
42.248161,466,881.869189
19.177967,341,897.201159
16.394458,286,910.014184
3.577844,123,915.523788
13.154581,253,926.85181
15.534547,302,940.220148
17.881061,283,952.912386
22.226509,466,973.32486
7.982178,245,984.495779
11.856504,250,995.569982
6.41772,133,1001.548706
10.689319,229,1011.896924
25.57119,510,1034.651038
8.244734,215,1044.311405
9.153102,214,1053.960711
9.137311,168,1061.354674
18.356082,194,1069.851787
12.663659,206,1079.055886
15.049586,208,1088.293921
23.181159,348,1103.48895
31.734209,314,1117.242934
17.483615,222,1126.850999
24.455221,304,1140.143865
10.271751,206,1149.140062
31.018405,325,1163.027151
31.109664,309,1176.537847
17.441046,233,1186.875257
19.090715,259,1198.26756
28.519148,334,1212.742483
17.298788,242,1223.229041
27.156812,277,1235.252764
18.035637,330,1249.865855
23.883568,265,1261.53292
35.513642,352,1276.945687
13.249887,221,1286.572481
14.077484,270,1298.387148
24.339516,295,1311.139659
29.264422,432,1330.063231
15.035865,241,1340.558793
30.821129,435,1359.431355
14.63155,246,1370.007429
35.46072,419,1388.472061
21.747335,311,1402.102463
10.923316,209,1411.246948
12.933742,208,1420.385199
17.660753,197,1428.873699
14.095349,242,1439.32757
27.617931,330,1453.761894
25.262143,258,1465.211514
8.087072,185,1473.218269
20.445406,222,1482.876583
17.603383,261,1494.160436
23.866707,356,1509.561747
25.771267,295,1522.316024
22.026699,258,1533.803641
15.993844,220,1543.497355
27.292136,248,1554.248018
25.658014,457,1574.301586
11.434019,187,1582.500525
19.875295,391,1599.675433
25.649693,318,1613.549211
18.197905,302,1626.726511
6.129157,143,1633.069647
47.558701,513,1655.439176
18.6273,331,1669.932344
30.250513,341,1684.814314
23.372874,283,1697.325349
35.431444,405,1714.897378
21.553849,314,1728.455523
23.742447,301,1741.823219
10.523382,223,1751.757514
19.183347,280,1764.243015
25.537989,363,1780.158469
28.401972,373,1796.761509
