#{"t_start": 1763012383.7791493, "env_id": "None"}
r,l,t
33.460989,55,1.087314
112.767203,189,3.75464
201.377894,222,7.491549
161.279777,166,10.294601
295.299155,185,13.314578
197.077344,183,16.726906
231.930939,177,20.204466
226.186322,159,22.854895
260.146049,289,27.885865
271.67338,217,31.555306
311.545846,218,35.246165
158.333929,141,37.585759
254.312027,199,40.761559
275.516183,137,42.993313
74.698177,93,44.638712
106.947832,109,46.577739
220.719711,206,49.931824
249.199591,158,52.488858
220.279148,238,56.328366
162.363657,135,58.484263
413.776804,368,64.360613
448.795583,290,69.161458
87.214466,93,70.740838
164.299116,148,73.150974
402.315873,250,77.247106
175.728103,168,80.009854
214.415586,209,83.534334
145.096141,160,86.30197
161.854307,157,89.003918
88.896869,81,90.377469
305.759468,198,93.812974
213.954878,183,96.857538
156.744154,159,99.604239
181.587517,146,102.199925
163.820391,172,105.24572
75.516906,97,107.038879
202.805592,180,110.323223
127.030677,154,113.080527
118.009689,105,114.871363
193.559813,144,117.324359
147.079161,128,119.483067
142.122983,165,122.225005
82.392689,72,123.406523
141.080321,143,125.817497
167.888161,182,129.038446
119.684014,112,130.928328
297.980643,180,134.02054
190.080514,196,137.437233
213.303508,128,139.648597
265.481456,202,143.116327
229.503824,125,145.384485
282.18054,201,148.828799
100.763102,97,150.4996
115.211966,157,153.164892
138.627238,185,156.603522
122.715249,106,158.421192
136.115428,179,161.584187
156.850712,125,163.792778
279.462762,258,168.429776
170.876579,156,171.426769
119.290539,129,173.716018
276.260614,174,176.692972
175.885218,176,179.702452
140.344952,88,181.190607
200.531097,129,183.465912
154.113587,156,186.104466
130.260309,194,189.3702
204.848112,174,192.222364
253.794755,190,195.298411
262.636245,256,199.408393
175.985263,179,202.370564
137.905283,122,204.350221
164.522671,168,207.246182
138.53136,157,209.943653
150.30416,181,212.9432
157.929846,191,216.159764
274.72304,233,220.220265
164.361507,146,222.625502
125.157951,137,224.997161
131.534411,96,226.610048
184.347101,117,228.562411
274.489729,247,233.198131
198.058685,173,236.232052
150.956519,123,238.40296
424.332811,341,244.259903
150.266903,146,247.022086
87.295915,88,248.57788
285.94346,172,251.59224
191.209086,184,255.377611
163.811328,140,258.427641
290.067047,189,262.636009
212.485697,149,265.494175
468.206607,211,269.206992
195.857546,146,271.90135
206.643961,184,275.279395
261.720456,187,278.625469
297.907084,237,282.847938
279.651194,224,286.744408
285.125069,243,291.067005
69.038939,64,292.33301
134.244277,133,295.387149
222.757068,235,299.388918
364.788977,211,303.035672
265.100286,221,306.735271
257.663359,205,310.330573
207.227759,206,314.013835
99.835171,71,315.280712
136.442316,131,317.654601
99.008843,119,319.739172
744.312856,319,325.217682
327.694295,183,328.531662
218.757888,250,332.803704
233.680428,185,335.999585
230.637575,203,339.392811
171.328443,111,341.274098
274.081215,272,345.795298
