#{"t_start": 1762922967.010613, "env_id": "None"}
r,l,t
17.236506,82,1.139393
38.280715,114,2.97048
220.704226,150,5.575983
17.624447,45,6.364398
170.020187,181,9.518186
66.923488,81,10.914519
101.530337,133,13.16617
169.777284,135,15.441549
78.285284,75,16.740759
16.219046,45,17.499785
111.008562,115,19.529247
124.952886,116,21.656077
158.304275,133,24.036999
231.917434,165,26.837999
78.484909,72,28.08655
108.624645,152,30.726125
97.555241,104,32.57789
83.768365,87,34.104576
115.75838,133,36.634119
95.767882,73,37.958309
102.538682,110,39.821678
67.03506,63,40.91079
178.018747,139,43.274478
145.186568,121,45.348554
185.137172,129,47.583573
109.542255,104,49.295315
138.549766,116,51.283544
137.969293,132,53.500146
191.564811,184,56.707937
92.001521,113,58.611632
140.45869,118,60.641231
62.216031,67,61.825599
34.237203,53,62.807347
116.814961,87,64.356128
79.401681,97,66.086088
99.312428,102,68.028251
79.275691,69,69.292571
117.274921,108,71.193608
144.541551,123,73.375194
93.4448,84,74.8321
208.97097,121,76.948645
174.083387,138,79.462538
139.290636,103,81.436613
95.914287,112,83.45877
89.009192,77,84.866696
87.784,91,86.653555
120.819886,81,88.060276
99.295294,89,89.604395
113.68604,94,91.161969
153.852249,131,93.366436
67.503719,70,94.632721
115.002895,103,96.39574
168.346453,133,98.889857
105.855524,115,101.045008
98.682573,138,103.437965
150.197827,144,105.855716
126.591045,104,107.657586
158.379592,95,109.28671
120.304265,95,110.942016
78.65446,71,112.134129
149.404199,122,114.446214
187.751186,153,117.205528
147.956411,145,119.980825
167.139377,147,122.401849
83.406666,86,123.814708
160.839044,122,125.838467
136.011777,125,127.883057
144.455221,100,129.554481
146.541284,159,132.239341
138.235323,97,133.83639
212.6341,112,135.771333
167.731606,113,137.86515
83.906501,78,139.27115
224.503927,158,142.03652
77.147216,76,143.415193
198.855685,149,146.359018
106.389205,107,148.591391
103.216306,105,150.779434
184.447557,142,154.204436
146.253365,128,156.765318
128.811132,100,158.713422
123.622939,101,160.819641
209.334229,145,164.206034
93.05611,111,166.331613
111.820246,126,168.662531
146.704592,137,171.146697
132.21931,115,173.192609
159.140382,161,176.098822
116.549629,113,178.42967
74.213069,114,180.613618
338.144185,169,183.739279
190.675857,135,186.335987
162.183662,124,188.853071
183.819526,137,191.578182
166.479798,111,193.670048
119.863576,117,195.815358
120.835858,102,197.972639
60.145338,65,199.138278
108.903872,125,201.588399
141.914187,98,203.483361
136.495744,112,205.528915
192.070885,134,208.261835
42.345909,53,209.218829
168.296933,163,212.31368
149.002627,143,215.11384
182.056851,176,218.33492
137.608653,137,220.901676
165.705972,130,223.56325
112.419491,101,226.011272
79.20281,73,227.370494
79.546296,82,229.159359
181.960962,119,231.358114
171.934414,140,234.002143
138.875794,123,236.477787
110.495232,96,238.617082
177.288935,112,240.93874
162.074898,139,243.588699
109.567917,98,245.425932
70.775265,71,246.719709
194.162716,172,250.058105
267.575724,174,253.375587
66.129309,96,255.303312
160.603535,136,257.851816
73.34868,73,259.280697
156.749802,147,262.075837
155.263555,119,264.520207
65.625525,71,265.923229
189.870387,107,267.966663
85.239825,75,269.357683
143.540162,126,271.764997
144.215833,155,274.868718
184.224098,179,278.342877
127.026827,124,280.644537
84.416631,88,282.351937
135.419098,84,283.836598
147.884421,131,286.596057
104.055281,132,289.570808
156.765626,114,291.967129
81.075255,78,293.54258
73.469482,80,295.123054
94.201626,143,298.164526
134.278478,99,300.115004
77.125761,93,302.02065
126.144889,118,304.342668
54.883982,62,305.496597
211.162081,122,307.910696
98.545017,87,309.558231
108.013943,138,312.39246
101.497401,87,313.919923
147.32485,133,318.132167
59.009923,59,321.179915
129.795287,120,327.342713
119.404168,142,334.615032
153.166691,121,340.767442
125.359256,79,344.800616
133.124064,107,350.273081
139.49585,117,356.271013
154.007806,105,361.642952
111.074735,119,367.691874
176.760535,162,375.951248
146.603433,124,382.210718
193.807674,154,390.07443
138.917312,103,395.325938
124.034247,119,402.652482
123.588438,119,408.667991
163.172823,117,414.655247
114.38566,140,418.113815
79.598614,88,419.628767
158.702036,96,421.34505
149.007559,101,423.083626
147.890894,170,426.369297
133.048771,120,429.751207
96.541935,111,431.717715
83.969316,87,433.178884
170.165944,125,435.289843
197.357749,124,437.465575
114.615768,143,439.836125
86.329067,69,440.97491
139.759389,129,443.15745
148.900116,115,445.038812
178.862903,100,446.678918
196.62438,176,449.588635
132.854281,98,451.240093
85.599312,71,452.541343
200.480598,154,455.342347
73.102323,69,456.519483
129.459906,89,458.119575
168.411919,117,460.233028
83.105546,96,462.075341
135.662022,121,464.233328
74.437269,101,466.015845
164.411582,161,468.895111
199.801644,144,471.495682
88.553191,110,473.383241
96.509898,91,474.884633
90.415581,69,476.095886
118.698938,126,478.513673
161.326491,125,480.791119
70.221206,62,481.885481
103.485575,73,483.17585
95.129966,98,484.942704
160.679522,121,487.047358
148.316644,109,489.003809
98.487296,95,490.732521
175.819451,134,493.059677
70.762311,74,494.409523
175.282772,156,497.150959
165.928025,129,499.43892
85.178506,76,500.818894
86.263143,63,501.954128
123.631913,114,503.944041
180.09248,118,506.023641
177.350581,144,508.597614
106.526328,89,510.219087
87.588674,77,511.617919
140.573465,90,513.186997
112.667035,87,514.650688
126.316484,130,516.939314
124.948695,108,518.79959
169.720357,132,521.044948
106.93109,109,522.920977
166.203739,131,525.30144
149.918377,152,527.985532
74.270183,111,529.90209
136.364544,118,531.999125
152.694775,125,534.185819
117.146452,112,536.109142
140.249542,98,537.948405
141.799042,113,540.254319
113.601005,112,542.269484
169.688491,91,543.868968
114.920706,106,545.727188
130.714527,115,547.766994
102.077302,85,549.335866
130.451269,135,551.851206
114.77569,93,553.435455
195.013913,105,555.256447
125.685935,134,557.72129
100.248423,144,560.186347
121.076441,118,562.141776
147.575939,108,564.112379
122.322947,137,566.630771
68.48974,85,568.079169
151.966833,135,570.418556
168.805813,126,572.688776
142.001893,110,574.757875
80.500356,65,575.892554
150.475477,117,577.919852
108.395685,113,579.971096
129.626849,123,582.160233
114.825516,106,584.168781
103.767908,76,585.496174
121.796255,116,587.532146
157.397602,118,589.542635
76.013519,72,590.828848
152.553185,92,592.389299
91.291077,97,594.091131
108.206659,112,596.055269
101.927219,94,597.796943
66.612172,66,598.983722
88.493239,81,600.351412
109.808917,91,602.085118
95.09527,78,603.498428
78.348379,81,604.882741
91.793257,89,606.447078
154.510755,126,608.777953
132.228551,93,610.401941
168.258613,110,612.288574
220.688022,124,614.462023
88.898377,69,615.635856
134.169999,97,617.281284
65.171957,65,618.35859
90.276524,69,619.576517
117.894013,114,621.61693
134.004932,96,623.267022
98.838788,91,624.797208
73.914511,84,626.233685
98.744171,73,627.466639
114.606959,95,629.060435
126.00805,116,631.093235
34.019108,49,632.074535
86.536527,79,633.4638
93.942507,105,635.759483
85.795596,105,638.544514
73.988818,65,640.169612
138.018471,109,642.616162
127.977359,110,645.145815
103.255808,77,647.03824
145.736048,129,649.505679
138.517941,121,651.77691
175.52236,118,654.242739
100.315884,105,656.67388
114.857989,97,658.563192
120.023912,74,660.351152
142.040488,124,662.656552
47.948694,52,663.822505
90.649902,75,665.597839
136.501028,118,667.8019
110.78447,125,670.110539
153.517447,124,672.35334
98.082557,77,673.667986
104.252027,95,675.448364
91.599143,72,676.859775
80.363905,91,678.476396
113.862398,106,680.354286
133.865696,104,682.308487
125.161187,120,684.624395
145.855892,130,687.130601
116.344071,100,688.967828
99.097371,96,690.677405
47.936222,55,692.075517
130.849662,95,693.989005
90.152291,77,695.444225
126.256162,93,697.114946
123.98809,105,698.965662
118.637345,87,700.504151
119.46657,120,702.611511
114.738248,84,704.094971
114.613405,130,706.49603
134.908705,113,708.596708
142.675764,102,710.470433
89.59956,122,712.670811
115.987898,92,714.294871
130.776111,113,716.306762
118.904771,114,718.516496
136.05624,96,720.22499
115.119101,85,721.768636
161.115758,144,724.322268
191.889826,142,727.386673
98.085417,99,729.383953
112.940271,83,730.800745
108.417154,116,732.89829
237.609042,130,735.239797
84.640834,68,736.504106
152.889882,116,738.704106
118.092042,101,740.543633
115.997156,89,742.100924
127.837252,129,744.392526
160.872396,101,746.16701
84.181256,84,747.705875
114.044977,133,750.183345
