train/actor_loss,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/learning_rate,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss,time/fps
-41.66353225708008,4,196.5,786,0.1015167087316513,0.0003,14,18.11507797241211,323.44624575,174853,-2.2795321941375732,55
-41.31666946411133,8,179.375,1435,0.08275949209928513,0.0003,26,37.769004821777344,270.087752625,175502,-1.872466802597046,54
-43.11972427368164,12,157.5,1890,0.08120153844356537,0.0003,34,40.08252716064453,228.9455261666667,175957,0.6437392830848694,54
-47.37163543701172,16,155.0,2480,0.08538491278886795,0.0003,46,46.02732849121094,216.2590675625,176547,1.5203183889389038,52
-44.88215637207031,20,149.7,2994,0.08641812205314636,0.0003,57,29.30192756652832,210.76409410000002,177061,-0.4103997051715851,51
-42.81856918334961,24,161.33333333333334,3872,0.0832202360033989,0.0003,74,33.25164031982422,232.94845479166665,177939,0.45729002356529236,51
-41.061370849609375,28,159.85714285714286,4476,0.08221748471260071,0.0003,86,39.474578857421875,224.7527107142857,178543,-1.199686050415039,51
-44.37557601928711,32,157.0625,5026,0.08225312829017639,0.0003,96,42.231422424316406,218.575646125,179093,0.6470193862915039,51
-43.89894104003906,36,159.86111111111111,5755,0.08458419144153595,0.0003,110,40.63056182861328,218.52045197222222,179822,-2.2607192993164062,51
-42.94801712036133,40,158.95,6358,0.08137406408786774,0.0003,122,32.67821502685547,213.80093082499997,180425,-0.08511802554130554,51
-43.461326599121094,44,155.0909090909091,6824,0.07992474734783173,0.0003,131,65.40609741210938,208.8063197272727,180891,-1.2338327169418335,51
-43.56358337402344,48,154.22916666666666,7403,0.0791548416018486,0.0003,142,33.33277130126953,206.86496410416666,181470,0.8930943608283997,51
-43.9871826171875,52,154.42307692307693,8030,0.07919491827487946,0.0003,154,49.32796859741211,206.30939438461536,182097,0.7777389287948608,51
-44.52086639404297,56,158.58928571428572,8881,0.07541700452566147,0.0003,170,35.220458984375,208.24010351785714,182948,-0.4228435158729553,51
-43.95886993408203,60,157.01666666666668,9421,0.07584267109632492,0.0003,181,27.76303482055664,206.97236538333334,183488,1.234899640083313,51
-44.50754928588867,64,155.484375,9951,0.07488739490509033,0.0003,191,43.4556884765625,205.22765918750002,184018,1.750321865081787,51
-44.19476318359375,68,154.88235294117646,10532,0.076912522315979,0.0003,202,30.67359161376953,205.7165836029412,184599,0.8620727062225342,51
-44.40258026123047,72,154.44444444444446,11120,0.07722137123346329,0.0003,214,49.964073181152344,204.31270775,185187,0.42198726534843445,51
-44.97636795043945,76,153.17105263157896,11641,0.0773710310459137,0.0003,224,70.53421020507812,203.1277697105263,185708,-1.0464483499526978,51
-45.40367889404297,80,153.2375,12259,0.07594052702188492,0.0003,236,36.03313446044922,202.0967745375,186326,0.5143636465072632,51
-43.49687576293945,84,155.01190476190476,13021,0.08073034882545471,0.0003,251,55.04571533203125,205.67368264285713,187088,0.7672139406204224,51
-40.87436294555664,88,154.11363636363637,13562,0.08207016438245773,0.0003,262,32.39136505126953,204.36862119318178,187629,0.36539116501808167,51
-46.12131881713867,92,153.2826086956522,14102,0.0836116150021553,0.0003,273,35.08343505859375,207.88553389130436,188169,-0.6744805574417114,51
-43.28839874267578,96,155.78125,14955,0.0837874636054039,0.0003,290,25.348358154296875,211.91532866666662,189022,1.12604820728302,51
-45.19474792480469,100,156.15,15615,0.09016275405883789,0.0003,304,56.79235076904297,211.60626434999995,189682,0.570056140422821,51
-43.89026641845703,104,154.31,16217,0.09263662248849869,0.0003,316,35.727622985839844,209.29822113999998,190284,0.9162248373031616,51
-45.49557113647461,108,153.34,16769,0.09934698790311813,0.0003,327,17.213329315185547,232.05733095999997,190836,0.3471114933490753,51
-42.90862274169922,112,157.54,17644,0.10250179469585419,0.0003,344,29.71395492553711,238.57052434999997,191711,0.6341156959533691,51
-44.369171142578125,116,155.96,18076,0.10758128017187119,0.0003,353,33.49097442626953,237.96375921999996,192143,1.0306131839752197,51
-42.10152053833008,120,156.77,18671,0.10979627817869186,0.0003,364,39.455589294433594,237.67845552,192738,-0.18892818689346313,51
-43.02762222290039,124,154.59,19331,0.11864321678876877,0.0003,377,37.574562072753906,231.71823293,193398,0.06017209589481354,51
-41.453514099121094,128,155.45,20021,0.12037569284439087,0.0003,391,54.81007766723633,232.12249221000002,194088,-1.2123124599456787,51
-44.17761993408203,132,157.16,20742,0.12075213342905045,0.0003,406,48.31052017211914,232.42416827999998,194809,-0.24142488837242126,51
-45.64169692993164,136,157.4,21495,0.12270822376012802,0.0003,422,37.9467887878418,234.7649882,195562,-0.3900732398033142,50
-43.265167236328125,140,155.43,21901,0.12066708505153656,0.0003,430,27.616127014160156,233.61349657,195968,0.16785801947116852,50
-44.46118927001953,144,156.21,22445,0.12036461383104324,0.0003,441,30.098854064941406,233.56301980999996,196512,1.5213865041732788,50
-45.04629898071289,148,156.35,23038,0.12204328924417496,0.0003,452,36.0218391418457,239.46750561000002,197105,0.5012575387954712,50
-43.235801696777344,152,156.01,23631,0.12437188625335693,0.0003,463,58.255287170410156,239.46862393999996,197698,-0.0801025778055191,50
-42.72913360595703,156,153.91,24272,0.12372779101133347,0.0003,475,23.10174560546875,239.38024845999996,198339,0.534099817276001,51
-42.276798248291016,160,155.44,24965,0.12195771187543869,0.0003,488,61.324798583984375,241.44841159,199032,-0.20482118427753448,51
-44.274566650390625,164,155.35,25486,0.1206231340765953,0.0003,498,24.64178466796875,239.95222593999998,199553,-1.1293636560440063,51
