#{"t_start": 1762916524.6095667, "env_id": "None"}
r,l,t
27.944978,48,0.974827
19.356978,65,1.452942
83.530883,70,2.673412
36.863697,102,4.400306
55.038824,108,6.152997
100.710888,116,8.189608
75.220617,74,9.950213
61.353965,77,11.668328
102.235793,99,14.023922
118.276199,125,16.412672
102.322328,99,18.530418
67.400177,75,20.013533
81.25822,97,21.950794
102.273074,70,23.283803
121.989604,89,24.917609
185.789728,97,26.556961
258.458731,104,28.336515
201.85027,110,30.297837
117.001107,78,31.854061
144.830219,115,34.277576
170.899214,152,36.973347
86.730947,81,38.469677
178.060965,109,41.024253
176.106347,114,43.550727
386.321523,132,46.20994
117.640993,89,47.870615
153.160333,98,49.699814
492.227592,169,52.740538
157.789036,116,54.858123
97.607729,72,56.116724
153.018653,124,58.363856
251.609573,123,60.601809
140.034057,96,62.359241
158.65961,118,64.57521
194.276569,119,66.651613
137.036496,107,68.553696
144.134088,86,70.24808
110.248623,75,71.84581
94.099534,86,73.436382
163.01163,126,75.718255
223.233107,130,78.145911
470.84889,129,80.573344
149.765505,110,82.661414
112.61232,60,83.771564
162.570907,139,86.368335
286.401052,132,88.879752
260.347857,102,90.79622
88.692353,70,92.112856
217.229324,141,94.928453
208.780471,132,97.523926
269.397626,113,99.593935
292.12549,120,101.870667
286.336611,87,103.402292
235.8662,180,106.706109
289.505606,122,108.987324
181.283392,119,111.061204
219.556862,117,113.21875
148.636376,118,115.481501
214.269932,115,117.582215
195.916953,96,119.311425
132.465519,111,121.299067
266.842812,158,124.052066
337.641716,163,126.93409
152.862932,86,128.383111
115.368212,78,129.751001
130.421162,71,130.994362
171.640065,135,133.419619
210.370974,159,136.531369
238.958405,116,138.676666
298.283848,140,141.251734
532.611381,167,144.257052
62.307227,55,145.16921
178.247251,91,146.818151
886.555578,164,149.721449
174.344044,109,151.678944
191.235946,117,153.65257
207.578113,137,156.247855
246.04461,156,159.467393
169.354966,111,162.417444
375.902068,143,165.524014
246.665516,147,168.193736
138.029214,85,169.711725
190.895342,126,172.260895
72.961821,66,173.470067
89.914981,89,174.953617
242.445803,163,177.792902
260.076757,154,180.476386
121.800394,82,181.951077
170.346612,110,183.943656
225.276306,133,186.243381
194.138967,98,187.942485
292.040797,161,190.751942
205.615744,107,192.545363
189.749147,146,194.970417
251.466092,133,197.174798
189.19369,146,199.706596
248.431274,186,202.773607
96.778924,69,203.877156
126.495731,86,205.258045
213.899298,90,206.736031
45.957401,52,207.611204
146.280844,124,209.793015
205.913739,131,212.012813
385.985714,195,215.246366
180.849001,97,216.907027
153.589791,87,218.375299
158.431938,101,220.262275
138.758291,92,221.809491
299.101398,173,224.607059
368.533057,141,226.869362
142.213945,82,228.20773
151.307753,149,230.688215
128.206871,98,232.3086
389.709475,199,235.60782
201.853698,117,237.523575
203.857012,113,239.394808
318.79511,166,242.343905
236.636653,218,246.403453
516.488997,101,248.264523
88.61519,67,249.571256
184.841771,158,252.604962
204.984995,113,254.566237
389.210449,171,257.390317
124.634501,91,259.002277
215.255261,134,261.224395
121.725599,89,262.715023
151.853905,118,264.733676
151.451918,119,266.818966
158.147835,86,268.291288
228.009467,178,271.433473
107.44605,112,273.299589
308.910826,177,276.284392
242.048385,154,278.952417
166.047423,115,281.113062
333.86532,180,284.591945
1198.325143,196,288.023076
219.469329,153,290.677388
119.813678,94,292.328156
241.160308,170,295.167327
444.452399,232,300.056043
208.190381,145,303.168643
450.450577,180,306.337546
257.150515,178,309.488846
191.293633,114,311.475059
199.533312,106,313.284911
209.919202,101,314.96934
212.025235,119,316.903434
156.328912,106,318.715019
101.436837,94,320.320181
162.830526,101,322.082581
139.521298,101,323.882485
306.779356,131,326.093105
212.530759,107,327.876672
648.531973,171,330.853617
274.150405,146,333.268566
271.346762,123,335.313231
114.097242,90,336.905236
216.791236,140,339.312862
174.797638,83,340.712818
200.778798,120,342.84804
185.79162,98,344.611028
257.396985,140,347.009551
187.373817,104,348.795411
129.26016,79,350.123226
199.314121,185,353.36809
216.307869,133,355.906596
273.955712,127,358.191047
207.42303,119,360.366829
