#{"t_start": 1762918928.7521443, "env_id": "None"}
r,l,t
40.695402,82,1.291116
53.431306,84,2.740603
33.169187,67,4.063866
32.792196,67,5.271906
42.769119,67,6.442877
87.065065,79,7.84733
70.830602,77,9.283508
58.881395,78,10.667166
133.658207,97,12.436307
105.814589,83,13.957225
150.479584,88,15.544178
58.345811,97,17.28937
86.689763,102,19.130634
139.544457,99,20.920261
163.681134,112,22.879008
39.280495,52,23.809298
132.848656,107,25.776912
83.162439,84,27.316748
144.983127,106,29.256722
169.968505,115,31.843528
172.184998,130,35.394768
119.625113,99,40.422968
88.458244,81,44.449741
142.045163,97,50.015566
148.822435,103,55.209693
91.384574,108,61.387078
74.705708,84,65.637568
131.71154,73,69.302266
135.302007,119,77.074415
62.314851,62,80.672112
147.035181,93,85.736128
109.207923,105,91.53506
94.496969,82,96.675419
104.368424,95,101.94892
214.167267,117,108.526572
115.142973,81,112.88567
128.878485,125,119.33666
121.52122,107,125.334919
128.053683,101,130.875227
69.940523,68,134.621939
122.785827,99,139.864632
123.45996,93,144.542427
103.719192,78,148.457036
154.444214,105,153.921347
115.16219,102,159.230762
132.007923,84,163.542628
90.659187,76,167.581038
142.975214,90,172.316163
115.057829,84,176.64911
152.731518,117,182.611688
102.976209,91,187.209315
82.977625,80,191.493621
149.756871,107,196.916005
142.319254,124,203.265084
135.697769,107,208.980615
161.333708,107,214.530224
144.131805,112,220.447168
101.219825,84,224.629205
155.78258,96,228.558787
90.037873,77,230.091993
132.136443,109,232.138677
144.665303,90,233.756052
186.789885,117,235.912025
133.060067,103,237.904831
74.911148,61,239.0983
128.448149,96,240.922688
81.713165,97,242.697317
94.863406,105,244.62165
103.042274,107,246.586006
126.021566,103,248.554766
115.841902,102,250.455694
143.970238,97,252.197571
126.321851,112,254.299459
193.787464,122,256.774619
90.774668,94,258.513411
157.123495,116,260.653605
70.05905,90,262.293395
168.502295,100,264.025454
121.644236,102,265.783803
117.166334,94,267.445037
73.899497,93,269.065643
118.5312,90,270.636886
142.299342,109,272.504082
186.275443,138,274.894502
247.695186,127,277.084297
156.207273,106,278.984545
171.677419,134,281.324415
131.784104,122,283.437018
185.197957,119,285.479532
119.00008,122,287.573497
81.299486,94,289.212654
127.891687,90,290.760391
120.985514,89,292.326754
117.334168,97,293.989096
100.487744,109,295.854708
166.474822,119,297.906156
50.501464,69,299.101029
87.888173,76,300.395865
123.857226,93,301.997559
109.010361,109,303.852425
131.546542,110,305.774503
73.670006,81,307.172966
138.04384,102,308.91441
71.952839,72,310.139906
127.435892,97,311.798687
163.660261,124,313.895938
135.849186,105,315.720695
159.345442,118,317.864317
140.503956,103,319.849874
139.248718,93,321.554748
133.832665,123,323.632247
130.102629,86,325.109369
164.296496,128,327.310964
136.802618,126,329.494222
281.228775,128,331.682281
110.952203,80,333.155546
102.079953,89,334.714717
49.92098,87,336.225177
109.548901,102,338.00767
157.060801,128,340.250113
98.971368,86,341.75851
147.175817,111,343.756937
63.755431,70,344.997561
95.260054,72,346.235648
95.813457,84,347.687507
163.613598,100,349.416384
130.775327,107,351.267779
90.957304,95,352.931923
143.191545,129,355.229766
168.867772,110,357.134102
236.69825,102,358.962527
88.071146,77,360.38114
112.251074,85,361.866889
117.467625,120,363.970119
162.432682,123,366.156626
162.030172,121,368.442726
179.214092,99,370.164391
187.568815,123,372.276455
164.326085,121,374.380959
164.113336,103,376.190909
160.567246,106,377.980247
177.637155,122,380.040624
139.600282,130,382.462433
108.475667,89,384.159427
111.812225,108,386.013366
94.779015,112,387.943251
210.344738,120,389.985833
98.601397,84,391.421192
86.897739,79,392.781266
176.323887,125,394.915179
187.674472,139,397.331863
219.450502,126,399.466863
146.14077,135,401.772095
207.096376,135,404.043158
124.738218,96,405.668508
90.36435,90,407.202916
183.671552,121,409.241652
164.816369,108,411.063944
121.900713,108,412.904881
108.123764,111,414.782647
178.508591,112,416.673401
161.899936,127,418.903903
141.622723,135,421.386556
112.022004,96,423.058189
204.44034,139,425.597117
67.643403,77,426.973975
201.073603,117,429.048562
177.701781,105,430.968819
114.68564,107,432.868636
125.955643,112,434.853205
158.131977,104,436.687645
164.083463,88,438.191108
109.85171,96,439.958255
130.094907,92,441.593164
210.356754,115,443.630287
136.045626,125,445.997601
145.321756,102,447.953147
186.398877,125,450.104005
211.560737,142,452.707697
174.335445,126,455.00365
168.590334,129,457.26269
106.687702,103,459.117777
114.123097,81,460.530528
151.029097,117,462.595935
113.348091,138,464.98705
134.494482,105,466.854741
311.052736,160,469.671233
117.859966,122,471.968467
173.270662,126,474.319342
148.130806,148,477.663162
54.551658,83,479.507362
93.266738,77,481.212002
125.471461,136,484.306765
83.974642,98,486.412819
121.057774,130,489.18595
173.120987,138,492.152816
89.587654,94,494.131535
122.110641,100,496.3616
138.781915,141,499.470084
130.965119,126,502.215925
129.213173,87,504.107962
84.708247,113,506.702954
151.921304,136,510.215913
163.932134,99,512.333434
123.659974,89,514.019973
109.514556,77,515.518006
150.369169,112,518.189155
57.852328,59,519.566073
244.208946,157,523.262754
263.901545,147,526.717445
96.931842,86,528.730427
70.510692,102,531.140806
90.747803,68,532.684931
143.52075,106,535.194414
197.726696,127,538.136137
96.729901,79,539.944851
115.998371,121,542.818618
191.388061,141,546.077543
146.939228,137,549.279309
227.844264,130,552.314295
85.649003,76,554.045347
34.014692,51,555.286089
140.362134,125,558.232661
69.889034,111,560.799846
184.750966,116,563.606713
155.400573,155,567.196872
193.445235,129,570.112808
91.957128,95,572.367911
168.056744,122,575.299537
48.365002,54,576.848636
191.942402,139,580.31576
156.220579,128,583.015301
94.609506,116,585.178245
170.360749,144,587.913935
193.618007,153,590.922209
160.060595,137,593.488592
211.749977,171,597.787868
96.108884,113,603.400776
93.398676,98,608.307459
119.8843,111,613.753467
153.973883,154,621.472737
170.876987,155,629.786453
87.032456,103,635.192659
196.50363,149,643.168364
99.995288,76,647.062149
150.879951,111,652.733623
223.070548,120,658.927866
145.741409,120,664.914269
166.745043,130,671.356043
111.040951,117,678.594267
152.197505,108,684.05512
205.985002,155,691.774632
80.042738,67,695.084888
86.48308,86,699.323403
203.593297,138,706.416999
90.146296,76,710.067319
139.310234,102,715.128963
172.887001,124,721.322401
112.86734,133,727.975024
114.335591,81,732.023773
168.430647,130,738.573929
175.3239,125,744.873476
146.271837,154,753.809726
214.316779,145,761.478366
151.909937,125,768.126215
148.561308,137,775.30504
91.536167,67,778.80207
65.068478,75,782.677839
124.088456,92,787.444398
159.376717,124,793.953747
177.924026,120,800.057156
226.609007,138,807.364673
163.362462,135,814.244202
151.576056,99,819.8162
145.508174,124,826.320329
120.267172,92,831.005327
158.632687,163,839.27616
179.215758,114,845.116591
135.069887,96,850.050589
155.497565,115,855.989821
226.447433,151,863.794336
136.434781,112,870.006113
245.297442,127,876.778248
176.868043,155,884.593553
234.369583,153,892.2971
185.48408,133,899.48266
