#{"t_start": 1762915599.9395216, "env_id": "None"}
r,l,t
40.874895,75,1.051646
17.356799,45,1.52693
78.906203,72,2.77199
54.921303,106,4.5041
42.1988,55,5.37201
62.664968,60,6.304917
43.366998,66,7.341644
17.224968,46,8.091054
64.185319,63,9.082801
75.3947,66,10.121686
50.562847,63,11.120566
60.827852,58,12.029765
53.3159,60,13.004404
78.469229,76,14.26871
99.485903,65,15.391001
37.800939,53,16.312344
59.748834,61,17.332355
61.010058,64,18.400622
92.850666,72,19.56833
56.800404,59,20.683412
69.823224,65,22.031417
76.185632,80,23.861241
94.778889,71,25.440685
110.296214,85,26.926359
98.724177,89,28.461916
202.265507,113,30.348141
181.351815,117,32.432651
186.298526,121,34.774446
93.103925,84,36.289724
155.039962,91,37.872864
239.923205,152,40.540268
133.276682,94,42.178651
79.936382,83,43.767009
160.3878,100,45.583541
152.184858,105,47.346895
160.778586,120,49.685316
57.052562,61,50.869741
210.839138,116,53.12414
230.481258,109,55.645952
240.980062,97,57.329757
344.912705,143,59.729861
181.93588,112,61.606013
123.676108,98,63.293605
318.070851,122,65.417427
251.143085,122,67.488995
251.953413,188,70.655428
86.603721,73,71.893714
169.667724,120,74.056845
133.115213,84,75.590627
95.620186,103,77.272408
164.891424,101,78.895993
184.05262,106,80.768952
170.488403,98,82.335493
113.010476,94,83.998753
188.638789,151,87.050372
127.369572,84,88.696804
172.554157,89,90.262737
132.002725,112,92.245971
204.561108,148,94.836725
100.42657,60,95.93046
219.120287,131,98.297717
76.089732,66,99.404168
132.090189,75,100.702542
472.424264,121,102.757923
95.689414,80,104.332881
142.938878,90,105.993138
86.667064,70,107.148908
148.917257,92,108.672723
151.635439,91,110.249315
96.702479,73,111.755763
165.96974,99,113.700989
196.343829,134,116.060457
168.852978,98,117.884061
124.460478,116,119.880432
39.618991,56,120.809797
155.693551,91,122.369733
64.838717,63,123.527617
116.762324,99,125.250283
55.784139,58,126.278474
124.216172,81,127.65026
86.117861,76,128.858168
121.763186,77,130.158737
113.562814,77,131.435839
91.708804,70,132.586983
72.185802,71,133.772431
188.47323,101,135.476963
191.066582,92,137.015122
188.90141,115,139.013613
18.562304,45,139.823251
199.795131,131,142.139542
160.358791,183,145.238669
162.749019,120,147.187319
86.738623,68,148.412959
116.090619,80,150.005824
87.558827,73,151.324975
262.439171,148,153.847537
221.74113,131,156.115961
57.745635,57,157.048099
111.39323,82,158.455295
118.417987,82,159.830751
135.365465,89,161.300158
169.649656,128,163.542444
302.866794,157,166.221299
86.714115,105,168.035216
134.425442,90,169.683694
377.95492,157,172.462154
200.783878,122,174.570454
244.26773,162,177.204258
77.936189,67,178.348909
110.623057,75,179.649957
66.043681,54,180.513196
121.96585,101,182.135575
178.802721,129,184.270049
139.868431,96,185.841262
142.439829,101,187.479905
198.452383,139,189.747647
161.538538,135,191.956106
160.682772,123,193.974662
139.00519,131,196.16032
188.379345,77,197.439491
228.989013,90,198.868199
153.35657,111,200.649086
275.210564,181,203.53841
229.877611,147,205.965345
162.742346,101,207.554178
205.556205,135,209.714204
139.763646,106,211.535937
226.974974,153,214.101911
182.972933,118,215.94926
129.035295,82,217.250565
399.138612,187,220.17407
296.842527,191,223.196732
145.332981,91,224.662057
90.2806,86,226.095683
466.8285,176,228.922784
237.866204,102,230.52272
135.158605,67,231.604011
153.394332,128,233.715681
142.211547,75,234.92371
88.698523,74,236.136909
121.537582,72,237.283509
57.698371,64,238.297559
243.368131,145,240.599417
164.399862,88,241.982205
130.674855,83,243.321437
260.130621,128,245.352795
111.912999,71,246.482848
192.568763,101,248.086093
194.379,80,249.337329
148.138543,116,251.138343
189.434677,114,252.930732
108.906698,101,254.515701
204.017134,116,256.325227
162.461131,86,257.653121
223.354436,118,259.486893
225.156973,129,261.521932
71.351912,71,262.633143
159.402546,93,264.116197
521.046413,265,268.360238
140.813113,94,269.914384
128.397276,90,271.33798
196.786468,134,273.581435
368.93607,211,277.036131
317.21574,154,279.455937
287.686572,134,281.562705
514.269285,172,284.317631
195.751789,120,286.291349
46.671224,57,287.201548
83.586094,70,288.301904
141.004054,95,289.783054
71.889053,61,290.735794
156.815679,132,292.81146
185.243856,119,294.715542
109.961179,69,295.813236
126.395403,87,297.183482
98.688485,95,298.687806
148.060778,105,300.341576
79.443767,61,301.305202
292.927498,117,303.314476
139.329716,91,304.859118
102.568535,74,306.115693
175.647235,95,307.842182
214.049317,127,310.169038
163.352481,98,311.803214
128.988043,90,313.414493
130.513878,114,315.438294
146.183974,97,317.09839
113.972385,109,318.881783
73.375628,60,319.853126
87.753282,65,320.930915
132.640347,127,323.092015
163.926634,138,325.410897
59.55952,66,326.485425
139.342379,87,327.884459
128.226012,93,329.413231
106.232759,107,331.175933
125.943675,105,332.934573
142.63106,75,334.22928
192.980503,130,336.610528
150.094665,83,338.057971
