#{"t_start": 1762840241.745257, "env_id": "None"}
r,l,t
191.38522,12,0.837417
377.719598,19,0.93453
229.486173,13,0.984514
463.120476,15,1.030405
294.993422,16,1.087853
303.765701,18,1.140316
238.01352,15,1.26777
218.406614,14,1.475138
671.225144,25,1.849084
279.680323,21,2.162398
238.544931,21,2.463845
332.811884,17,2.714031
456.88264,24,3.076453
247.383047,16,3.316347
541.698829,19,3.59619
321.355998,19,3.87506
629.554161,39,4.443378
519.561998,17,4.690077
720.946964,27,5.075048
767.219908,28,5.489453
273.046563,18,5.756859
199.128379,13,5.94276
328.444983,18,6.230876
475.180205,23,6.583213
168.455598,12,6.762095
653.705157,31,7.215231
331.649521,21,7.517226
320.705463,13,7.70294
210.518816,16,7.932718
255.262418,16,8.191262
416.448281,31,8.667019
228.493383,12,8.840379
727.654863,30,9.273161
568.239676,20,9.558012
297.687079,15,9.770698
389.518263,15,9.982543
463.452204,39,10.544586
192.777084,17,10.80542
122.140323,13,10.995976
88.542017,11,11.15236
121.860954,13,11.338014
242.616048,15,11.559484
523.213796,22,11.876316
147.291978,14,12.079858
392.449193,26,12.445165
543.563008,29,12.855672
183.824617,16,13.087742
512.140607,37,13.630789
336.700424,24,13.98779
923.956073,39,14.549214
113.481039,11,14.724326
379.744651,26,15.112313
128.636354,12,15.292518
377.749297,28,15.724795
167.611621,13,15.937282
236.584852,18,16.2117
217.107056,16,16.469212
129.33837,12,16.659389
309.424798,24,17.028306
535.767308,38,17.650904
291.431875,18,17.931308
405.21986,27,18.365728
218.599856,17,18.651194
278.482894,20,18.951363
288.165622,19,19.249015
286.367417,22,19.575418
716.832859,26,19.970238
195.200771,15,20.197709
253.726615,24,20.567806
238.402093,17,20.838169
247.603781,20,21.190623
283.368803,22,21.54827
137.319178,14,21.768746
327.211791,16,22.040143
193.059769,13,22.266987
351.61882,29,22.703613
404.635734,32,23.186204
188.256124,21,23.514121
184.076879,17,23.764465
314.997142,25,24.150439
443.364066,24,24.518439
140.999771,14,24.739485
368.224248,14,24.962131
422.178768,28,25.428351
238.575467,23,25.78657
202.433315,26,26.191075
220.274732,25,26.578159
324.710625,29,27.031251
494.743466,31,27.512148
714.752197,32,28.003476
434.401965,30,28.468706
105.400147,14,28.706506
202.226882,16,28.986366
261.197195,20,29.302135
328.085639,28,29.726706
81.510204,12,29.900799
207.006866,20,30.186683
595.802362,41,30.77801
186.042743,23,31.117815
197.710691,20,31.422837
551.289416,45,32.094021
127.732169,11,32.268392
356.565043,18,32.55209
194.208829,19,32.850382
81.760735,11,33.01967
231.170479,21,33.334496
452.518492,28,33.750817
545.225369,33,34.223382
144.411585,14,34.424764
269.454885,24,34.776034
193.143726,15,34.990558
313.959215,22,35.305499
168.022495,13,35.496149
91.770397,15,35.711087
162.929209,14,35.912933
120.347,11,36.06951
147.100774,19,36.340976
136.937601,17,36.589329
78.141172,12,36.76474
335.543154,30,37.224599
218.684492,11,37.398859
140.784566,16,37.648742
227.904872,21,37.988506
213.088328,20,38.358784
236.588009,20,38.698335
222.758227,23,39.057134
527.821005,42,39.686361
170.667951,14,39.894778
202.582512,15,40.110766
276.098349,24,40.462879
140.699858,12,40.643086
278.149694,16,40.889038
143.708392,11,41.052478
81.500978,11,41.21165
103.070525,12,41.381679
185.33328,15,41.604074
246.617179,24,41.964177
379.375977,29,42.377467
302.496423,27,42.767577
143.015242,16,43.00977
184.220334,15,43.236017
381.40245,24,43.583349
131.863666,11,43.740427
419.338994,36,44.268458
450.899911,16,44.517889
204.617978,14,44.735288
118.226418,13,44.931534
249.745412,22,45.25534
69.748872,11,45.420572
195.8554,20,45.720048
296.552948,16,45.965322
239.85033,22,46.298198
372.795036,33,46.795229
401.808654,26,47.177674
156.814633,14,47.395751
141.297223,15,47.63026
214.269528,16,47.878599
176.258206,21,48.221319
189.928752,14,48.435914
290.702339,22,48.818202
276.978633,28,49.261381
158.848251,17,49.519281
259.071182,16,49.767536
362.817021,28,50.197779
652.517778,34,50.72179
165.011673,18,51.019095
97.876585,13,51.228175
336.292664,21,51.556518
287.996435,29,52.055377
279.719734,22,52.419035
186.906343,12,52.606176
432.523208,26,53.02997
171.269175,16,53.280246
159.274162,18,53.570947
172.493153,14,53.80214
205.946704,21,54.129207
398.391882,25,54.498167
458.256456,31,54.943267
137.705068,15,55.166147
147.35135,16,55.423847
404.798782,17,55.697072
656.974708,28,56.12831
235.623525,14,56.354913
119.738518,11,56.53775
359.279862,31,57.038885
147.488926,18,57.335427
267.961055,22,57.672221
223.478639,15,57.91245
152.625705,18,58.221038
238.47855,21,58.585144
171.670529,16,58.83753
277.502071,24,59.192875
172.678892,16,59.456833
506.321956,18,59.723946
150.874552,17,59.982573
94.362276,12,60.161295
286.199833,21,60.474852
209.377076,22,60.829993
241.166894,21,61.193284
310.965364,14,61.431657
410.920375,30,61.944601
282.447526,20,62.280951
235.977729,17,62.564514
193.459398,25,62.98619
113.061332,12,63.190467
199.847727,13,63.405054
350.921342,18,63.705929
113.65994,12,63.92562
213.150976,23,64.285902
601.238652,25,64.647763
282.729531,29,65.069986
291.242403,22,65.410663
680.211498,38,66.004597
300.825376,25,66.397221
255.46606,24,66.777588
179.020255,23,67.154979
181.035133,12,67.356136
216.895147,15,67.598723
245.843005,19,67.899909
470.623518,44,68.633682
141.973844,17,68.92852
219.13569,19,69.21638
190.239497,18,69.498658
149.845309,18,69.775419
140.665693,17,70.044337
544.580676,20,70.352675
317.58168,30,70.820211
553.588575,36,71.378025
145.769574,16,71.634947
187.862246,20,71.931772
200.176681,17,72.187391
227.506522,22,72.535004
174.026523,17,72.808437
102.998553,12,72.991324
167.178318,13,73.199528
126.669273,14,73.41846
167.423016,14,73.63036
254.104853,26,74.024911
318.464353,22,74.352302
230.645753,20,74.644544
172.530783,13,74.836524
163.516397,19,75.114597
353.42264,29,75.540247
135.454581,15,75.756096
454.718168,26,76.142658
546.246879,29,76.588748
130.442948,13,76.794532
153.569292,13,76.992358
190.144578,15,77.218851
221.133497,17,77.470656
222.080834,17,77.726732
197.338853,18,77.996397
160.237822,14,78.225778
130.951703,15,78.453646
80.462836,11,78.643124
294.890333,22,78.984135
133.389393,18,79.251189
404.379322,37,79.827211
247.991725,21,80.140847
411.686321,21,80.457086
622.067048,25,80.834905
176.878611,12,81.019973
225.581022,18,81.287324
309.515005,16,81.534439
276.078378,22,81.870616
464.216968,28,82.299291
103.996813,13,82.497204
635.282574,54,83.350991
207.622646,15,83.58072
320.284109,23,83.917571
268.528484,25,84.282269
66.656194,11,84.445821
64.896512,11,84.614187
145.056646,15,84.829913
174.084176,12,85.002977
143.750409,11,85.184197
276.889266,22,85.519678
199.439456,19,85.820781
96.908113,11,85.989233
360.745398,22,86.320435
294.759652,27,86.748113
202.927851,16,86.99116
214.170079,25,87.386896
181.636799,12,87.572692
339.240833,37,88.115043
78.342578,11,88.297542
280.3224,16,88.54313
231.205567,19,88.862093
360.531877,27,89.278008
486.126465,37,89.851922
131.438684,14,90.074262
366.344219,28,90.512062
65.731911,11,90.674882
155.248531,19,90.995124
138.916251,13,91.219066
153.596908,12,91.412034
270.426463,16,91.660161
147.723094,13,91.852709
249.041095,20,92.159063
177.987304,15,92.392834
174.260794,16,92.661226
577.012414,27,93.081623
301.408955,23,93.447661
141.966555,16,93.700446
322.696223,25,94.094595
382.641881,25,94.478061
222.093776,12,94.66769
424.763042,27,95.083596
255.748375,12,95.260666
81.445841,11,95.420919
103.710097,12,95.599792
265.45626,18,95.865767
265.269117,22,96.184239
168.583801,22,96.513066
136.273719,16,96.745769
131.809999,12,96.92074
129.078229,12,97.10061
273.244415,21,97.408958
238.23179,22,97.734887
175.107442,13,97.927729
96.528381,11,98.086211
187.522761,18,98.37418
352.641855,22,98.744124
105.806282,14,98.966091
359.395429,19,99.266715
428.225916,22,99.606692
171.261836,15,99.829287
309.840392,27,100.234325
205.448014,18,100.507741
214.035985,18,100.779246
221.923382,22,101.126075
176.727415,14,101.341186
283.369766,14,101.559192
273.071967,27,101.970149
180.100881,17,102.220966
222.512382,19,102.515319
140.951738,13,102.715324
152.225825,15,102.943444
515.60434,41,103.604349
235.380635,27,104.032295
165.064576,26,104.449707
123.248167,20,104.774727
132.473627,17,105.047658
173.394314,26,105.462632
149.198061,12,105.649764
188.18631,22,105.998132
156.299446,12,106.175261
216.994281,13,106.379139
379.805751,24,106.761096
522.630812,26,107.159851
280.979894,26,107.551254
269.013696,31,108.041605
287.655904,23,108.42241
242.14787,23,108.810085
306.371412,18,109.084454
166.182602,18,109.363109
463.379626,26,109.766507
176.149242,22,110.104443
252.237294,19,110.404024
188.539381,14,110.615236
274.346294,13,110.811254
370.055449,31,111.285496
224.308002,21,111.614165
258.895226,21,111.943761
262.757184,17,112.212837
176.576691,22,112.574896
227.032279,17,112.850959
420.601733,19,113.170951
269.183097,21,113.518537
184.123832,15,113.760773
189.240763,18,114.074531
117.413605,11,114.26362
93.149857,11,114.44112
204.470725,24,114.817788
219.687266,16,115.055071
245.122016,17,115.317566
530.077975,21,115.640462
182.516794,23,115.99133
172.569272,15,116.223176
337.784358,18,116.488899
264.531814,25,116.875016
226.150527,28,117.299671
152.997278,17,117.557381
402.364549,28,117.980688
104.760361,14,118.200327
327.661644,29,118.689097
192.097531,18,118.96932
208.132994,18,119.245773
115.76503,11,119.413796
229.949093,18,119.690163
130.151887,15,119.921423
342.452676,35,120.455683
225.131939,17,120.717267
278.946857,22,121.081161
210.013632,17,121.343745
209.781423,13,121.540694
178.940881,19,121.8325
109.704369,11,122.001567
125.826777,14,122.218642
174.971479,18,122.496422
219.217451,18,122.772827
213.433205,20,123.082174
219.621408,14,123.300312
217.753489,12,123.483165
116.154537,12,123.664636
206.437209,18,123.940507
172.221151,15,124.19086
203.321391,19,124.55708
223.029087,20,124.912096
236.641802,20,125.253365
268.186263,19,125.572192
198.085776,15,125.860903
195.815648,22,126.259235
203.576163,14,126.511026
233.467171,15,126.778434
251.988468,24,127.205117
241.052856,20,127.54679
179.341409,11,127.72673
277.160829,25,128.113965
316.632778,28,128.587262
297.720567,31,129.120976
308.602204,26,129.542366
106.038434,12,129.72848
162.972615,15,129.965216
196.436339,11,130.137673
146.494804,12,130.368382
277.302844,25,130.779339
136.183885,11,130.977919
131.640439,12,131.176627
144.330793,16,131.433694
224.355584,12,131.616741
103.896808,11,131.786769
204.886928,11,131.957282
254.47148,18,132.224071
236.932916,26,132.607671
299.761164,19,132.894181
84.478736,11,133.061661
342.199852,19,133.361623
166.070688,14,133.577798
264.437993,30,134.040232
133.238267,12,134.21589
282.51354,26,134.615341
227.956935,17,134.879056
461.506566,27,135.300076
295.782252,22,135.625812
395.050114,26,136.008392
195.674063,22,136.344384
229.581605,15,136.573624
159.325941,12,136.759453
298.705239,20,137.067551
342.086691,26,137.452339
258.324578,22,137.783813
210.732197,20,138.085896
136.596144,12,138.290671
217.517959,12,138.475056
171.267633,11,138.659894
394.207263,41,139.276065
163.551046,13,139.470948
172.979728,14,139.679757
122.356653,11,139.849953
220.29039,12,140.02999
223.092906,22,140.368761
190.332098,16,140.611964
147.774826,15,140.830784
189.035265,17,141.112164
217.76607,17,141.375393
437.414809,39,141.994561
261.360252,25,142.373401
398.323149,23,142.748072
117.956743,12,142.939427
279.321065,26,143.338809
193.161473,12,143.521
123.49618,12,143.710273
170.436651,14,143.931188
156.301487,14,144.148712
486.194185,17,144.409558
235.7519,14,144.626221
250.10774,22,144.963496
106.247471,11,145.149009
155.512515,11,145.326556
103.518204,12,145.532443
319.820634,28,145.962524
205.562351,20,146.274779
151.754234,11,146.460147
154.989583,16,146.717748
150.928962,14,146.937059
170.973135,12,147.119879
186.173585,17,147.416789
370.95975,14,147.631329
152.533019,15,147.867884
320.820768,20,148.171387
178.043202,18,148.467029
306.988252,22,148.837545
434.574707,32,149.345378
196.277482,14,149.552915
120.113802,11,149.726754
318.061287,26,150.114453
256.8175,20,150.419987
181.061921,19,150.707785
251.47856,15,150.947557
160.579212,16,151.19293
106.485302,11,151.364216
168.290333,16,151.613033
111.813519,14,151.834551
149.187786,12,152.031538
286.626687,25,152.429111
186.196422,16,152.689886
101.761974,14,152.912823
262.6158,17,153.185664
264.141207,18,153.472359
187.761759,20,153.784535
133.631819,12,153.970963
203.855183,15,154.213349
199.471478,13,154.422778
148.522125,14,154.648154
217.971558,17,154.875432
