#{"t_start": 1762916113.0418923, "env_id": "None"}
r,l,t
38.191783,102,1.233107
115.611379,84,2.750454
120.269683,72,3.936752
118.723249,70,5.080513
130.118296,81,6.404685
78.010723,69,7.550591
107.713066,76,9.090923
83.989841,74,10.755222
85.514823,73,12.170269
53.722569,54,13.06735
49.751582,53,13.93375
49.931391,55,14.861411
113.920596,82,16.274765
118.402225,74,17.523411
88.639089,71,18.705553
71.280393,66,19.863466
72.949182,76,21.224529
123.510816,82,22.699788
91.699948,73,23.994607
132.609989,89,25.586721
100.090828,90,27.172455
100.442103,76,28.475503
80.989685,85,30.013309
48.864239,55,31.07231
53.53476,60,32.140285
61.124608,92,33.731839
64.015981,58,34.79691
112.512963,80,36.128398
115.868202,90,37.637995
59.155997,98,39.23604
80.474843,68,40.427093
76.388841,69,41.531716
81.397266,81,42.857353
129.440571,85,44.202629
108.636614,77,45.435383
141.965606,92,46.920492
85.708737,75,48.176181
113.125281,70,49.291528
42.192025,58,50.25854
88.348976,79,51.494229
134.852715,89,52.951377
198.68618,95,54.47924
127.79003,93,56.078068
72.266238,68,57.177267
156.705054,98,58.749814
117.059351,82,60.048952
84.773196,68,61.153543
108.281251,70,62.257705
120.009644,81,63.582467
69.770597,63,64.660115
81.691464,65,65.757468
95.798265,81,67.156432
130.353927,93,68.712255
121.954565,97,70.339495
127.798774,98,72.321984
230.700047,109,74.216727
212.881321,112,76.095474
87.542769,77,77.364736
110.48305,83,78.725214
163.921325,119,80.850299
169.08354,97,82.464871
149.616018,106,84.157959
120.122205,102,85.781878
137.722364,101,87.371478
115.990288,71,88.490201
119.041705,95,89.990184
101.879594,80,91.306701
207.144856,120,93.244577
137.421546,118,95.111669
135.007078,82,96.406342
81.866826,57,97.295266
100.561061,55,98.151612
184.978816,116,99.995845
246.297643,124,102.015555
209.27962,128,104.153068
135.693549,113,105.948996
155.209649,104,107.606226
162.467166,88,109.008658
175.591154,95,110.568309
185.170517,87,111.951684
172.560524,107,113.675363
91.00299,64,114.698223
134.373111,86,116.059813
131.481961,120,117.988123
118.406621,118,119.876449
245.372922,138,122.10432
360.068191,150,124.483333
98.761931,78,125.778759
159.007053,81,127.052668
311.620748,103,128.676409
289.891176,127,130.777757
127.586858,95,132.311209
362.155274,170,135.207302
297.508079,158,137.739858
182.324549,119,139.621868
101.361994,67,140.716907
70.276484,57,141.609498
173.374392,104,143.334908
269.474615,162,147.041925
177.468942,75,149.192027
341.954439,168,152.931784
156.671655,146,156.527673
172.395948,133,159.153692
178.170136,117,161.314748
258.136904,103,163.117774
360.813924,137,165.592447
296.251857,206,169.447159
156.938231,94,171.135395
266.089795,178,174.397223
197.546177,149,177.179314
113.432387,66,178.400285
146.30809,108,180.348436
232.069736,122,182.580109
229.202985,131,185.175407
522.289139,198,188.68202
317.880248,152,191.361276
204.092915,141,193.913666
210.376953,115,196.385638
217.224253,143,198.904512
222.598976,114,200.863549
241.896204,113,202.707938
229.516833,180,205.892972
302.103854,195,209.193825
214.993264,141,211.474613
217.638044,157,213.974313
254.933179,144,216.233922
317.964308,154,218.665864
196.333153,151,221.089143
231.299324,154,223.525182
79.882256,76,224.728219
269.792172,141,226.954192
147.135825,110,228.720673
234.878192,118,230.618849
269.378593,156,233.07606
45.69476,51,233.900977
343.90056,151,236.444139
628.344324,177,239.3648
366.748252,184,242.539493
148.506919,94,244.049724
286.89609,185,247.146948
147.706534,149,249.639885
118.141717,83,251.038711
152.370115,99,252.640475
240.332427,134,254.939893
254.790099,173,257.968363
260.600442,165,260.828893
280.926841,151,263.290497
356.991998,162,265.925542
352.154407,109,267.720399
141.314363,80,269.039149
173.197641,76,270.334106
142.798031,77,271.610961
253.705925,155,274.155734
261.156025,166,276.995254
178.885219,97,278.613902
357.402822,159,281.240102
152.74956,114,283.11264
123.190442,90,284.588118
122.78006,70,285.715194
334.111879,166,288.456162
371.075296,168,291.269546
407.222572,180,294.216626
136.043517,76,295.453462
431.923684,194,298.694325
182.287716,84,300.061716
276.897199,177,303.060419
416.610798,165,305.931344
271.657772,220,309.748357
260.858501,133,311.974321
296.197934,119,313.98342
416.396919,157,316.587388
150.747345,134,318.972675
228.506083,141,321.581172
265.663571,148,323.971606
295.750733,135,326.111231
271.392542,143,328.386525
429.140993,225,332.06032
776.12274,180,334.930559
229.782868,137,337.220539
183.134209,104,338.877903
93.855589,59,339.821899
