#{"t_start": 1762873928.097438, "env_id": "None"}
r,l,t
7.041418,43,1.54699
10.474493,47,1.979205
14.560858,58,3.031427
8.916626,46,3.960025
16.792263,55,4.955892
13.781321,52,5.95986
18.874787,88,7.653998
9.327485,47,8.554555
16.279168,73,9.901652
10.102459,47,10.738231
4.02114,41,11.518788
13.372373,56,12.555881
19.347309,88,14.158508
8.995691,46,15.042074
7.308833,44,15.875134
7.881593,44,16.724702
6.701723,43,17.517266
12.113503,49,18.441883
11.925118,48,19.312982
12.748832,74,20.675176
11.053839,48,21.535839
20.79968,65,22.763555
10.407774,52,23.765738
12.166614,66,25.008068
16.349457,63,26.186762
24.7347,109,28.230175
15.091725,68,29.587945
15.606212,64,30.824789
12.577943,55,31.853029
15.299841,64,33.03685
8.907873,46,33.886908
9.957838,48,34.771583
6.273951,43,35.578273
16.149721,54,36.549481
14.806072,72,37.909707
18.471217,61,39.041056
17.809245,80,40.561314
17.472891,85,42.097
21.773489,93,43.807766
5.711918,42,44.659056
7.881131,46,45.518697
14.643638,59,46.734432
6.831379,43,47.59211
6.141384,42,48.386805
17.700503,89,49.995371
12.269776,62,51.13445
20.897446,87,52.737054
9.464421,46,53.59161
22.961776,79,55.159282
6.713516,43,56.055871
8.080361,46,57.010964
10.847337,48,57.928029
11.869579,50,58.875604
5.191608,42,59.694684
10.475977,47,60.659272
15.763889,108,62.794936
12.384599,50,63.78803
15.212094,79,65.285165
20.56688,89,67.050807
13.79271,76,68.514913
8.016124,44,69.338467
9.653598,47,70.217555
12.022227,50,71.113596
12.61328,54,72.127682
8.804496,46,73.012761
7.820435,44,73.806317
24.0895,120,76.025989
16.627082,78,77.460715
10.985682,48,78.352391
9.985295,47,79.248385
9.951626,46,80.132099
8.001251,47,81.018273
12.115442,50,81.954732
14.434103,56,83.000471
7.447263,44,83.82001
10.143378,48,84.69717
12.500941,50,85.598394
16.389603,74,86.925138
13.729297,53,87.892944
16.50801,55,88.886773
20.950239,90,90.516696
10.929318,47,91.361512
10.113191,48,92.239679
6.904839,43,93.017339
8.803261,45,93.832881
