timesteps,best_solution,best_global_value,episode_reward,episode_length
490,332.9211322525649,332.9211322525649,22.817215,490
1026,353.29198857516417,332.9211322525649,19.433469,536
1423,336.53704835584506,332.9211322525649,21.006754,397
1875,343.7910138802114,332.9211322525649,18.433741,452
2288,361.4070010212978,332.9211322525649,19.353923,413
2557,417.8229479246604,332.9211322525649,7.217888,269
2954,330.62747665544657,330.62747665544657,24.633656,397
3162,389.00576753257667,330.62747665544657,8.226185,208
3349,385.21366141922084,330.62747665544657,6.733428,187
3709,360.872405496499,330.62747665544657,14.653847,360
4075,334.54096324804374,330.62747665544657,17.428648,366
4298,393.0661962705253,330.62747665544657,7.716028,223
4655,305.50822824437734,305.50822824437734,19.730915,357
5202,333.2342859239176,305.50822824437734,23.792913,547
5792,325.3606263000977,305.50822824437734,29.496955,590
5992,385.447691842317,305.50822824437734,9.745337,200
6495,286.3252217859915,286.3252217859915,36.112662,503
6907,292.01729186435523,286.3252217859915,25.747866,412
7300,356.7850410312947,286.3252217859915,17.856705,393
7809,294.5003625841288,286.3252217859915,34.847811,509
8151,343.15602087061524,286.3252217859915,16.630341,342
8694,345.73870271075435,286.3252217859915,23.387155,543
9078,300.42738812033303,286.3252217859915,27.81392,384
9782,305.2412049283214,286.3252217859915,45.02757,704
10029,346.5465505150409,286.3252217859915,15.855151,247
10654,291.2295643460497,286.3252217859915,43.35823,625
11339,295.7550420220909,286.3252217859915,50.217463,685
11635,330.3416916085752,286.3252217859915,16.758563,296
12024,317.32546143859537,286.3252217859915,23.083598,389
12400,297.8489230967568,286.3252217859915,27.445417,376
12621,368.2642680894913,286.3252217859915,10.043039,221
12915,294.85315449385644,286.3252217859915,24.678645,294
13407,272.0664831145655,272.0664831145655,43.210238,492
13852,302.41778302086425,272.0664831145655,36.435546,445
14117,373.9308076788832,272.0664831145655,13.396053,265
14341,299.9324055015535,272.0664831145655,19.891905,224
14545,335.72161200871676,272.0664831145655,11.367361,204
15030,287.2501167767137,272.0664831145655,35.937325,485
15559,283.5822280382115,272.0664831145655,43.985476,529
15785,370.2738052138911,272.0664831145655,14.202687,226
16324,260.8839650400539,260.8839650400539,54.382802,539
16656,341.2163428153367,260.8839650400539,20.951893,332
16917,352.675630373853,260.8839650400539,16.133653,261
17348,268.2155380469855,260.8839650400539,31.715072,431
17676,305.95129466331986,260.8839650400539,24.966747,328
17967,344.3545691984785,260.8839650400539,18.428545,291
18159,404.3906619237731,260.8839650400539,6.701775,192
18281,401.26964162857087,260.8839650400539,4.404542,122
18378,578.9012583259433,260.8839650400539,1.265347,97
18558,462.26392083336617,260.8839650400539,4.063786,180
18739,415.3584272231687,260.8839650400539,7.140719,181
19040,305.319446623979,260.8839650400539,24.850897,301
19219,306.5977455848798,260.8839650400539,16.492505,179
19441,318.1973865062626,260.8839650400539,16.09288,222
19681,292.6594596803598,260.8839650400539,21.167769,240
20019,271.26141415524376,260.8839650400539,35.63039,338
20230,349.3945037425572,260.8839650400539,13.482791,211
20457,246.81142960933562,246.81142960933562,34.20082,227
20779,304.6305858041768,246.81142960933562,30.12913,322
21095,275.496513786872,246.81142960933562,32.68186,316
21332,305.67799100016174,246.81142960933562,21.632683,237
21716,266.4280935688287,246.81142960933562,48.035336,384
22146,260.56854706699676,246.81142960933562,44.875898,430
22353,304.16494571692454,246.81142960933562,18.760721,207
22658,273.9403902464302,246.81142960933562,32.068835,305
22788,344.65787742797625,246.81142960933562,8.21512,130
22999,307.71852220647304,246.81142960933562,22.655318,211
23258,326.9999420168915,246.81142960933562,19.105096,259
23439,315.35738930693316,246.81142960933562,15.360261,181
23801,254.557176392227,246.81142960933562,46.258519,362
24048,272.3986992378917,246.81142960933562,34.519462,247
24378,322.72422519996826,246.81142960933562,34.598763,330
24691,313.1094823919963,246.81142960933562,27.774375,313
24869,318.31152918242526,246.81142960933562,13.85662,178
25021,325.48911452057155,246.81142960933562,12.732588,152
25313,314.9158637840735,246.81142960933562,27.196535,292
25567,339.2416328346589,246.81142960933562,15.881287,254
25836,235.47913631431572,235.47913631431572,43.375893,269
26181,295.4099398864181,235.47913631431572,42.598479,345
26470,307.76807834398113,235.47913631431572,24.658671,289
26686,302.11259975164126,235.47913631431572,20.205187,216
26907,307.1496090848851,235.47913631431572,20.899608,221
27248,281.54746290491727,235.47913631431572,37.282755,341
27543,269.4483793794583,235.47913631431572,27.490669,295
27693,310.695436320981,235.47913631431572,14.61113,150
27894,318.2720981237985,235.47913631431572,14.279468,201
28215,240.78170956511408,235.47913631431572,42.415602,321
28431,324.24743848372265,235.47913631431572,16.232422,216
28918,247.13469284323173,235.47913631431572,57.793699,487
29202,284.1631810386799,235.47913631431572,29.738869,284
29414,294.5611204203507,235.47913631431572,19.933089,212
29656,286.4597366317711,235.47913631431572,28.943668,242
30116,270.8643894248719,235.47913631431572,52.150772,460
30438,280.0562859999234,235.47913631431572,37.350693,322
30771,225.18179031555982,225.18179031555982,56.093645,333
31022,298.0424927166165,225.18179031555982,26.388622,251
31324,283.6820746179197,225.18179031555982,33.075028,302
31493,316.3477903145997,225.18179031555982,13.780206,169
31711,271.1931677352355,225.18179031555982,25.389574,218
32136,262.22603181553046,225.18179031555982,52.463328,425
32536,295.83887970235986,225.18179031555982,34.781453,400
32786,280.12414328246325,225.18179031555982,31.417888,250
32992,310.04679516698576,225.18179031555982,17.394087,206
33187,274.6333296459229,225.18179031555982,21.616647,195
33449,271.3484259516262,225.18179031555982,33.82754,262
33647,303.2785285328407,225.18179031555982,19.988602,198
34058,223.0959629301846,223.0959629301846,62.458247,411
34642,265.20156061708974,223.0959629301846,63.354208,584
35038,288.07110077592074,223.0959629301846,39.533499,396
35236,271.1654504775239,223.0959629301846,26.519869,198
35707,245.91670230951812,223.0959629301846,52.061742,471
35875,298.0423932085647,223.0959629301846,16.823849,168
36095,290.23253635986396,223.0959629301846,23.143336,220
36392,265.78606762724354,223.0959629301846,33.462249,297
36643,269.96365058814433,223.0959629301846,23.277386,251
36950,281.49289923340757,223.0959629301846,33.290276,307
37125,315.0932581742899,223.0959629301846,14.088309,175
37351,277.4802929802504,223.0959629301846,24.525346,226
37792,295.81640312178206,223.0959629301846,43.030228,441
37998,267.4569569546493,223.0959629301846,20.974527,206
38277,264.4578247706705,223.0959629301846,30.560691,279
38582,277.1349882106421,223.0959629301846,45.759517,305
38873,276.4739204998573,223.0959629301846,30.263308,291
39461,214.64204690340216,214.64204690340216,91.910266,588
40050,268.8721808672231,214.64204690340216,69.504486,589
40397,272.7299546230414,214.64204690340216,39.746074,347
40750,271.44066285289,214.64204690340216,40.752992,353
41072,290.78940353450093,214.64204690340216,28.201344,322
41474,253.71732423328513,214.64204690340216,63.973607,402
41959,263.81742545546183,214.64204690340216,56.714451,485
42169,285.3185251924686,214.64204690340216,23.245587,210
42487,287.5401436230909,214.64204690340216,38.32605,318
42704,287.9349840255429,214.64204690340216,23.558773,217
43221,240.41785829305957,214.64204690340216,69.280299,517
43633,258.84526110305706,214.64204690340216,64.700189,412
43882,264.25421739376674,214.64204690340216,35.772906,249
44155,275.59850649957883,214.64204690340216,33.155159,273
44357,323.10805321809687,214.64204690340216,15.56482,202
44685,297.65191494065095,214.64204690340216,38.016762,328
44988,277.71143457500256,214.64204690340216,33.316449,303
45319,244.30459072787534,214.64204690340216,42.016084,331
45628,266.2488995283297,214.64204690340216,36.521552,309
45928,280.87651608987403,214.64204690340216,26.853436,300
46348,260.99285138256994,214.64204690340216,50.069726,420
46694,269.799999461553,214.64204690340216,38.823973,346
46928,315.67345713582034,214.64204690340216,20.73491,234
47204,308.8046228846008,214.64204690340216,23.46357,276
47574,262.14388188619967,214.64204690340216,33.108143,370
47976,261.34861080862635,214.64204690340216,50.138288,402
48177,251.69169808233417,214.64204690340216,27.751986,201
48365,302.1835327236538,214.64204690340216,16.018371,188
48779,241.42817154600976,214.64204690340216,51.984706,414
49046,293.0792315926979,214.64204690340216,20.923053,267
49396,273.76031941269054,214.64204690340216,32.681582,350
49661,273.23497729053383,214.64204690340216,26.491668,265
50007,246.81696343045985,214.64204690340216,42.782268,346
50406,291.4987647753738,214.64204690340216,43.443108,399
50694,274.3015821885038,214.64204690340216,31.269351,288
