rollout/ep_len_mean,train/learning_rate,train/actor_loss,time/fps,train/n_updates,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,time/episodes,time/total_timesteps,train/critic_loss,train/ent_coef_loss
248.5,0.0003,-9.470502853393555,14,893,10.0786065,0.7651879787445068,68,4,994,0.4611817002296448,-1.3530391454696655
298.625,0.0003,-15.934673309326172,13,2288,11.237561374999999,0.5038577914237976,176,8,2389,0.16427432000637054,-3.4013147354125977
314.75,0.0003,-19.56127166748047,13,3676,12.555890166666666,0.3331960141658783,286,12,3777,0.7593621015548706,-5.452749252319336
292.5,0.0003,-20.2846736907959,13,4579,11.940028,0.2546581029891968,357,16,4680,1.232088565826416,-6.705471038818359
310.3,0.0003,-21.473281860351562,13,6105,13.51966165,0.16304101049900055,471,20,6206,0.20709523558616638,-8.638481140136719
320.3333333333333,0.0003,-20.73542022705078,13,7587,14.375437291666666,0.10622312128543854,583,24,7688,0.2359008491039276,-8.969581604003906
326.39285714285717,0.0003,-20.146921157836914,13,9038,15.747980714285713,0.069916270673275,695,28,9139,0.14256072044372559,-11.329452514648438
352.0625,0.0003,-18.92099952697754,13,11165,18.384194875,0.03921555355191231,862,32,11266,0.2189154475927353,-7.656880855560303
353.8333333333333,0.0003,-17.916975021362305,13,12637,19.024466777777775,0.026952752843499184,979,36,12738,0.455696165561676,-7.514740943908691
348.025,0.0003,-16.975454330444336,13,13820,19.885493625000002,0.020692553371191025,1068,40,13921,1.883390188217163,-7.74784517288208
362.20454545454544,0.0003,-15.66402530670166,13,15836,22.029742227272727,0.0178244449198246,1224,44,15937,0.23875673115253448,-6.0691728591918945
364.2916666666667,0.0003,-14.953242301940918,13,17385,23.616759291666664,0.011279822327196598,1341,48,17486,1.2339638471603394,-3.8329358100891113
358.3076923076923,0.0003,-14.168462753295898,13,18531,24.029659903846152,0.009388917125761509,1427,52,18632,0.21034729480743408,-1.1051496267318726
349.17857142857144,0.0003,-14.592314720153809,13,19453,24.089278250000003,0.008494650945067406,1496,56,19554,1.0865819454193115,-0.6065269708633423
342.5,0.0003,-13.611236572265625,13,20449,24.131609233333336,0.008819201029837132,1572,60,20550,0.33664578199386597,2.1629834175109863
341.59375,0.0003,-13.201103210449219,13,21761,24.756510625,0.00978110171854496,1670,64,21862,0.1764570027589798,2.005610466003418
337.1029411764706,0.0003,-12.512666702270508,13,22822,25.046729323529416,0.010681028477847576,1751,68,22923,0.4562264084815979,0.7084940671920776
330.34722222222223,0.0003,-12.450807571411133,13,23684,24.977914986111113,0.010537635535001755,1816,72,23785,0.1929781138896942,0.9860134124755859
326.61842105263156,0.0003,-11.889991760253906,13,24722,25.081179039473685,0.01134311780333519,1889,76,24823,0.21030940115451813,-0.6561548709869385
328.8875,0.0003,-11.369251251220703,13,26210,25.471026537500002,0.009922628290951252,1997,80,26311,0.6443390846252441,1.7953089475631714
328.20238095238096,0.0003,-11.178899765014648,13,27468,25.59806861904762,0.010314599610865116,2093,84,27569,0.6476019024848938,0.8722975850105286
326.8181818181818,0.0003,-10.339874267578125,13,28659,25.71960453409091,0.009377861395478249,2182,88,28760,0.07919476181268692,-1.4974911212921143
329.3695652173913,0.0003,-10.000931739807129,13,30201,26.332716554347822,0.009761183522641659,2299,92,30302,0.08603806793689728,0.6795476078987122
329.6354166666667,0.0003,-10.079547882080078,13,31544,26.890036385416668,0.009309884160757065,2400,96,31645,0.29891180992126465,-0.812540590763092
329.24,0.0003,-9.134678840637207,13,32823,27.16136391,0.009770665317773819,2499,100,32924,0.06696842610836029,0.9799872040748596
332.05,0.0003,-9.033868789672852,13,34098,28.083528740000002,0.00962727889418602,2597,104,34199,0.5492833256721497,-0.04014153778553009
330.09,0.0003,-8.915154457092285,13,35297,28.815786690000003,0.009074442088603973,2686,108,35398,0.29395782947540283,1.7688002586364746
326.18,0.0003,-8.728317260742188,13,36294,29.331890700000002,0.008898132480680943,2759,112,36395,0.12385568022727966,-1.4675899744033813
330.07,0.0003,-8.486138343811035,13,37586,30.318795079999994,0.008806628175079823,2857,116,37687,0.4459066689014435,0.4642716944217682
327.08,0.0003,-8.4382963180542,13,38813,30.80086859,0.008692323230206966,2951,120,38914,0.22527845203876495,3.850938320159912
325.16,0.0003,-7.741393089294434,13,40103,31.228137700000005,0.008836712688207626,3050,124,40204,0.8909900188446045,1.6147406101226807
324.71,0.0003,-7.9844069480896,13,41509,31.541294449999995,0.008929339237511158,3154,128,41610,0.18680965900421143,0.17699290812015533
320.07,0.0003,-7.91792631149292,13,43172,31.465458810000005,0.008183729834854603,3282,132,43273,0.4569551348686218,1.915863037109375
318.26,0.0003,-7.762213706970215,13,44463,31.890797220000003,0.0075418222695589066,3379,136,44564,0.3026828467845917,-1.0719096660614014
320.7,0.0003,-7.649907112121582,13,45890,32.603939329999996,0.007831446826457977,3486,140,45991,0.14514043927192688,-0.199225053191185
313.85,0.0003,-7.711233139038086,13,47221,32.27941493,0.007453840225934982,3584,144,47322,0.10340625047683716,-1.678670048713684
307.85,0.0003,-7.539693355560303,13,48170,31.52745746,0.0069976989179849625,3655,148,48271,0.3394458293914795,1.1335008144378662
309.22,0.0003,-7.335653781890869,13,49453,31.814141750000005,0.006891407538205385,3752,152,49554,0.06527072191238403,-0.28570204973220825
312.5,0.0003,-7.204412937164307,13,50703,32.22313982,0.006928643677383661,3848,156,50804,0.10536213219165802,-1.146835207939148
311.89,0.0003,-7.486414909362793,13,51638,32.16770212,0.0066436524502933025,3919,160,51739,0.21780283749103546,-1.487666130065918
