rollout/ep_rew_mean,train/n_updates,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/critic_loss,train/ent_coef,time/time_elapsed,time/episodes,train/actor_loss,time/total_timesteps,train/learning_rate
20.42279475,1774,12,468.75,-2.6827778816223145,0.0632404088973999,0.5875982046127319,146,4,-14.16711711883545,1875,0.0003
17.640353875000002,3061,12,395.25,-4.553079128265381,0.21675458550453186,0.39976975321769714,248,8,-18.487783432006836,3162,0.0003
15.637898500000004,4197,12,358.1666666666667,-6.122710704803467,0.24312518537044525,0.28507450222969055,338,12,-20.47901153564453,4298,0.0003
16.901306375,5891,12,374.5,-8.200751304626465,0.18701770901679993,0.17305199801921844,466,16,-21.28199577331543,5992,0.0003
19.2492973,7708,13,390.45,-9.72336483001709,0.36127886176109314,0.10225290060043335,598,20,-21.69814682006836,7809,0.0003
20.743538833333336,9681,13,407.5833333333333,-10.58430290222168,0.25089752674102783,0.05870742350816727,752,24,-20.43680191040039,9782,0.0003
22.28694067857143,11534,12,415.5357142857143,-10.05316162109375,1.1156507730484009,0.03519677370786667,896,28,-19.269832611083984,11635,0.0003
22.1651574375,12814,12,403.59375,-11.258211135864258,0.15084238350391388,0.0250336155295372,996,32,-18.641572952270508,12915,0.0003
22.839410555555556,14240,12,398.3611111111111,-9.517577171325684,0.24100488424301147,0.017275994643568993,1108,36,-17.47443389892578,14341,0.0003
23.192790725000002,15684,12,394.625,-3.833022117614746,0.22589945793151855,0.012454628013074398,1220,40,-16.242691040039062,15785,0.0003
23.88397838636364,17247,12,394.27272727272725,-1.0073339939117432,0.0867123156785965,0.009450295008718967,1342,44,-15.23898696899414,17348,0.0003
23.02909704166667,18180,12,380.8541666666667,11.069257736206055,0.10869517922401428,0.009920167736709118,1415,48,-15.171648025512695,18281,0.0003
21.975334750000002,18939,12,366.15384615384613,-9.229949951171875,0.12510740756988525,0.010027780197560787,1472,52,-14.531949996948242,19040,0.0003
22.00180269642857,19918,12,357.48214285714283,-2.0952839851379395,0.4188265800476074,0.007922284305095673,1547,56,-14.231654167175293,20019,0.0003
22.37659253333333,20994,12,351.5833333333333,1.617478609085083,0.21433719992637634,0.0075516789220273495,1628,60,-13.449226379394531,21095,0.0003
23.06094046875,22252,12,349.265625,-0.027091220021247864,0.09170351922512054,0.007894721813499928,1724,64,-12.78191089630127,22353,0.0003
22.91094939705883,23157,12,342.02941176470586,1.2074378728866577,0.12607130408287048,0.008226532489061356,1792,68,-12.725662231445312,23258,0.0003
23.453910611111112,24277,13,338.5833333333333,0.8264505863189697,0.05035056918859482,0.007855615578591824,1872,72,-12.234082221984863,24378,0.0003
23.292653710526317,25212,13,333.0657894736842,-0.3707965314388275,0.16657648980617523,0.0071558295749127865,1940,76,-12.073821067810059,25313,0.0003
23.709450150000002,26369,13,330.875,1.2145178318023682,0.1167934238910675,0.007789199240505695,2023,80,-11.630302429199219,26470,0.0003
23.840883702380953,27442,13,327.89285714285717,0.405129998922348,0.3269789218902588,0.00854291208088398,2106,84,-11.397789001464844,27543,0.0003
23.751964238636365,28330,13,323.07954545454544,0.923406720161438,0.2947523593902588,0.008656419813632965,2173,88,-11.048116683959961,28431,0.0003
24.20198019565217,29555,13,322.3478260869565,-2.679882764816284,0.39674699306488037,0.008528804406523705,2266,92,-10.425288200378418,29656,0.0003
24.985061562499997,30921,13,323.1458333333333,2.4023396968841553,0.18926262855529785,0.009324705228209496,2369,96,-10.188653945922852,31022,0.0003
25.232740459999995,32035,13,321.36,1.308213233947754,0.8404427170753479,0.010691286064684391,2453,100,-9.866353034973145,32136,0.0003
25.46792942,33086,13,313.12,-2.538785457611084,0.20704519748687744,0.010792477987706661,2532,104,-9.865792274475098,33187,0.0003
26.66989887,34541,13,314.8,-2.2490646839141846,0.10841427743434906,0.009378894232213497,2642,108,-9.580755233764648,34642,0.0003
27.553968949999998,35774,13,315.77,-0.19193442165851593,0.19756312668323517,0.008679206483066082,2731,112,-9.290680885314941,35875,0.0003
27.858040220000007,36849,13,309.58,-0.5873697400093079,0.09737378358840942,0.009042168036103249,2813,116,-9.002723693847656,36950,0.0003
27.73857388,37897,13,301.89,0.007999107241630554,0.06286084651947021,0.008439922705292702,2892,120,-8.571395874023438,37998,0.0003
28.59492184,39360,13,296.79,-1.841627836227417,0.10509414970874786,0.008405819535255432,3004,124,-8.593674659729004,39461,0.0003
29.115076730000002,40971,13,294.37,1.0361632108688354,0.1713062822818756,0.008057059720158577,3122,128,-8.358077049255371,41072,0.0003
30.085166689999998,42386,13,295.72,0.8942365646362305,0.22614248096942902,0.008248710073530674,3228,132,-8.246499061584473,42487,0.0003
30.88895094,43781,13,295.41,1.4928345680236816,0.12316379696130753,0.008600248023867607,3333,136,-8.126062393188477,43882,0.0003
31.034554350000004,44887,13,292.03,-0.25821834802627563,0.16026875376701355,0.009138120338320732,3416,140,-8.001029014587402,44988,0.0003
31.357328130000006,46247,13,290.0,-1.0792807340621948,0.0820576399564743,0.008648845367133617,3510,144,-8.119546890258789,46348,0.0003
31.973618000000005,47473,13,292.93,-1.2303990125656128,0.12911196053028107,0.008394256234169006,3601,148,-7.834229469299316,47574,0.0003
33.059344020000005,48678,13,297.39,-0.2440982162952423,0.1979808211326599,0.008524429984390736,3691,152,-7.825331687927246,48779,0.0003
33.39429429,49906,13,299.88,0.7611563205718994,0.18644437193870544,0.008071957156062126,3784,156,-8.138999938964844,50007,0.0003
33.68097426999999,51184,13,301.9,0.13483096659183502,0.036378003656864166,0.0076529947109520435,3882,160,-7.613102912902832,51285,0.0003
