timesteps,best_solution,best_global_value,episode_reward,episode_length
288,361.8062330063192,361.8062330063192,11.614653,288
635,416.93351893249616,361.8062330063192,8.024232,347
882,426.37701952577487,361.8062330063192,7.36612,247
1310,316.0137887285192,316.0137887285192,22.338412,428
1634,394.7231394849412,316.0137887285192,9.785086,324
2010,372.8127243198221,316.0137887285192,18.85906,376
2304,393.3095499828607,316.0137887285192,11.087592,294
2520,397.5195355279342,316.0137887285192,6.766719,216
2811,399.7476174705756,316.0137887285192,11.060728,291
3139,332.1329357096182,316.0137887285192,18.636241,328
3432,354.51478166182653,316.0137887285192,12.774691,293
3653,364.9961563372422,316.0137887285192,11.981599,221
3926,376.1203997663946,316.0137887285192,12.740974,273
4366,359.95181024461925,316.0137887285192,17.254978,440
4845,374.01164579159297,316.0137887285192,16.265502,479
5275,329.0030903992864,316.0137887285192,24.609854,430
5755,333.9775742273589,316.0137887285192,20.225276,480
6385,339.13637870281144,316.0137887285192,25.090626,630
6679,313.6372965889926,313.6372965889926,19.264366,294
7123,344.5448854137627,313.6372965889926,24.815867,444
7606,299.4616502052026,299.4616502052026,36.130154,483
7789,419.3345984970474,299.4616502052026,6.019316,183
8019,367.90282514297763,299.4616502052026,14.385321,230
8400,352.2873846828031,299.4616502052026,20.363921,381
8632,347.8914436343241,299.4616502052026,12.184129,232
9042,284.03207743671373,284.03207743671373,31.86561,410
9210,422.8255171158472,284.03207743671373,6.422132,168
9475,358.6164903412241,284.03207743671373,16.048533,265
9635,428.5548691351444,284.03207743671373,5.869519,160
10003,322.99385255597207,284.03207743671373,25.098128,368
10311,349.7298933745038,284.03207743671373,19.268461,308
10468,376.58992170506735,284.03207743671373,7.628211,157
10910,301.7506670085761,284.03207743671373,35.587959,442
11174,379.1016384889838,284.03207743671373,11.762657,264
11559,361.25922044755555,284.03207743671373,17.19197,385
11826,387.3865631600354,284.03207743671373,15.475593,267
12098,345.25684153723137,284.03207743671373,17.125852,272
12275,381.7715090456055,284.03207743671373,8.141976,177
12493,361.0814070243067,284.03207743671373,12.846761,218
12758,346.9821965853382,284.03207743671373,16.37545,265
13385,297.44024592360006,284.03207743671373,47.121434,627
14062,301.9499819810951,284.03207743671373,41.378293,677
14710,324.81448105712514,284.03207743671373,29.637295,648
14904,325.6627073782766,284.03207743671373,13.99356,194
15170,293.24039515763036,284.03207743671373,21.73131,266
15645,327.5692851747569,284.03207743671373,30.932218,475
15839,298.92997884747274,284.03207743671373,16.446102,194
16049,307.06490001806515,284.03207743671373,17.937163,210
16569,253.58024365824946,253.58024365824946,47.992245,520
16914,339.88708523699967,253.58024365824946,23.20269,345
17252,352.13169496575296,253.58024365824946,20.940718,338
17563,303.6152961680349,253.58024365824946,23.562785,311
17931,266.2765501054689,253.58024365824946,32.183181,368
18480,298.1421720892031,253.58024365824946,39.401856,549
18804,310.60619340579797,253.58024365824946,23.832152,324
19063,333.56444534004424,253.58024365824946,14.92823,259
19534,311.9063353415157,253.58024365824946,32.407056,471
19807,271.2333720942533,253.58024365824946,25.491258,273
20011,330.85001184203844,253.58024365824946,10.963236,204
20497,306.6226448851419,253.58024365824946,36.65654,486
21094,306.45914041358765,253.58024365824946,34.248447,597
21408,280.9349088411545,253.58024365824946,32.051773,314
21898,296.6966040928339,253.58024365824946,36.585998,490
22438,262.2389700553493,253.58024365824946,49.614487,540
23027,297.63134789628094,253.58024365824946,29.035383,589
23455,319.0000104636413,253.58024365824946,22.599089,428
23846,306.49184052535304,253.58024365824946,29.735507,391
24057,339.91878153700327,253.58024365824946,11.781734,211
24530,269.48544986683186,253.58024365824946,30.43521,473
24895,284.0840067741633,253.58024365824946,25.248725,365
25294,318.24577820517936,253.58024365824946,30.106431,399
25706,305.60190160599564,253.58024365824946,32.221975,412
26161,326.1293751546007,253.58024365824946,29.044887,455
26356,360.21487965376815,253.58024365824946,11.206674,195
26854,292.28404185382425,253.58024365824946,33.705044,498
27352,318.1629170621177,253.58024365824946,31.676327,498
27770,327.7855413928412,253.58024365824946,28.410478,418
28088,289.912868419959,253.58024365824946,32.162564,318
28426,368.62742774101616,253.58024365824946,16.558174,338
28868,344.01714003504924,253.58024365824946,30.58486,442
29367,338.2140501805677,253.58024365824946,29.210361,499
29622,355.7676693247965,253.58024365824946,17.740706,255
29930,320.54227519791743,253.58024365824946,18.106925,308
30206,302.94744072327575,253.58024365824946,25.502864,276
30490,382.81975233546825,253.58024365824946,13.997926,284
30720,322.25122568127335,253.58024365824946,18.924075,230
30990,282.7220294797454,253.58024365824946,25.279112,270
31188,304.6450401489658,253.58024365824946,17.047142,198
31636,314.1526906386692,253.58024365824946,33.926339,448
32025,305.36821648666984,253.58024365824946,37.12969,389
32211,294.78657039000836,253.58024365824946,22.517258,186
32633,257.82475673354395,253.58024365824946,50.552324,422
32971,288.1817226972283,253.58024365824946,36.383132,338
33138,314.7463238976329,253.58024365824946,13.833381,167
33398,330.11336964149683,253.58024365824946,20.343119,260
33759,236.207191094932,236.207191094932,50.288003,361
33906,336.23692801483764,236.207191094932,8.38466,147
34204,297.7549691333807,236.207191094932,33.586608,298
34386,331.90923622927517,236.207191094932,13.100265,182
34760,290.46843560118737,236.207191094932,30.856511,374
35132,307.52450151745603,236.207191094932,27.943911,372
35439,247.33858078672267,236.207191094932,55.844905,307
35805,293.6520846666936,236.207191094932,28.965523,366
36049,306.7083583018714,236.207191094932,22.717726,244
36375,237.43813049750847,236.207191094932,39.920629,326
36734,298.8119457025837,236.207191094932,31.090012,359
36936,299.64569716876844,236.207191094932,19.379419,202
37252,289.62210999499376,236.207191094932,25.757003,316
37411,366.3638311778957,236.207191094932,10.588173,159
37600,298.4419465852811,236.207191094932,14.569409,189
37923,270.86461008899477,236.207191094932,39.268494,323
38187,332.64492685561265,236.207191094932,23.772891,264
38447,283.1959329506382,236.207191094932,30.482923,260
38705,266.43684683108233,236.207191094932,29.484953,258
39049,252.94908674430684,236.207191094932,46.436146,344
39197,304.9473125932257,236.207191094932,12.432174,148
39361,281.5618531883666,236.207191094932,17.660328,164
39621,362.96082508788254,236.207191094932,16.286038,260
39972,287.8251008864152,236.207191094932,32.927537,351
40129,302.39719113023915,236.207191094932,14.448261,157
40493,303.8891520090559,236.207191094932,29.119214,364
40878,261.93488926174183,236.207191094932,49.039243,385
41036,314.4856301926616,236.207191094932,11.526897,158
41272,275.03900331687265,236.207191094932,27.330494,236
41514,244.39099922911336,236.207191094932,45.217134,242
