train/ent_coef,time/total_timesteps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,time/fps,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes
0.6959668397903442,1310,66,-11.248428344726562,0.31772398948669434,1209,19,0.0003,-1.8350846767425537,12.33585425,327.5,4
0.4843411445617676,2520,153,-16.48240852355957,0.14454683661460876,2419,16,0.0003,-3.6530983448028564,11.98023425,315.0,8
0.34556901454925537,3653,244,-19.234498977661133,0.1526413857936859,3552,14,0.0003,-5.258581638336182,12.524594416666666,304.4166666666667,12
0.21337708830833435,5275,373,-21.202247619628906,0.23567092418670654,5174,14,0.0003,-7.501150131225586,13.8229025625,329.6875,16
0.12377257645130157,7123,516,-21.11228370666504,0.33230769634246826,7022,13,0.0003,-9.705232620239258,15.528128800000001,356.15,20
0.084981270134449,8400,613,-20.591135025024414,0.16739332675933838,8299,13,0.0003,-11.041614532470703,16.144220333333333,350.0,24
0.06246601790189743,9475,695,-20.20191192626953,0.219032883644104,9374,13,0.0003,-11.817586898803711,16.213631857142857,338.39285714285717,28
0.04713820293545723,10468,774,-19.15269660949707,0.1210145503282547,10367,13,0.0003,-11.540963172912598,15.99518784375,327.125,32
0.032567549496889114,11826,881,-18.673995971679688,0.545502781867981,11725,13,0.0003,-10.90422534942627,16.440671944444443,328.5,36
0.02511281706392765,12758,954,-17.622323989868164,0.3262808918952942,12657,13,0.0003,-11.49020004272461,16.158855725000002,318.95,40
0.01527185644954443,14904,1118,-16.776268005371094,0.08004168421030045,14803,13,0.0003,-7.485300064086914,17.692836613636363,338.72727272727275,44
0.011788689531385899,16049,1207,-15.790241241455078,0.24161416292190552,15948,13,0.0003,-5.020328044891357,18.031908416666667,334.3541666666667,48
0.008457837626338005,17563,1325,-15.094867706298828,0.13501471281051636,17462,13,0.0003,-2.8006064891815186,18.869808499999998,337.75,52
0.006289369892328978,19063,1440,-14.203407287597656,0.0696292296051979,18962,13,0.0003,-2.2366111278533936,19.492418946428568,340.4107142857143,56
0.0052121966145932674,20497,1552,-13.45158576965332,0.11281828582286835,20396,13,0.0003,0.5797202587127686,19.951559183333334,341.6166666666667,60
0.00558485696092248,22438,1700,-12.631754875183105,0.26303738355636597,22337,13,0.0003,-0.033021390438079834,21.087410249999998,350.59375,64
0.005657621193677187,24057,1824,-11.76882553100586,0.07437314093112946,23956,13,0.0003,-0.8812528848648071,21.216852485294115,353.77941176470586,68
0.006052074488252401,25706,1942,-10.965470314025879,0.12161873281002045,25605,13,0.0003,6.330418109893799,21.677198750000002,357.02777777777777,72
0.00954408198595047,27352,2052,-10.325735092163086,0.10846120864152908,27251,13,0.0003,2.3284406661987305,21.92620055263158,359.89473684210526,76
0.007776711136102676,28868,2169,-10.259016990661621,0.21487751603126526,28767,13,0.0003,-0.8260585069656372,22.176341474999997,360.85,80
0.006603881251066923,30206,2274,-9.805944442749023,0.11700733006000519,30105,13,0.0003,-3.5191776752471924,22.19843064285714,359.5952380952381,84
0.005435689818114042,31188,2350,-9.604793548583984,0.06993791460990906,31087,13,0.0003,-1.185652732849121,22.044504874999998,354.40909090909093,88
0.005296006333082914,32633,2460,-9.326050758361816,0.06202048808336258,32532,13,0.0003,0.5799920558929443,22.652630869565222,354.70652173913044,92
0.0053111775778234005,33759,2547,-8.689611434936523,0.0885782316327095,33658,13,0.0003,0.15408819913864136,22.96760078125,351.65625,96
0.006487066857516766,34760,2624,-8.48958683013916,0.5700749158859253,34659,13,0.0003,5.536155700683594,22.90817719,347.6,100
0.006660467013716698,36049,2721,-8.200112342834473,0.1818738579750061,35948,13,0.0003,0.37315601110458374,23.769463669999997,347.39,104
0.006102875806391239,37252,2801,-7.8780951499938965,0.03942670673131943,37151,13,0.0003,-0.21716809272766113,24.465949730000002,347.32,108
0.0067738695070147514,38187,2868,-7.929327011108398,0.3146323561668396,38086,13,0.0003,1.951179027557373,24.803406810000002,345.34,112
0.007397121284157038,39197,2946,-7.670318603515625,0.4204453229904175,39096,13,0.0003,0.06561974436044693,25.28305569,339.22,116
0.007714474573731422,40129,3017,-7.497289180755615,0.18494218587875366,40028,13,0.0003,0.7999417185783386,25.20231598,330.06,120
0.0072939046658575535,41272,3104,-7.299341201782227,0.24358776211738586,41171,13,0.0003,3.176858425140381,25.60348734,328.72,124
0.007473425008356571,42149,3171,-7.492014408111572,0.4240878224372864,42048,13,0.0003,0.9274059534072876,26.035737980000004,326.74,128
0.007422978524118662,43345,3253,-7.175090789794922,0.43471071124076843,43244,13,0.0003,0.8426202535629272,26.95259786,328.77,132
0.007692959159612656,44414,3335,-7.325006008148193,0.1447221040725708,44313,13,0.0003,-0.8093209266662598,27.630823860000007,325.88,136
0.008497199043631554,45522,3419,-7.157845497131348,0.43147069215774536,45421,13,0.0003,-0.6145099401473999,28.462099040000002,327.64,140
0.008295905776321888,46404,3485,-6.790797710418701,0.4012206196784973,46303,13,0.0003,-0.7444173097610474,28.12800788,315.0,144
0.008153040893375874,47640,3577,-6.8856940269470215,0.08170846104621887,47539,13,0.0003,0.9445371627807617,28.855265999999997,315.91,148
0.008800477720797062,48872,3665,-6.974792003631592,0.16119664907455444,48771,13,0.0003,0.01708686351776123,29.37923951,313.09,152
0.009263811632990837,49840,3735,-7.0645432472229,0.23203569650650024,49739,13,0.0003,-0.2555171847343445,29.300379190000005,307.77,156
0.008679172955453396,50919,3813,-7.1650614738464355,0.21348944306373596,50818,13,0.0003,-0.31653502583503723,29.467912450000004,304.22,160
