train/ent_coef_loss,train/n_updates,time/episodes,train/ent_coef,train/learning_rate,train/critic_loss,time/time_elapsed,train/actor_loss,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
-1.5295066833496094,1011,4,0.7385909557342529,0.0003,0.05313935503363609,35,-10.205466270446777,1112,31,18.154792750000002,278.0
-2.997387409210205,1989,8,0.5510163307189941,0.0003,0.0716211348772049,70,-15.035173416137695,2090,29,15.296653749999999,261.25
-4.83195686340332,3324,12,0.37031593918800354,0.0003,0.808430552482605,118,-18.97781753540039,3425,28,16.85285358333333,285.4166666666667
-6.802462577819824,4691,16,0.24699799716472626,0.0003,0.1969062089920044,170,-21.296581268310547,4792,28,17.9156785625,299.5
-8.410831451416016,6614,20,0.1406404823064804,0.0003,0.8751223087310791,243,-21.808347702026367,6715,27,21.80935545,335.75
-10.363969802856445,9149,24,0.06829268485307693,0.0003,0.29770368337631226,358,-21.647796630859375,9250,25,28.342197791666667,385.4166666666667
-10.463512420654297,10913,28,0.04189887270331383,0.0003,0.27886515855789185,447,-20.656021118164062,11014,24,30.633491964285714,393.35714285714283
-9.66277027130127,12237,32,0.029268907383084297,0.0003,0.20684131979942322,515,-20.078628540039062,12338,23,30.1989806875,385.5625
-8.276294708251953,13680,36,0.019803030416369438,0.0003,0.2405441701412201,588,-19.02754783630371,13781,23,30.488410749999996,382.80555555555554
-4.984404563903809,15202,40,0.014325451105833054,0.0003,0.1601499617099762,666,-18.319461822509766,15303,22,31.897056225,382.575
-2.886591672897339,16604,44,0.011499878019094467,0.0003,0.3808383047580719,736,-17.55304718017578,16705,22,33.04592388636364,379.65909090909093
1.0441439151763916,17885,48,0.010473519563674927,0.0003,0.9456443786621094,800,-16.829708099365234,17986,22,34.116206625,374.7083333333333
-0.5419436097145081,19277,52,0.010734486393630505,0.0003,1.3094134330749512,870,-16.842544555664062,19378,22,35.34904976923077,372.65384615384613
-1.7971320152282715,20709,56,0.010549480095505714,0.0003,0.1371786892414093,940,-16.03620147705078,20810,22,36.98458423214286,371.60714285714283
0.19433659315109253,22106,60,0.00870027206838131,0.0003,0.49407196044921875,1010,-15.64252758026123,22207,21,38.33260121666667,370.1166666666667
0.9017327427864075,23628,64,0.008007574826478958,0.0003,0.824810266494751,1085,-15.69938850402832,23729,21,40.0743966875,370.765625
0.3141217827796936,24994,68,0.009037163108587265,0.0003,0.19772183895111084,1153,-15.246158599853516,25095,21,40.88658110294118,369.04411764705884
2.0775551795959473,25995,72,0.009755348786711693,0.0003,0.3901933431625366,1203,-15.432146072387695,26096,21,41.00050993055556,362.44444444444446
0.2570779323577881,27231,76,0.010847305878996849,0.0003,0.2855147123336792,1264,-14.834098815917969,27332,21,41.31017282894737,359.63157894736844
-1.1061115264892578,29076,80,0.008990601636469364,0.0003,0.3321846127510071,1356,-14.799869537353516,29177,21,43.0365804125,364.7125
-2.6143605709075928,30194,84,0.00833219289779663,0.0003,0.27023452520370483,1412,-14.378337860107422,30295,21,43.14165621428571,360.6547619047619
-1.0698415040969849,31374,88,0.00855975691229105,0.0003,0.5514171123504639,1471,-14.34714126586914,31475,21,43.37981965909091,357.67045454545456
0.9682990312576294,32300,92,0.009017517790198326,0.0003,0.5968502759933472,1517,-14.108197212219238,32401,21,42.95648066304348,352.1847826086956
0.6571084260940552,33352,96,0.009662245400249958,0.0003,0.21803408861160278,1569,-14.087136268615723,33453,21,43.19483384375,348.46875
0.5670191049575806,34624,100,0.008988946676254272,0.0003,0.3201373815536499,1633,-13.493581771850586,34725,21,43.447352949999996,347.25
0.9285616278648376,35497,104,0.009217871353030205,0.0003,0.31282365322113037,1677,-13.237113952636719,35598,21,43.94472289,344.86
1.0716743469238281,36468,108,0.009269737638533115,0.0003,0.8040013313293457,1725,-13.670415878295898,36569,21,44.84991263,344.79
0.3265242576599121,37661,112,0.009703735820949078,0.0003,0.2656458914279938,1785,-13.288125991821289,37762,21,45.98713699999999,343.37
0.4709973931312561,38777,116,0.009636584669351578,0.0003,0.2768341898918152,1842,-12.98259449005127,38878,21,46.778302239999995,340.86
0.32934850454330444,39804,120,0.010320976376533508,0.0003,0.22457364201545715,1893,-12.44505786895752,39905,21,46.870737899999995,331.9
0.4627148509025574,40756,124,0.011817404069006443,0.0003,0.4665984809398651,1941,-12.968827247619629,40857,21,45.83039534999999,316.07
-0.3231467604637146,41968,128,0.013177868910133839,0.0003,0.17947620153427124,2001,-12.453902244567871,42069,21,46.37159449,310.55
1.0869885683059692,42893,132,0.013825363479554653,0.0003,0.3898487687110901,2047,-12.324495315551758,42994,21,46.57467111,306.56
0.10041951388120651,44011,136,0.01346017885953188,0.0003,0.9943217635154724,2102,-12.458669662475586,44112,20,47.22381103,303.31
-1.6432794332504272,45114,140,0.012854036875069141,0.0003,1.6715319156646729,2156,-12.007457733154297,45215,20,47.164704199999996,299.12
1.8264009952545166,46397,144,0.011848929338157177,0.0003,0.6878236532211304,2219,-11.564083099365234,46498,20,47.968392550000004,297.93
0.002391509711742401,47594,148,0.011474397033452988,0.0003,1.1628713607788086,2279,-11.986227989196777,47695,20,48.117583980000006,297.09
0.09677301347255707,48735,152,0.011752874590456486,0.0003,0.5422705411911011,2336,-11.837976455688477,48836,20,47.91842428000001,294.58
0.854303240776062,50507,156,0.01159260980784893,0.0003,0.6444033980369568,2424,-11.714010238647461,50608,20,48.14914867,297.98
1.2989766597747803,52307,160,0.012206315994262695,0.0003,2.081162929534912,2514,-11.666129112243652,52408,20,48.96397445,302.01
